GeneType,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
1,493953,86,86,2,17,14,493609,0
1,9446,80,80,2,3,39,7647,0
0,5255,72,72,3,32,20,2763,0
0,287968,34,34,0,41,14,286817,0
1,2113129,4,4,2,1,18,2112008,1
1,339503,95,95,2,17,5,338613,1
1,571876,56,56,2,36,5,570902,0
1,446968,55,55,2,1,18,445976,0
1,389254,83,83,2,0,10,388238,1
0,415,76,76,3,18,38,74,0
1,34900,82,82,2,43,41,34403,0
0,1568049,32,32,3,23,18,1567459,1
1,806760,69,69,2,35,12,805210,0
1,752839,23,23,2,1,18,752246,1
1,1050401,91,91,2,7,17,1050087,1
0,434997,7,7,0,19,4,434554,1
1,796791,66,66,2,37,13,795304,0
1,57693,62,62,2,12,11,56791,1
1,1786875,46,46,2,27,17,1786159,1
1,776048,25,25,2,45,12,775092,0
1,155295,89,89,2,14,42,154171,0
0,14817,15,15,4,18,26,14209,0
1,74492,20,20,2,37,3,73803,0
1,1037381,92,92,2,27,17,1036476,1
1,1751697,6,6,1,7,17,1751281,0
1,318778,35,35,2,6,14,318386,0
1,1078009,0,0,2,17,14,1077569,1
1,994934,12,12,2,11,13,993237,0
1,524283,27,27,2,28,6,523744,0
1,1575106,47,47,2,27,17,1574483,0
1,810033,65,65,2,11,13,808633,0
1,1226536,42,42,2,1,18,1225625,1
0,292232,48,48,0,8,4,291777,0
1,520133,87,87,2,17,14,519183,1
0,579,44,44,4,18,32,1,1
1,1605890,78,78,2,7,17,1605162,0
1,1285729,41,41,2,1,18,1284860,1
1,767190,26,26,2,35,12,766081,0
1,145136,58,58,2,7,7,143469,1
0,6256,13,13,3,18,24,4343,1
1,3678,40,40,2,30,30,1996,1
0,415202,8,8,0,20,4,414870,0
1,456990,37,37,2,20,5,456034,0
1,26464,53,53,2,17,34,24623,1
0,43740,63,63,0,5,2,43105,0
0,623355,24,24,0,35,6,622414,1
1,310242,36,36,2,17,14,309811,0
0,409340,94,94,0,10,18,408633,0
0,14261,88,88,3,2,21,11517,1
0,69017,90,90,5,33,4,68592,1
1,1643722,30,30,2,40,18,1642802,1
1,84542,19,19,2,4,28,84111,1
0,2665,11,11,3,18,23,1541,1
1,1180888,77,77,2,31,16,1179752,1
0,309976,51,51,3,17,15,309383,0
0,598,59,59,4,18,35,2,1
0,876723,50,50,0,41,14,875551,0
1,1445532,21,21,2,40,18,1444765,1
1,829655,3,3,2,7,17,828978,1
1,1493,81,81,2,24,40,471,1
1,1115404,68,68,2,1,18,1114712,1
1,2418,10,10,2,25,22,715,1
1,447558,85,85,2,21,14,447142,1
0,1735953,71,71,0,34,16,1735636,0
1,1067748,79,79,2,17,14,1067248,0
0,2026309,9,9,0,23,18,2025506,1
1,483,18,18,2,4,28,1,1
0,1735532,70,70,3,26,16,1734645,0
1,647282,5,5,2,40,18,646296,1
1,787501,67,67,2,11,13,786539,0
0,18905,61,61,3,18,37,17574,1
1,703062,64,64,2,7,17,702091,0
1,1021876,54,54,2,7,17,1021316,0
1,3924,60,60,2,15,36,2239,1
1,302448,33,33,2,17,14,301999,0
1,796821,74,74,2,45,12,795886,0
1,15756,43,43,2,35,31,14755,1
1,232541,28,28,2,33,0,231249,0
0,459577,75,75,3,16,15,458618,0
0,747945,57,57,3,38,9,745645,0
1,156954,97,97,2,22,1,155782,0
1,479784,84,84,2,39,10,478387,1
0,12112,17,17,0,18,27,11726,0
0,3821,14,14,3,18,25,1521,1
1,1680779,31,31,2,1,18,1680060,0
0,11816,45,45,3,18,33,9516,1
1,571767,73,73,2,40,18,570709,1
1,1658775,29,29,2,26,18,1658077,1
1,1430208,22,22,2,1,18,1429318,0
1,1217,96,96,2,22,43,24,0
1,75990,1,1,2,29,8,74263,1
0,828817,2,2,0,42,17,828224,1
1,408301,93,93,2,1,18,407363,0
1,1000,39,39,2,9,29,2,0
0,457660,38,38,0,13,5,457121,0
1,2307,49,49,2,2,19,1621,1
1,322283,52,52,2,44,15,321357,0
0,11716,16,16,0,18,27,11321,0
