StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
0,155219,154,154,7,0,2,154221
0,434666,127,127,2,1,16,433053
0,1524263,35,35,16,0,22,1522857
0,919364,84,84,12,0,21,918156
0,10687,110,110,17,0,33,9590
1,1108489,109,109,25,0,22,1107152
0,33930,48,48,17,0,30,32737
0,340376,72,72,1,0,4,339975
0,566165,33,33,20,0,8,564966
0,6500,30,30,2,1,28,5433
1,496522,94,94,2,1,10,495068
0,447552,1,1,0,0,16,446896
1,1494962,36,36,5,0,22,1493559
0,405983,7,7,1,0,18,405798
1,726501,38,38,10,0,22,725125
1,1117420,108,108,12,0,22,1116176
0,617159,56,56,25,0,5,615924
0,1404649,105,105,12,0,22,1403372
0,3182,21,21,2,1,34,2247
0,553803,91,91,2,1,12,552229
1,1359,81,81,0,0,31,532
0,492874,55,55,2,1,9,492284
0,512575,152,152,21,0,6,511070
1,831522,12,12,17,0,21,830434
0,7259,6,6,0,0,25,6249
0,452810,95,95,2,1,10,452175
1,68405,136,136,19,0,48,67296
1,1047742,141,141,19,0,21,1046660
1,526360,149,149,25,0,5,525035
1,1898756,44,44,19,0,22,1897875
0,1944921,122,122,0,0,22,1944244
1,2480,73,73,19,0,44,1071
1,437973,96,96,0,0,1,437293
1,209311,49,49,4,0,11,208193
1,1587887,120,120,10,0,21,1586445
0,1867030,43,43,2,1,22,1865636
0,15753,10,10,19,0,26,14641
0,580857,34,34,25,0,8,579490
1,10644,93,93,2,1,46,9307
0,367224,148,148,0,0,5,366097
1,1267766,60,60,12,0,22,1266495
1,1506761,116,116,24,0,20,1505442
1,626028,39,39,17,0,7,624868
0,290343,71,71,23,0,4,289018
0,1172370,107,107,12,0,22,1171051
1,411413,89,89,2,1,23,410007
0,42426,100,100,17,0,3,41221
1,532332,150,150,25,0,5,531106
1,1789020,70,70,2,1,21,1787623
1,523945,113,113,25,0,1,522770
1,601068,112,112,17,0,7,599905
0,151073,138,138,19,0,48,149964
0,1733432,126,126,23,0,22,1732098
1,924253,85,85,2,1,21,923378
1,1651899,45,45,17,0,22,1651012
0,228042,114,114,17,0,4,226948
0,432268,5,5,19,0,15,431189
0,1002291,87,87,17,0,21,1001194
0,1751668,125,125,5,0,22,1750310
0,211061,153,153,5,0,0,209817
0,18783,26,26,2,1,38,17596
0,65502,29,29,2,1,40,63997
1,754771,52,52,26,0,17,753767
0,2018230,119,119,17,0,21,2016848
0,207419,57,57,0,0,16,207000
1,598434,74,74,0,0,10,597786
1,1248251,61,61,15,0,22,1246854
1,559992,90,90,25,0,5,558766
1,231983,82,82,8,0,10,230514
0,423600,145,145,19,0,22,422017
1,9275,46,46,2,1,42,7716
1,2090497,20,20,5,0,22,2089121
0,472615,51,51,9,0,5,471425
0,412929,50,50,25,0,5,411703
0,1933792,4,4,1,0,22,1933010
1,1778404,124,124,27,1,22,1777100
0,1093548,134,134,18,0,18,1092211
0,1741983,15,15,11,0,21,1740772
0,437003,64,64,1,0,18,436320
1,155993,111,111,22,0,19,154689
1,146779,92,92,6,0,10,145715
0,379854,78,78,2,1,15,379126
0,1015761,63,63,2,1,22,1014583
0,1277102,65,65,24,0,20,1275858
0,308539,80,80,15,0,18,307640
1,52782,135,135,2,1,48,51379
0,852,47,47,2,1,30,1
1,233697,2,2,0,0,11,233434
0,1601313,68,68,20,0,20,1599847
1,2053277,19,19,27,1,22,2051877
1,597683,128,128,2,1,10,596868
0,23787,25,25,2,1,37,22417
0,494627,40,40,23,0,1,493452
1,1622991,121,121,0,0,21,1622125
1,169772,31,31,2,1,13,168840
0,1413484,11,11,25,0,22,1412150
0,54854,27,27,0,0,38,53844
0,2157389,42,42,10,0,22,2156019
1,6378,58,58,17,0,43,4900
0,439354,101,101,17,0,12,437786
0,1072628,132,132,27,1,18,1071504
1,211328,151,151,19,0,8,209856
0,59441,99,99,19,0,3,58461
1,1804221,69,69,2,1,21,1803316
1,1547471,117,117,21,0,20,1546002
0,1143832,133,133,2,1,18,1142492
0,6733,24,24,2,1,36,6122
0,12244,28,28,17,0,39,11150
0,1499180,115,115,21,0,20,1497708
0,67849,98,98,19,0,3,66767
0,340851,8,8,0,0,4,340480
0,298468,77,77,17,0,15,296987
0,586,0,0,1,0,32,2
0,1398991,106,106,16,0,22,1398122
1,458510,16,16,0,0,4,457881
0,899374,75,75,3,0,17,898190
0,13267,22,22,0,0,35,11954
0,1459767,37,37,2,1,22,1458433
1,7956,32,32,22,0,29,6742
0,162444,139,139,27,1,48,161326
0,484137,79,79,17,0,15,482659
0,262696,59,59,2,1,13,261617
0,1683736,13,13,17,0,21,1682645
0,497535,155,155,0,0,12,496600
0,114367,137,137,2,1,48,112967
0,799780,140,140,0,0,14,799199
0,417432,102,102,2,1,12,415855
0,1420721,67,67,25,0,20,1419405
1,318880,147,147,17,0,5,317777
0,799094,54,54,1,0,14,798498
1,8841,17,17,19,0,27,7366
0,37052,129,129,26,0,47,35940
1,1361937,104,104,17,0,22,1361035
1,174865,131,131,12,0,9,173582
1,485,3,3,1,0,24,3
1,27971,83,83,6,0,45,26910
0,403184,97,97,23,0,1,402012
1,85134,88,88,14,0,13,83866
0,1951553,123,123,16,0,22,1950669
0,1386264,103,103,2,1,22,1384861
1,2074708,18,18,2,1,22,2073437
1,1071422,143,143,2,1,21,1070148
0,987463,86,86,0,0,21,986558
0,383794,23,23,19,0,22,382214
0,1365596,66,66,27,1,20,1364481
0,936561,76,76,0,0,17,935551
0,1026521,62,62,19,0,22,1025604
1,24760,144,144,17,0,49,23234
1,304330,146,146,19,0,5,303281
1,17944,130,130,17,0,47,16457
0,813285,53,53,2,1,17,812281
0,1672453,14,14,5,0,21,1671053
0,349644,9,9,23,0,4,348280
1,1558841,118,118,0,0,20,1557681
0,6048,41,41,11,0,41,4708
1,1065367,142,142,13,0,21,1064159
