StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
1,373963,26,26,21,0,8,372953
1,257891,48,48,20,0,8,256881
1,235050,54,54,21,0,9,234100
0,213667,37,37,16,0,13,212129
1,587198,70,70,14,0,3,585768
1,2377,104,104,10,0,24,1157
1,1381990,68,68,3,0,18,1381346
1,318674,65,65,21,0,9,317781
0,340298,28,28,21,0,8,339360
1,3259,102,102,2,1,35,2075
0,2882,67,67,2,1,23,2106
1,441837,113,113,2,1,2,440959
0,426250,88,88,21,0,8,425120
1,575815,95,95,21,0,8,574721
1,14514,80,80,21,0,32,13402
0,762518,22,22,3,0,18,761364
0,217615,120,120,2,1,6,216422
0,553985,23,23,16,0,3,552546
0,2612,2,2,1,0,20,1824
1,669822,43,43,2,1,17,668569
0,220225,38,38,2,1,13,218687
1,86161,13,13,0,0,27,85631
1,539819,17,17,2,1,11,538632
1,1253659,44,44,3,0,18,1252076
0,705562,21,21,3,0,18,704282
1,272650,49,49,21,0,8,271751
0,117411,119,119,2,1,0,116032
0,283947,39,39,2,1,13,282400
0,319749,111,111,3,0,17,318496
1,368482,27,27,21,0,8,367493
1,502004,91,91,21,0,8,500910
1,549818,100,100,14,0,8,548385
1,523271,16,16,6,0,11,522144
0,626457,19,19,3,0,17,625132
0,307709,76,76,21,0,8,306750
1,267266,50,50,2,1,8,266289
1,747400,62,62,3,0,17,746270
1,496221,90,90,21,0,8,495283
0,29669,79,79,20,0,32,28731
1,20974,81,81,2,1,33,19538
1,617521,98,98,21,0,8,616619
1,1080003,106,106,7,0,17,1078741
0,1798125,75,75,3,0,18,1796725
0,427442,58,58,2,1,12,425919
0,431585,89,89,21,0,8,430644
0,2899,109,109,2,1,37,1952
1,1905561,47,47,2,1,17,1904098
1,64367,66,66,2,1,11,62844
0,263994,7,7,10,0,14,262717
0,924009,56,56,2,1,14,922486
1,288343,117,117,21,0,9,287549
0,514203,114,114,1,0,2,514066
1,722553,61,61,3,0,17,721447
1,1706820,4,4,23,1,17,1705558
1,212824,55,55,21,0,9,211883
1,444750,87,87,21,0,8,443839
0,493306,84,84,16,0,13,491759
0,245389,40,40,1,0,13,244757
0,437122,86,86,20,0,8,436220
1,1855873,25,25,21,0,18,1854422
0,518865,115,115,11,0,2,517981
1,544003,97,97,21,0,8,543026
0,286679,57,57,2,1,12,285567
1,28060,82,82,20,0,33,27086
1,714,41,41,2,1,22,1
1,456889,101,101,5,0,14,455630
1,14110,51,51,2,1,30,13145
0,21643,52,52,21,0,31,20600
1,1556126,73,73,14,0,16,1554660
0,622717,36,36,12,0,2,621833
1,496985,116,116,8,0,4,495984
1,16755,12,12,4,0,21,15559
0,17420,32,32,4,0,29,16842
0,284733,112,112,22,0,2,283762
0,218013,31,31,10,0,7,216889
1,489099,94,94,21,0,8,488107
0,400752,59,59,2,1,12,399232
1,1562,18,18,20,0,28,393
0,514924,64,64,0,0,2,514307
1,19265,77,77,21,0,32,18156
1,1056372,105,105,9,0,17,1055425
0,67859,14,14,3,0,1,66546
1,514925,15,15,6,0,11,513729
1,315559,118,118,0,0,9,315128
0,2003523,74,74,21,0,17,2002453
1,229688,53,53,20,0,9,228501
1,1862763,24,24,3,0,18,1861267
1,604409,96,96,2,1,8,603339
1,2058209,6,6,24,0,18,2056686
1,541977,108,108,10,0,10,540886
0,25674,103,103,1,0,36,24613
0,449733,1,1,1,0,13,448939
1,579257,42,42,20,0,9,578298
0,1593162,45,45,13,0,16,1591861
1,507159,92,92,21,0,8,506107
1,437723,34,34,21,0,9,436782
1,1564652,0,0,1,0,16,1564452
1,625575,99,99,21,0,8,624448
0,1263503,72,72,17,0,16,1262121
1,220328,29,29,0,0,8,219990
0,418436,33,33,21,0,9,417618
0,3154,83,83,21,0,34,2129
1,48657,10,10,5,0,25,47974
1,481887,93,93,16,0,8,480445
0,24337,78,78,19,0,32,23213
1,546194,71,71,2,1,0,544968
1,273888,85,85,21,0,9,272725
0,9331,11,11,15,0,26,7841
0,1679690,5,5,3,0,17,1678407
0,976612,63,63,4,0,17,975470
0,1505678,20,20,21,0,18,1504257
0,190441,9,9,21,0,15,189542
0,463276,60,60,2,1,12,461756
1,381686,69,69,2,1,19,380409
0,8433,110,110,21,0,37,7429
1,212508,30,30,21,0,8,211570
0,347997,35,35,2,1,12,346477
1,1973004,46,46,21,0,17,1972075
1,197165,8,8,7,0,5,196203
1,1698039,3,3,16,0,16,1696570
1,1127958,107,107,18,0,17,1127086
