GeneSubclass,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,16460955,213,206,6,5,16457260,0,9
0,0,138161,119,112,22,53,134502,0,6
0,0,203930,66,61,19,10,200193,0,5
0,0,4553753,46,0,6,9,4549992,0,5
0,0,4840,0,6,27,8,914,1,0
0,0,9582610,176,169,6,35,9579467,1,7
0,0,334096,70,65,19,10,330365,0,5
0,0,3840387,88,81,19,56,3836677,0,6
0,0,1195742,53,5,1,8,1191876,1,5
0,0,8313586,172,165,6,24,8309909,0,7
0,0,1910663,203,196,19,5,1906803,0,9
0,0,1668281,29,32,19,11,1666599,0,5
0,0,2060217,125,118,31,21,2056039,0,6
0,0,4813930,143,136,6,10,4810370,0,7
0,0,65541,112,105,19,2,61918,1,6
0,0,2103880,130,123,6,50,2100152,0,6
0,0,10591984,181,174,7,24,10589706,0,7
0,0,4340768,36,39,19,11,4339005,0,5
0,0,83566,55,50,32,9,79856,1,5
0,0,20151480,214,207,20,16,20150096,1,9
0,0,11683010,182,175,7,35,11680997,0,7
0,0,44719,19,18,27,6,40601,1,4
1,0,11229,116,109,17,13,7763,1,6
0,0,239685,17,16,12,4,237098,0,4
0,0,4000548,154,147,6,24,3997084,1,7
0,0,2481188,85,79,19,11,2479680,0,5
0,0,12013049,184,177,6,35,12009273,1,7
0,0,12740701,186,179,6,24,12737024,0,7
0,0,338864,71,66,19,10,335124,0,5
0,0,10008881,179,172,7,24,10006623,0,7
0,0,3815,91,84,4,38,90,1,6
0,0,628721,41,43,19,9,624993,1,5
0,0,47239,3,9,29,0,43805,1,0
0,0,4278879,155,148,6,24,4275136,1,7
0,0,4939976,158,151,6,24,4936233,1,7
0,0,154797,63,58,19,10,150979,0,5
0,0,587534,137,130,33,44,585909,0,8
0,0,4522804,37,40,19,11,4521833,0,5
0,0,9064696,173,166,7,24,9062672,1,7
0,0,27954,114,107,19,53,24217,0,6
0,0,279004,131,124,32,28,275159,0,8
0,0,1147490,108,101,26,52,1145631,1,6
0,0,7007346,164,157,6,24,7005166,1,7
1,0,1139483,105,98,21,48,1135756,1,6
0,0,5598267,159,152,6,24,5595391,0,7
0,0,1143911,106,99,19,52,1140042,1,6
0,0,583704,136,129,32,3,582196,0,8
0,0,1703058,30,33,19,11,1701376,1,5
0,0,3105,111,104,24,54,838,1,6
0,0,4513,23,26,32,10,785,0,5
0,0,990197,101,94,19,14,986493,1,6
0,0,4293498,35,38,19,11,4292311,1,5
0,0,1152291,109,102,15,52,1148608,1,6
0,0,1678839,95,88,15,3,1675105,1,6
0,0,2259949,199,192,7,32,2258465,1,7
0,0,77533,20,19,29,23,73331,1,4
0,0,422887,110,103,19,54,419138,1,6
0,0,3622347,92,85,19,3,3618703,0,6
0,0,5954817,161,154,6,24,5951374,1,7
0,0,15794397,194,187,7,24,15790722,0,7
0,0,2626786,34,37,19,11,2624759,0,5
0,0,1698923,120,113,19,39,1695120,1,6
0,0,129819,62,57,19,10,126013,1,5
0,0,16013824,195,188,6,24,16010084,1,7
0,0,10462169,180,173,6,24,10459962,1,7
0,0,278985,138,131,32,12,276142,0,8
0,0,4527437,94,87,5,38,4523676,0,6
0,0,39991,2,8,33,19,37926,1,0
0,0,78806,14,22,29,30,75012,1,3
0,0,209762,113,106,19,2,205917,0,6
0,0,2452752,86,4,13,12,2449024,0,5
0,0,3071,198,191,7,17,1,1,7
0,0,6067584,162,155,7,24,6064796,1,7
0,0,1313993,28,31,34,11,1312530,0,5
0,0,2385281,148,141,7,24,2382667,0,7
0,0,3663817,42,3,11,12,3660173,0,5
0,0,5949017,160,153,7,35,5946681,1,7
0,0,1171908,49,5,1,8,1168174,1,5
0,0,324588,68,63,19,10,320857,0,5
0,0,89469,61,56,19,10,85705,0,5
0,0,95167,135,128,32,10,91325,0,8
0,0,3058427,87,80,19,56,3054798,0,6
0,0,2318413,81,75,19,10,2314616,0,5
0,0,72448,18,17,27,23,68270,1,4
0,0,15575977,189,182,6,24,15572300,0,7
0,0,7124284,166,159,7,24,7121353,0,7
0,0,1643702,74,69,19,6,1639890,1,5
0,0,1066754,216,209,22,40,1065571,1,9
0,0,6072691,163,156,6,35,6068918,1,7
0,0,2216609,129,122,19,55,2212887,0,6
0,0,45538,59,54,19,10,41732,0,5
0,0,62173,9,22,29,0,61124,1,2
0,0,3879497,89,82,6,56,3875733,0,6
0,0,3998549,219,212,9,22,3996303,0,9
0,0,47179,21,24,19,11,43448,0,5
0,0,651422,202,195,19,18,647718,1,9
