Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
1,2061,3818,116
0,497002,497232,53
0,1360342,1362603,66
0,9492,10034,9
0,703286,705460,54
0,1,720,117
0,560198,560632,57
1,159610,160581,125
1,882,2942,36
1,52560,53693,61
0,1056777,1058918,107
0,1191366,1193345,104
1,588715,590889,94
0,2355799,2356776,5
1,2874,5081,19
1,80149,82404,8
0,873,3053,22
1,499696,501852,63
0,194815,195717,4
1,451945,454212,110
1,1164352,1166328,32
1,114542,114991,84
1,160684,161676,78
0,619,2832,56
1,24182,26356,44
1,602780,603844,95
1,16115,18169,7
0,506186,508321,35
1,27780,29015,29
0,643902,646319,101
1,392911,395040,109
1,2176948,2179419,98
0,739927,742170,80
0,200871,203063,81
1,7001,9199,103
0,604902,606833,38
0,51024,53186,23
0,12295,12912,2
1,4073,5374,106
1,344166,346367,43
0,192141,194168,88
0,654773,656983,74
1,301785,302402,47
1,628374,628874,60
0,2354525,2355697,99
1,140918,141673,126
1,36609,38921,64
1,356083,356850,24
1,244452,246323,70
1,255983,258202,87
0,801878,802663,62
1,627785,628270,39
1,1103840,1105132,105
0,1157023,1157244,30
0,1998842,2001346,68
0,120202,122127,119
1,31587,32651,28
0,575726,576256,1
0,12761,13846,11
1,67685,69895,3
1,290090,292285,128
0,477172,479217,79
1,965515,967593,58
1,16752,18788,27
0,1,1431,21
0,841178,843337,67
1,25553,27802,123
1,3,521,0
0,147823,149082,120
0,630077,630544,12
1,84713,85717,41
0,188,2356,6
1,115388,116089,77
0,3175,5373,102
0,412986,414917,90
0,548948,551038,40
0,877512,879776,20
1,16113,16562,25
0,520707,522056,129
0,571858,573072,92
1,6766,8796,46
0,241769,242101,48
0,801998,804175,49
1,5542,7341,15
1,1090076,1092022,122
0,852247,853635,113
1,4560,6731,37
0,21859,24063,89
1,3,569,76
1,604711,605835,112
1,18309,20468,93
0,45575,47761,115
1,80019,80858,13
0,141896,143770,130
1,38190,40865,17
1,16425,17708,31
1,105642,107570,33
1,236726,238993,71
1,3059,5239,52
1,3,2117,26
1,43711,45873,85
0,302736,305003,100
0,722086,724179,14
1,562332,564263,34
0,485708,487684,132
1,7884,9794,121
0,393328,395811,51
0,397836,399746,91
0,508918,510087,18
0,638620,640806,111
0,629867,630340,42
1,43530,45587,118
0,9896,12118,55
1,591283,591642,59
0,27310,28251,114
1,13635,15656,50
0,549344,551317,82
0,1850,2323,69
0,15220,17469,86
0,2046,2747,83
1,1523784,1525088,97
0,1218841,1220025,96
1,1558235,1560715,16
1,7779,8315,10
0,413892,415880,45
1,352018,352533,108
0,1,429,127
0,460530,461012,73
1,214564,216636,72
1,61057,61722,124
0,109113,111044,131
0,874933,875271,75
0,1426182,1428134,65
