Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
0,1159709,1160395,345
0,17649,18293,402
0,6637,7200,132
0,54438,55025,357
0,1463646,1464254,86
1,494134,494817,200
0,2015537,2016292,327
0,8128,9057,386
0,3962,4555,130
0,682675,683253,96
0,844098,844685,366
0,111971,112468,399
0,4217,4870,338
0,1954,2682,261
0,158113,158502,17
0,1955171,1955674,330
1,755460,756041,97
1,1367977,1368555,307
1,1486369,1487064,90
1,43754,44362,298
0,264339,265007,255
0,128075,128464,414
1,1920904,1921473,106
0,458125,458814,350
0,316059,316703,369
0,548190,548591,222
0,1603452,1604078,114
0,84681,85370,59
0,16820,17407,258
0,1032920,1033564,295
0,1738420,1738968,26
1,6162,6677,377
1,277438,278070,218
0,1730895,1731530,334
0,514617,515441,203
0,567310,567879,379
0,9749,10321,124
0,1685914,1686468,110
0,6979,7629,226
0,1004,1645,354
1,376393,376974,53
1,807330,807869,23
0,430704,431207,424
1,39237,39701,50
0,306524,307213,256
1,129,782,44
1,1132212,1132814,315
1,35642,36247,70
1,170208,170789,66
1,716974,717564,267
1,1637185,1637787,112
0,487330,487905,167
1,627354,628319,181
0,1931470,1932015,105
0,1341,2027,38
0,1743146,1743790,333
0,520573,521226,204
1,1117975,1118634,317
0,347313,347837,16
0,250097,250738,321
1,1004,1579,2
0,578253,578960,74
1,552180,552848,142
0,51491,52129,262
1,18480,19103,378
0,4128,4829,254
1,602248,603114,235
0,435816,436400,10
0,1148204,1148872,408
0,338926,339516,221
1,1580900,1581481,211
1,1080440,1081012,404
0,15015,15668,342
1,5874,6518,301
1,32291,33001,18
1,526817,527500,426
1,668282,668902,146
0,1994529,1995197,213
0,216122,216763,320
0,595866,596495,157
0,415541,416038,381
1,462885,463493,99
1,13402,14001,392
0,384969,385637,19
1,626603,627298,98
1,1489,1845,387
1,374536,375081,120
0,1472456,1473130,85
1,1133424,1134002,406
0,444042,444695,30
0,41594,42175,384
0,8539,9261,126
0,382086,382637,55
1,34388,35038,300
0,415509,416102,244
1,12661,13194,347
1,652923,653543,82
1,327337,327963,421
0,77844,78452,297
0,2228,2893,382
1,38181,38888,77
1,22609,22995,302
1,1065931,1066542,403
0,438233,438865,349
0,345353,345916,151
0,498789,499409,364
0,261515,262228,36
1,350453,350824,412
0,223792,224418,164
0,16375,17055,46
1,204,1049,281
1,806492,807166,149
1,873739,874302,272
1,3,281,8
0,15472,16035,340
1,311224,311595,410
1,5631,6125,9
0,581596,582243,75
0,1670067,1670681,27
0,543658,544317,144
0,284026,285006,243
0,481446,482096,251
0,15977,16573,162
0,691,1236,123
1,2152117,2152710,104
0,217234,218124,163
1,505327,505974,292
0,314181,314714,121
0,729363,729959,94
1,358038,358436,275
1,593512,594102,229
1,22061,22696,71
0,1260970,1261581,322
0,160181,160801,401
0,10210,10872,102
1,411981,412598,277
1,516578,517192,291
1,53279,53893,304
0,252895,253563,285
0,237338,237931,283
0,265723,266589,174
0,1077559,1078119,190
1,467864,468817,294
1,1242540,1243238,184
0,1175530,1176204,397
0,5628,6197,385
1,46335,47042,78
0,374062,374682,40
0,1420101,1420673,89
1,388043,388432,192
0,70109,70633,57
0,10535,11230,372
0,694383,694973,305
0,1677395,1677970,116
0,5141,5761,373
0,1885670,1886263,214
1,319437,320021,420
1,281740,282372,171
0,455483,456160,319
1,35961,36542,383
1,601643,602338,318
1,376496,377041,361
1,1142287,1142859,407
1,1480762,1481322,91
1,1306226,1306828,205
1,1236,1739,5
0,410251,410649,138
0,1586741,1587490,208
1,1612,2442,282
1,332944,333597,422
0,1410949,1411596,20
0,259935,260483,175
0,916954,917604,271
1,370350,371048,274
1,11081,11470,45
0,376607,377176,139
0,1942577,1943209,7
1,6853,7470,266
0,120498,120884,33
1,20602,21243,13
1,617066,617680,230
0,339536,340144,411
0,861431,862102,239
0,1874526,1875155,215
1,632827,633183,231
0,58891,59685,47
0,1610868,1611491,328
0,31012,31626,355
1,75574,76266,276
0,430509,430625,11
0,287506,288480,173
0,1186465,1187163,344
0,1199621,1200244,310
0,18276,18926,388
1,2114982,2115566,24
1,1109041,1109679,314
1,987,1559,49
0,413337,413954,416
1,159101,159847,65
1,1138561,1139142,313
1,461563,462219,362
1,512,1348,165
0,1344239,1344856,196
1,203195,203566,68
1,3085,3660,193
0,1001410,1001979,93
0,1671336,1671935,117
1,2760,3008,160
0,17072,17644,346
0,392783,393310,278
0,1024453,1025055,189
1,1654004,1654543,29
1,10434,11006,12
0,1840178,1840810,108
1,1181541,1182146,311
1,355831,356421,429
0,398035,398667,246
1,1235211,1235855,185
0,1806064,1806636,335
0,6641,7249,51
0,451995,452612,279
0,425384,425782,137
0,531,1121,1
1,724664,725245,148
0,7151,7534,341
0,14272,14571,375
0,243556,244449,286
0,621803,622513,25
0,260553,261062,172
0,252442,253089,176
0,304515,305429,370
0,689434,690105,145
1,25487,26110,303
0,54550,55203,79
1,6140,6670,224
0,467418,467996,363
0,750,1079,125
1,1784156,1784731,331
0,1391459,1392058,306
1,173294,174019,63
1,44119,44727,393
0,978390,978860,273
0,6638,7294,259
0,8734,9111,129
1,640880,641578,81
0,2211,2852,15
