CompetedDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CurrentTeam,CyclistName,Nationality,TwitterHandle,Birthplace,RepresentingCountry,UciRiderId,Languages,Profession,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,CyclingDiscipline
1,14,83295.0,28377.0,16,13,84000.0,212377.0,12,16,0,3,0,0,587366.0,5,0,62.0,20,9,15,141854.0,84019.0,7,171.0,15,3
1,20,58050.0,20184.0,20,0,,135591.0,14,20,0,6,20,0,89133.0,0,0,72.5,11,4,19,71225.0,19274.0,9,173.0,1,3
1,9,54758.0,19995.0,17,0,1861.0,133760.0,16,17,2,15,3,5,81993.0,2,0,74.0,13,2,16,77076.0,14902.0,7,179.0,15,3
1,12,26009.0,12193.0,15,12,1940308.0,140797.0,4,15,7,14,21,5,54603.0,6,0,78.0,6,18,14,30229.0,784.0,0,184.0,9,2
1,18,46998.0,16666.0,19,15,22458.0,140492.0,17,19,4,16,7,3,64680.0,4,0,71.0,8,5,18,48356.0,2338.0,3,176.0,13,3
1,2,,26965.0,0,3,,206730.0,18,0,4,6,1,3,162997.0,4,0,70.0,19,6,0,128820.0,71333.0,7,176.0,15,3
1,17,23171.0,7724.0,1,4,64000.0,140382.0,10,1,9,9,14,8,48815.0,1,1,75.0,4,8,1,26590.0,1009.0,2,182.0,7,4
1,13,52043.0,20093.0,5,7,7998.0,140961.0,12,5,4,2,5,5,81988.0,4,0,71.0,14,12,4,67419.0,14717.0,7,186.0,0,4
1,6,56436.0,20917.0,14,1,5649.0,156570.0,11,14,3,0,12,2,77380.0,3,0,78.0,15,0,13,71706.0,9746.0,7,180.0,15,3
1,4,50824.0,18498.0,3,0,5628.0,138830.0,9,3,9,4,18,8,63841.0,1,0,72.0,12,13,3,58906.0,16154.0,4,187.0,6,1
1,15,8424.0,6784.0,11,10,226627.0,140342.0,12,11,3,13,2,5,45024.0,3,0,82.0,2,11,10,18093.0,1007.0,9,188.0,11,0
2,8,39287.0,13240.0,7,8,66281.0,140835.0,6,7,4,11,10,3,55029.0,4,1,67.0,5,20,6,21075.0,1310.0,9,178.0,10,4
1,5,55719.0,22020.0,4,5,2473.0,164213.0,5,4,4,10,6,3,86617.0,4,0,,17,1,4,77514.0,26504.0,7,183.0,3,0
1,10,45487.0,15789.0,10,9,7186.0,133565.0,13,10,8,12,13,7,55607.0,7,0,72.0,3,14,9,62028.0,9234.0,7,183.0,14,2
1,19,39842.0,12843.0,13,11,1311517.0,140292.0,2,13,1,5,16,1,67388.0,8,0,58.0,7,17,12,57418.0,2276.0,1,166.0,12,3
2,0,61538.0,24057.0,8,0,,177672.0,15,8,4,6,17,3,91640.0,4,0,82.0,18,10,7,79184.0,27099.0,10,193.0,15,4
2,1,89232.0,,9,2,,209985.0,3,9,4,6,15,5,301151.0,4,0,,21,15,8,154036.0,80489.0,6,194.0,15,3
1,2,,26965.0,0,3,,206730.0,18,0,4,6,1,3,162997.0,4,0,70.0,19,6,0,128820.0,71333.0,7,176.0,15,3
1,3,11009.0,5139.0,2,6,188233.0,140904.0,8,2,5,1,8,4,55131.0,5,0,65.0,1,16,2,27924.0,581.0,0,183.0,5,0
1,4,50824.0,18498.0,3,0,5628.0,138830.0,9,3,9,4,18,8,63841.0,1,0,72.0,12,13,3,58906.0,16154.0,4,187.0,6,1
0,21,54395.0,20730.0,21,16,252749.0,168961.0,0,21,0,8,9,0,75859.0,0,0,70.0,16,21,20,74709.0,18258.0,5,187.0,2,1
1,7,,22005.0,6,0,,135527.0,7,6,0,6,4,5,93662.0,5,0,,10,7,5,78283.0,28169.0,7,184.0,15,3
1,11,14372.0,56.0,12,0,,140610.0,18,12,4,6,11,3,14262.0,4,0,63.0,0,19,11,5274.0,27.0,9,174.0,4,3
1,16,41076.0,13362.0,18,14,56034.0,139405.0,1,18,6,7,19,6,65995.0,5,0,70.0,9,3,17,51551.0,3277.0,8,177.0,8,4
