GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
0,8,4507129,158,158,1,0,4506258,0
0,11,58482,184,184,1,3,57650,1
0,8,3991057,146,146,1,0,3990489,0
0,8,809644,6,6,1,0,808668,1
0,2,1540684,198,198,2,5,1539719,1
0,8,3922084,133,133,1,0,3921204,1
1,3,3479864,115,115,2,0,3478912,0
0,8,2348993,59,59,1,0,2348378,1
0,8,2795416,80,80,1,0,2794433,1
0,8,3875858,130,130,1,0,3874863,0
0,8,2375390,66,66,1,0,2374390,1
0,8,1052365,20,20,1,0,1051429,0
0,13,1539502,220,220,1,8,1538500,0
0,8,2476103,68,68,1,0,2475134,0
1,3,3942505,137,137,2,0,3941590,0
0,8,2371632,65,65,1,0,2371039,1
0,8,1003686,16,16,1,0,1002743,0
0,8,826044,9,9,1,0,825257,1
0,8,2980375,97,97,1,0,2979374,0
0,8,2355855,61,61,1,0,2354884,1
0,8,3085309,100,100,1,0,3083844,0
0,8,1330950,36,36,1,0,1330142,0
0,8,1007599,17,17,1,0,1006603,0
0,8,2840902,88,88,1,0,2839937,1
0,8,3511547,118,118,1,0,3510660,1
1,3,702779,0,0,2,0,701800,0
0,8,2352377,60,60,1,0,2351473,1
0,1,883344,178,178,1,2,882190,0
0,8,3979724,143,143,1,0,3978714,0
0,8,3013872,98,98,1,0,3012883,0
0,8,3134531,101,101,1,0,3133584,1
0,10,59994,192,192,1,4,59019,1
0,8,2827124,84,84,1,0,2826149,1
0,8,1048548,19,19,1,0,1047554,0
0,8,4049767,148,148,1,0,4048793,1
0,8,2568455,75,75,1,0,2567453,0
0,2,1639490,207,207,1,5,1638522,1
0,5,949235,169,169,1,1,948584,0
0,8,4281472,153,153,1,0,4280290,1
0,8,2975921,96,96,1,0,2975048,0
0,8,4270736,152,152,1,0,4269712,1
0,5,1012849,171,171,1,1,1012217,0
0,8,2124567,51,51,1,0,2123632,0
0,8,4089689,150,150,1,0,4088784,1
0,0,3111097,227,227,1,10,3110193,0
0,3,1726768,212,212,1,6,1725811,0
0,8,1369830,37,37,1,0,1368947,0
0,8,4574073,160,160,1,0,4573255,1
0,11,128626,187,187,1,3,127746,1
0,8,2237284,53,53,1,0,2236253,1
0,8,4562145,159,159,1,0,4561270,0
0,8,3938451,136,136,1,0,3937813,0
0,8,2879567,91,91,1,0,2878703,1
0,10,1520249,195,195,1,4,1519281,0
0,8,3928035,135,135,1,0,3927312,1
0,8,1234293,31,31,1,0,1233356,1
1,3,1205691,27,27,2,0,1204738,1
0,7,2480301,69,69,1,0,2479394,0
0,11,121633,185,185,1,3,120728,1
0,8,3604682,120,120,1,0,3604001,0
0,3,1713820,209,209,1,6,1712806,0
1,3,959824,13,13,2,0,958735,0
0,8,2823781,83,83,1,0,2822807,1
0,8,4357200,154,154,1,0,4356532,1
0,2,1618754,204,204,1,5,1617789,1
0,1,835336,176,176,1,2,834360,0
0,8,3392268,112,112,1,0,3391673,0
0,8,4624792,161,161,1,0,4624492,0
0,8,2360029,62,62,1,0,2359047,1
0,8,3986597,145,145,1,0,3986148,0
0,8,713930,3,3,1,0,712959,0
