GENDER,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE,BIOGRAPHICAL_NOTE,FIRST_NAME,DEATH_DATE,GOOGLE_KNOWLEDGE_GRAPH_ID,MIDDLE_NAME,MOTHER_NAME,POSTHUMOUS_TITLE
1,0,0,31,11,3,7,17,1,17,75
0,0,0,85,11,5,36,65,1,17,60
1,0,0,69,11,3,54,31,1,15,3
1,0,0,28,11,3,26,37,1,27,57
0,0,1,42,11,4,76,63,0,10,79
0,0,1,47,11,4,81,42,0,3,46
0,0,1,83,11,4,75,41,0,15,37
1,0,1,41,11,4,83,10,0,2,63
1,0,0,68,10,3,17,48,1,9,53
1,0,1,0,9,4,86,13,0,15,46
1,2,0,56,11,3,18,34,1,3,24
1,0,0,73,11,3,65,39,1,0,4
1,0,0,46,11,3,34,22,1,15,70
1,0,0,57,11,3,38,77,1,8,78
1,0,1,60,11,4,44,2,0,13,26
0,0,1,70,11,4,80,52,0,15,46
0,0,1,39,13,4,78,82,0,7,35
0,0,1,6,11,4,2,72,0,14,65
0,0,0,14,11,4,57,74,1,17,31
1,0,0,17,4,3,62,27,1,23,15
1,0,0,12,3,3,23,6,1,6,74
1,0,1,80,11,4,77,18,0,10,68
0,0,1,18,11,4,12,58,0,1,58
1,0,0,79,11,3,53,19,1,15,72
0,0,1,43,11,4,47,75,0,9,42
0,0,0,9,13,7,64,84,1,6,32
1,0,0,52,11,3,42,35,1,9,17
0,0,1,67,11,4,27,86,0,0,59
0,0,1,44,11,4,35,57,0,25,54
1,0,0,49,11,3,15,33,1,9,67
0,0,1,4,11,4,0,26,0,14,0
0,0,1,78,11,4,45,54,0,17,29
0,0,1,65,11,4,21,67,0,9,43
1,0,0,40,11,3,13,4,1,1,23
1,1,0,24,11,3,41,85,1,22,1
0,0,1,33,11,4,66,53,0,8,46
1,0,0,50,7,3,50,8,1,3,11
1,0,0,64,11,3,79,38,1,18,46
0,0,1,75,11,4,85,64,0,17,46
1,0,0,37,11,3,48,20,1,11,9
1,1,0,15,15,3,73,78,1,4,64
0,0,1,7,11,4,4,1,0,5,25
1,0,0,2,0,3,46,21,1,22,73
0,0,1,32,11,4,6,45,0,4,22
0,0,1,29,12,4,67,81,0,7,18
0,0,0,5,11,1,37,60,1,14,51
0,0,1,58,11,4,29,44,0,15,71
0,0,1,11,11,4,68,50,0,1,40
1,0,0,38,11,3,31,25,1,5,76
1,0,0,22,6,3,22,28,1,15,48
0,0,1,53,11,4,9,43,0,20,46
1,0,0,35,11,3,86,7,1,15,46
0,0,1,67,11,4,59,61,0,13,38
1,0,1,74,11,4,60,76,0,26,5
0,0,1,19,11,4,74,46,0,11,39
0,0,1,25,11,4,56,86,0,24,36
1,0,0,45,11,3,72,30,1,12,14
1,0,0,54,11,3,39,11,1,13,20
1,0,0,82,11,3,19,32,1,17,46
0,0,1,59,11,4,15,69,0,17,52
1,0,0,48,11,3,55,14,1,26,12
0,0,1,66,11,4,52,86,0,17,41
1,0,0,77,11,3,49,12,1,9,8
0,0,1,20,11,4,40,71,0,5,47
1,0,0,63,11,3,70,24,1,8,6
1,0,0,61,11,3,71,29,1,26,2
0,0,1,71,11,4,28,55,0,13,69
1,0,0,3,1,3,1,15,1,14,49
1,0,0,62,11,3,69,5,1,14,10
0,0,1,55,11,4,24,70,0,25,44
1,0,0,13,16,3,43,79,1,7,62
1,0,0,27,11,0,10,23,1,11,77
1,0,0,23,11,3,5,16,1,2,19
1,1,0,16,8,3,14,80,1,2,16
1,0,0,36,11,3,30,3,1,10,27
0,0,1,32,11,4,20,40,0,3,45
0,0,1,34,11,4,25,73,0,21,56
0,0,1,42,11,4,8,62,0,17,55
0,0,1,81,11,4,84,66,0,0,33
0,0,1,30,11,4,82,49,0,15,46
0,0,0,51,11,2,63,47,1,26,34
1,0,0,8,2,3,51,0,1,11,7
1,0,0,76,11,3,61,9,1,10,13
0,0,1,84,11,4,33,51,0,15,30
0,0,1,10,11,4,32,56,0,19,50
1,0,0,1,14,6,58,83,1,16,66
0,0,1,72,11,4,16,68,0,9,61
1,0,1,21,5,4,11,36,0,15,28
0,0,1,26,11,4,3,59,0,26,21
