sport_type,host_country,official_website,pro_cycling_stats_race_id,notable_participant,edition_number,start_location,commons_category,google_knowledge_graph_id,participating_teams,end_location
0,0,0,,6,,7,0,8,8,3
1,1,0,247301.0,2,107.0,6,7,7,3,4
1,5,2,171127.0,0,72.0,8,9,1,6,1
1,4,0,,5,5.0,7,2,6,8,3
1,4,0,,5,6.0,7,2,8,8,3
1,5,8,,5,,7,8,8,8,3
1,1,4,171088.0,1,104.0,2,5,0,6,4
1,5,1,173152.0,5,30.0,4,2,3,2,1
1,3,5,164129.0,5,21.0,3,2,2,1,2
1,2,6,164399.0,5,40.0,9,2,4,5,0
1,1,9,,5,,7,3,8,8,3
1,1,3,124228.0,1,101.0,5,4,8,4,4
0,0,0,,6,,7,0,8,8,3
1,4,0,,5,5.0,7,2,6,8,3
1,2,7,139069.0,4,97.0,0,1,8,0,5
1,1,9,210024.0,3,106.0,1,6,5,7,4
1,1,9,,5,,7,3,8,8,3
1,1,0,247301.0,2,107.0,6,7,7,3,4
1,4,0,,5,6.0,7,2,8,8,3
1,4,0,,5,7.0,7,2,8,8,3
1,1,9,210024.0,3,106.0,1,6,5,7,4
1,2,7,139069.0,4,97.0,0,1,8,0,5
1,5,2,171127.0,0,72.0,8,9,1,6,1
1,4,0,,5,5.0,7,2,6,8,3
1,4,0,,5,7.0,7,2,8,8,3
1,1,9,210024.0,3,106.0,1,6,5,7,4
1,1,4,171088.0,1,104.0,2,5,0,6,4
1,5,2,171127.0,0,72.0,8,9,1,6,1
