SportType,FreebaseId,OfficialWebsite,CommonsCategory
1,14,50,40
1,41,34,39
1,51,15,15
1,51,38,35
1,4,20,35
1,51,0,35
1,22,24,46
1,40,19,34
1,15,51,53
1,51,9,2
1,51,58,35
1,7,55,17
1,51,17,48
1,18,69,29
1,51,18,25
1,27,62,35
1,49,26,35
1,2,43,36
1,51,11,5
1,46,27,27
1,19,7,58
1,48,21,31
1,30,35,55
1,32,33,49
1,31,5,45
1,51,16,20
1,51,0,35
1,26,63,43
1,26,63,43
1,51,36,60
1,51,38,35
1,27,62,35
1,48,21,31
1,5,48,51
1,51,58,35
1,26,63,43
1,1,28,38
1,51,22,32
1,2,43,36
1,48,21,31
1,51,22,32
1,31,5,45
1,38,2,35
1,22,24,46
1,28,41,22
1,51,32,35
1,51,17,48
1,30,35,55
1,51,0,35
1,51,64,35
1,51,37,57
1,6,25,24
1,26,63,43
1,2,43,36
1,51,9,2
1,40,19,34
1,36,61,54
1,23,57,41
1,51,52,59
1,49,26,35
1,30,35,55
1,26,63,43
1,40,19,34
1,22,24,46
1,27,62,35
1,7,55,17
1,51,31,35
1,3,65,52
1,1,28,38
1,51,67,56
1,21,60,42
1,50,44,30
1,36,61,54
1,24,0,35
1,23,57,41
1,25,47,50
1,51,16,20
1,22,24,46
1,51,0,35
1,11,0,47
1,19,7,58
1,41,34,39
1,51,11,5
1,48,21,31
1,28,41,22
1,7,55,17
1,3,65,52
1,51,58,35
1,9,56,13
1,15,51,53
1,16,49,1
1,51,0,35
1,21,60,42
1,0,10,28
1,51,68,35
1,51,23,35
1,4,20,35
1,29,54,7
1,15,51,53
1,7,55,17
0,51,66,35
1,51,0,35
1,27,62,35
1,39,0,37
1,48,21,31
1,51,0,8
1,17,8,3
1,41,34,39
1,19,7,58
1,13,40,11
1,33,30,12
1,51,45,35
1,3,65,52
1,51,42,14
1,51,0,35
1,34,29,4
1,5,48,51
1,51,11,5
1,21,60,42
1,37,12,9
1,25,47,50
1,51,16,20
1,51,38,35
1,7,55,17
1,41,34,39
1,40,19,34
1,16,49,1
1,5,48,51
1,35,4,35
1,8,53,0
1,0,10,28
1,45,14,18
1,42,59,6
1,51,11,5
1,51,0,35
1,51,9,2
1,51,31,35
1,51,6,26
1,10,39,10
1,20,46,44
1,9,56,13
1,20,46,44
1,12,0,33
1,51,23,35
1,42,59,6
1,51,0,35
1,36,61,54
1,19,7,58
1,5,48,51
1,0,10,28
1,39,0,37
1,44,0,23
1,51,13,16
1,51,17,48
1,7,55,17
1,51,31,35
1,25,47,50
1,51,16,20
1,43,3,19
1,16,49,1
1,51,0,35
1,51,64,35
1,26,63,43
1,9,56,13
1,45,14,18
1,51,42,14
1,2,43,36
1,4,20,35
1,46,27,27
1,51,52,59
1,51,18,25
1,51,0,35
1,51,23,35
1,51,1,21
1,27,62,35
1,16,49,1
1,47,0,35
1,21,60,42
1,38,2,35
1,42,59,6
