Profession,ProfileImage,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Biography,Nationality,SportType,Birthplace,UciRiderId,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
0,13,17881.0,13,140294.0,9,5,3,5,76092.0,5,2,13,38092.0,4863.0,6,169.0
0,5,24255.0,4,181748.0,6,1,3,8,112351.0,13,6,3,105237.0,37378.0,3,173.0
0,14,13635.0,5,140629.0,7,1,2,11,23382.0,0,11,4,18419.0,1151.0,6,172.0
0,2,22906.0,2,179072.0,5,1,3,1,91626.0,11,0,1,92937.0,22272.0,4,190.0
0,8,22703.0,11,164943.0,5,1,3,6,88833.0,10,10,10,77956.0,20448.0,6,177.0
0,11,25029.0,14,196900.0,0,7,3,4,88623.0,12,1,14,91470.0,52660.0,4,178.0
0,0,1237.0,3,140800.0,8,4,3,7,29164.0,1,7,2,10911.0,706.0,5,183.0
0,3,10536.0,0,140489.0,6,1,3,10,60455.0,2,9,0,46549.0,948.0,5,183.0
0,10,26962.0,1,194248.0,6,1,3,2,149163.0,14,3,11,116298.0,45620.0,1,190.0
0,12,12843.0,10,140292.0,2,0,3,12,67388.0,4,12,9,57418.0,2276.0,0,166.0
0,4,20678.0,12,132382.0,1,6,4,3,72234.0,9,5,12,66001.0,,7,1.81
0,7,14319.0,9,140293.0,10,5,0,9,68367.0,3,8,8,58588.0,2278.0,6,173.0
0,1,18123.0,7,139801.0,3,2,3,14,68832.0,6,14,6,58401.0,6309.0,6,179.0
0,6,21439.0,6,137850.0,6,1,1,0,88951.0,8,4,5,92418.0,22268.0,2,184.0
0,9,19165.0,8,137797.0,4,3,1,13,66315.0,7,13,7,43238.0,11313.0,2,184.0
