Profession,ProfileImage,CqRankingMaleCyclistId,CommonsCategory,ProCyclingStatsCyclistId,Biography,Nationality,SportType,Birthplace,UciRiderId,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
0,11,24940.0,6,195538.0,8,6,2,13,109575.0,10,1,13,113705.0,38000.0,1,181.0
0,8,23375.0,9,170733.0,8,6,0,14,97652.0,6,8,10,98722.0,33464.0,1,192.0
0,10,26421.0,2,194085.0,2,1,2,5,148901.0,11,7,3,100908.0,45364.0,1,190.0
0,7,20861.0,8,155558.0,6,3,2,0,86624.0,3,3,9,80972.0,16816.0,1,184.0
0,6,,6,216906.0,2,1,2,7,649412.0,14,8,12,,95518.0,2,
0,6,,6,202173.0,3,4,2,7,156811.0,13,8,14,,,3,
0,5,21502.0,3,130887.0,6,3,0,2,77543.0,1,11,4,54560.0,16057.0,1,197.0
0,9,18633.0,5,133660.0,5,3,2,6,66758.0,0,4,7,62182.0,9347.0,1,
0,0,21020.0,0,132304.0,0,0,2,10,86519.0,5,2,1,72901.0,16944.0,0,183.0
0,1,,6,219102.0,2,1,2,1,649489.0,15,8,5,,,4,
0,12,20147.0,4,137832.0,4,2,0,4,75279.0,2,9,6,66493.0,10920.0,1,176.0
0,6,,6,168764.0,9,7,0,12,86658.0,8,8,0,111391.0,17008.0,1,169.0
0,2,24226.0,10,176913.0,1,1,0,11,100909.0,9,6,11,73080.0,37430.0,1,190.0
0,4,,1,170557.0,7,5,2,9,86594.0,7,0,2,81814.0,27229.0,1,183.0
0,6,28189.0,6,205750.0,2,1,1,8,109565.0,12,5,15,108930.0,69827.0,1,
0,3,21238.0,7,132431.0,8,6,1,3,79514.0,4,10,8,80578.0,16811.0,1,178.0
