GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,FIRST_NAME,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_SURNAME,BIRTH_DATE
0,61,85,4,0,26,0,1,68
0,63,65,5,17,34,0,0,86
1,2,28,3,26,71,0,0,59
1,59,36,3,27,25,0,0,28
0,38,85,4,17,84,0,1,70
0,48,50,4,15,81,0,1,30
0,48,64,4,17,85,0,1,77
1,66,12,4,2,82,0,1,40
1,56,48,3,9,17,0,0,69
1,48,8,3,15,86,0,0,35
1,26,33,3,3,18,2,0,54
1,4,38,3,0,64,0,0,75
1,14,15,3,26,54,0,0,46
1,11,31,3,15,43,0,0,52
1,28,2,4,13,41,0,1,58
0,48,49,4,10,80,0,1,67
0,36,81,4,7,78,0,1,38
0,68,72,4,14,2,0,1,5
0,32,52,4,15,32,0,1,85
1,17,26,3,23,61,0,0,15
1,76,6,3,6,22,0,0,11
1,71,19,4,10,77,0,1,82
0,60,59,4,1,12,0,1,16
1,74,20,3,15,52,0,0,81
0,44,74,4,9,45,0,1,42
0,33,83,7,6,63,0,0,8
1,80,9,3,15,60,0,0,63
0,53,45,4,15,10,0,0,18
0,57,58,4,25,33,0,1,43
1,70,32,3,9,15,0,0,47
0,0,25,4,14,0,0,1,3
0,31,55,4,17,42,0,1,80
0,45,67,4,9,20,0,1,65
1,25,4,3,1,13,0,0,39
1,1,84,3,22,39,1,0,23
0,48,42,4,20,8,0,1,50
1,50,27,3,15,21,0,0,21
1,48,37,3,18,79,0,0,64
0,48,53,4,15,80,0,1,72
1,9,21,3,11,46,0,0,37
1,67,77,3,4,73,1,0,13
0,27,1,4,5,4,0,1,6
1,75,22,3,22,44,0,0,1
0,23,44,4,4,6,0,1,32
0,19,80,4,7,66,0,1,29
0,62,39,4,21,29,0,1,27
0,73,43,4,15,28,0,1,56
0,42,51,4,1,68,0,1,10
1,79,18,3,10,67,0,0,44
1,30,34,4,15,11,0,1,20
0,81,63,4,10,76,0,1,41
1,24,7,3,3,7,0,0,62
0,39,41,4,15,75,0,1,84
1,3,30,3,15,53,0,0,71
0,41,46,4,11,74,0,1,17
0,37,85,4,24,55,0,1,24
1,16,29,3,12,72,0,0,45
1,6,24,3,8,70,0,0,61
1,13,10,3,3,48,0,0,48
0,55,69,4,17,15,0,1,57
1,21,13,3,13,37,0,0,51
0,40,62,4,13,57,0,1,68
1,8,14,3,9,47,0,0,79
0,49,71,4,5,38,0,1,19
1,15,11,3,10,59,0,0,78
1,78,76,3,8,36,0,0,55
0,72,56,4,13,27,0,1,73
1,51,16,3,14,1,0,0,2
1,10,5,3,14,69,0,0,60
0,46,70,4,25,23,0,1,53
1,65,78,3,7,40,0,0,12
1,12,35,3,15,51,0,0,31
1,20,17,3,2,5,0,0,22
1,18,79,3,2,14,1,0,14
1,29,3,3,10,30,0,0,36
0,47,40,4,3,19,0,1,32
0,58,73,4,21,24,0,1,34
0,43,85,4,17,50,0,1,66
0,34,66,4,0,83,0,1,83
0,48,54,4,8,65,0,1,33
0,35,47,2,26,62,0,0,49
1,7,0,3,11,49,0,0,7
1,5,75,4,26,58,0,1,76
0,54,61,1,14,35,0,0,4
0,52,57,4,19,31,0,1,9
1,69,82,6,16,56,0,0,0
0,64,68,4,9,16,0,1,74
1,77,23,0,11,9,0,0,26
0,22,60,4,26,3,0,1,25
