SPORT_TYPE,HOST_COUNTRY,RACE_DESCRIPTION,PARTICIPANT_NAME,GENERAL_CLASSIFICATION_WINNER,EDITION_NUMBER,START_LOCATION,END_LOCATION,GOOGLE_KNOWLEDGE_GRAPH_ID,RACE_WINNER,RACE_NAME
1,4,9,0,3,70.0,9,1,10,4,2
1,4,9,4,0,56.0,4,0,0,0,3
1,3,7,4,7,6.0,8,2,10,11,12
1,1,1,0,9,101.0,5,3,10,12,1
1,2,0,3,6,97.0,0,4,10,10,0
1,1,1,0,9,101.0,5,3,10,12,1
1,1,9,6,5,109.0,2,3,9,7,13
1,3,7,4,7,5.0,8,2,7,11,11
1,1,12,4,7,,8,2,10,11,15
1,3,7,4,7,14.0,8,2,4,6,6
1,4,10,4,7,,8,2,10,11,16
1,4,10,4,7,,8,2,10,11,16
1,3,7,4,7,5.0,8,2,7,11,11
1,1,12,4,7,,8,2,10,11,15
1,1,12,4,7,,8,2,10,11,15
1,3,7,4,7,6.0,8,2,10,11,12
1,1,6,0,1,104.0,3,3,1,2,4
1,3,8,4,7,15.0,8,2,5,3,8
0,0,5,5,7,,8,2,10,11,17
1,4,10,4,7,,8,2,10,11,16
1,3,7,4,7,8.0,8,2,10,11,14
1,1,2,0,4,105.0,7,3,2,5,5
1,2,0,3,6,97.0,0,4,10,10,0
1,2,0,3,6,97.0,0,4,10,10,0
1,3,7,4,7,14.0,8,2,4,6,6
1,1,2,0,4,105.0,7,3,2,5,5
1,1,4,1,8,107.0,6,3,8,9,10
1,1,3,2,2,106.0,1,3,3,8,7
0,0,5,5,7,,8,2,10,11,17
1,1,6,0,1,104.0,3,3,1,2,4
1,1,2,0,4,105.0,7,3,2,5,5
1,3,7,4,7,6.0,8,2,10,11,12
1,3,7,4,7,8.0,8,2,10,11,14
1,3,11,4,7,15.0,8,2,6,1,9
