SPORT_TYPE,HOST_COUNTRY,RACE_DESCRIPTION,PARTICIPANT_NAME,GENERAL_CLASSIFICATION_WINNER,EDITION_NUMBER,START_LOCATION,END_LOCATION,GOOGLE_KNOWLEDGE_GRAPH_ID,RACE_WINNER,RACE_NAME
1,2,3,5,7,87,3,8,8,12,10
1,0,3,11,12,43,6,7,1,11,2
1,0,3,2,13,55,4,3,0,6,6
1,2,0,6,0,94,9,10,6,0,7
1,2,3,10,1,58,0,6,2,1,8
1,2,3,0,6,98,2,9,8,6,9
1,6,3,3,8,85,12,11,7,7,13
1,1,2,12,11,10,8,7,8,10,1
1,5,1,7,3,35,7,4,8,3,0
1,4,3,8,10,94,11,1,3,9,4
1,6,3,1,9,64,10,0,4,8,11
1,3,3,4,4,5,5,2,5,4,5
0,0,3,9,5,62,8,7,8,5,3
1,0,3,11,2,84,1,5,8,2,12
