WeightKg,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,Biography,Nationality,Birthplace,UciRiderId,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm
2,5,,18638,11,,132259,12,6,10,70651,14,,6,11,71526,11010,7,178.0
9,9,,4555,3,2192.0,138681,3,1,7,44976,4,,2,3,17995,2146,4,189.0
1,2,53630.0,19651,1,40766.0,168753,1,0,13,78094,17,,5,1,71432,16573,2,165.0
8,1,10227.0,3360,18,133768.0,140843,7,2,5,28586,1,125462.0,10,18,18086,95,10,185.0
10,14,26009.0,12193,12,1940308.0,140797,14,7,17,54603,7,125137.0,14,12,30229,784,1,184.0
4,11,57074.0,21113,7,1182.0,162756,9,4,14,79350,18,145113.0,13,7,71921,16660,6,189.0
11,15,8424.0,6784,8,226627.0,140342,8,2,1,45024,6,,9,8,18093,1007,10,188.0
7,4,50824.0,18498,2,5628.0,138830,5,8,16,63841,15,,12,2,58906,16154,4,187.0
6,6,43391.0,7948,16,2081.0,139845,2,1,7,59022,5,,4,16,61694,865,5,179.0
3,3,41890.0,17794,4,16190.0,139904,6,3,15,68844,16,145561.0,18,4,52412,7724,3,187.0
5,12,2747.0,3448,9,1352523.0,140768,4,8,6,32923,2,113223.0,1,9,16824,14,10,175.0
3,18,6154.0,267,14,110646.0,140757,16,0,8,25781,0,111595.0,8,14,3175,339,10,170.0
0,7,40311.0,12254,5,22968.0,140150,11,5,9,64445,8,135361.0,0,5,53220,3352,4,180.0
6,10,46326.0,13153,0,2084.0,137531,11,5,2,44055,11,126206.0,7,0,25006,17940,0,181.0
6,0,28095.0,12823,13,,137337,0,0,0,58891,9,123794.0,3,13,34412,2322,10,182.0
6,16,47214.0,16722,15,34792.0,140674,13,1,12,64531,12,132670.0,17,15,52973,6228,11,183.0
3,18,6154.0,267,14,110646.0,140757,16,0,8,25781,0,111595.0,8,14,3175,339,10,170.0
4,11,57074.0,21113,7,1182.0,162756,9,4,14,79350,18,145113.0,13,7,71921,16660,6,189.0
6,8,19255.0,3891,6,508772.0,140196,15,8,4,32532,3,113194.0,16,6,11292,716,9,183.0
7,13,38259.0,13066,10,26443.0,140384,0,0,3,62919,10,,11,10,39964,2211,8,178.0
6,16,47214.0,16722,15,34792.0,140674,13,1,12,64531,12,132670.0,17,15,52973,6228,11,183.0
5,17,46924.0,16739,17,16023.0,139066,10,4,11,68892,13,135009.0,15,17,60442,3930,5,178.0
10,14,26009.0,12193,12,1940308.0,140797,14,7,17,54603,7,125137.0,14,12,30229,784,1,184.0
6,0,28095.0,12823,13,,137337,0,0,0,58891,9,123794.0,3,13,34412,2322,10,182.0
