Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
0,0,1160395,344,3,1159709
0,0,18293,401,3,17649
0,0,7200,132,4,6637
0,0,55025,356,4,54438
0,0,1464254,86,4,1463646
1,0,494817,199,4,494134
0,0,2016292,326,4,2015537
0,0,9057,385,4,8128
0,0,4555,130,4,3962
0,0,683253,96,4,682675
0,0,844685,365,3,844098
0,0,112468,398,1,111971
0,0,4870,337,4,4217
0,0,2682,259,4,1954
0,0,158502,17,4,158113
0,0,1955674,329,4,1955171
1,0,756041,97,4,755460
1,0,1368555,306,4,1367977
1,0,1487064,90,4,1486369
1,0,44362,297,3,43754
0,0,265007,253,4,264339
0,0,128464,413,2,128075
1,0,1921473,106,4,1920904
0,0,458814,349,4,458125
0,0,316703,368,4,316059
0,0,548591,220,2,548190
0,0,1604078,114,4,1603452
0,0,85370,59,4,84681
0,0,17407,256,4,16820
0,0,1033564,294,4,1032920
0,0,1738968,26,3,1738420
1,0,6677,376,4,6162
1,0,278070,217,4,277438
0,0,1731530,333,4,1730895
0,0,515441,202,4,514617
0,0,567879,378,2,567310
0,0,10321,124,4,9749
0,0,1686468,110,4,1685914
0,0,7629,224,4,6979
0,0,1645,353,4,1004
0,0,382637,55,4,382086
1,0,807869,23,3,807330
0,0,431207,424,4,430704
1,0,39701,50,4,39237
0,0,307213,254,4,306524
1,0,782,44,4,129
1,0,1132814,314,4,1132212
1,0,36247,70,4,35642
1,0,170789,66,4,170208
1,0,717564,265,4,716974
1,0,1637787,112,4,1637185
0,0,269583,417,4,268954
1,0,628319,180,3,627354
0,0,1932015,105,4,1931470
0,0,2027,38,4,1341
0,0,1743790,332,4,1743146
0,0,521226,203,4,520573
1,0,1118634,316,4,1117975
1,0,376974,53,4,376393
0,0,250738,320,4,250097
1,0,1579,2,4,1004
0,0,578960,74,4,578253
1,0,552848,142,4,552180
0,0,52129,260,4,51491
1,0,19103,377,3,18480
0,0,4829,252,4,4128
1,0,603114,233,4,602248
0,0,436400,10,4,435816
0,0,1148872,407,4,1148204
0,0,347837,16,3,347313
1,0,1581481,210,4,1580900
1,0,1081012,403,4,1080440
0,0,15668,341,4,15015
1,0,6518,300,4,5874
1,0,33001,18,4,32291
1,0,527500,426,4,526817
1,0,668902,146,4,668282
0,0,1995197,212,4,1994529
0,0,216763,319,4,216122
0,0,596495,157,4,595866
0,0,416038,380,4,415541
1,0,463493,99,3,462885
1,0,14001,391,4,13402
0,0,385637,19,3,384969
1,0,627298,98,4,626603
1,0,1845,386,2,1489
1,0,375081,120,4,374536
0,0,1473130,85,4,1472456
1,0,1134002,405,4,1133424
1,0,468801,293,4,468253
0,0,42175,383,4,41594
0,0,9261,126,4,8539
1,0,400683,54,4,400036
1,0,35038,299,4,34388
0,0,416102,242,4,415509
1,0,13194,346,3,12661
1,0,653543,82,4,652923
1,1,327963,422,4,327337
0,0,78452,296,4,77844
0,0,2893,381,4,2228
1,0,38888,77,4,38181
1,0,22995,301,2,22609
1,0,1066542,402,4,1065931
0,0,438865,348,4,438233
0,0,345916,151,4,345353
0,0,499409,363,3,498789
0,0,262228,36,4,261515
1,0,350824,411,2,350453
0,0,224418,164,4,223792
0,0,17055,46,4,16375
1,0,1049,279,4,204
1,0,807166,149,4,806492
1,0,874302,270,3,873739
1,0,281,8,5,3
0,0,16035,339,4,15472
1,0,311595,409,2,311224
1,0,6125,9,4,5631
0,0,582243,75,4,581596
0,0,1670681,27,4,1670067
0,0,544317,144,1,543658
0,0,285006,241,4,284026
0,0,482096,249,4,481446
0,0,16573,162,4,15977
0,0,1236,123,4,691
1,0,2152710,104,4,2152117
0,0,218124,163,4,217234
1,0,505974,290,4,505327
0,0,314714,121,4,314181
0,0,729959,94,4,729363
1,0,358436,273,2,358038
1,0,594102,227,4,593512
1,1,22696,71,4,22061
0,0,1261581,321,3,1260970
0,0,160801,400,4,160181
0,0,10872,102,3,10210
1,0,412598,275,4,411981
1,0,517192,289,4,516578
1,0,53893,303,4,53279
0,0,253563,283,4,252895
0,0,237931,281,4,237338
0,0,266589,173,4,265723
0,0,1078119,189,4,1077559
1,0,468817,292,4,467864
1,0,1243238,183,4,1242540
0,0,1176204,396,4,1175530
0,0,6197,384,4,5628
1,0,47042,78,4,46335
0,0,374682,40,4,374062
0,0,1420673,89,4,1420101
1,0,388432,191,2,388043
0,0,70633,57,4,70109
0,0,11230,371,4,10535
0,0,694973,304,4,694383
0,0,1677970,116,4,1677395
0,0,5761,372,4,5141
0,0,1886263,213,4,1885670
1,0,320021,421,4,319437
1,0,282372,170,4,281740
0,0,456160,318,4,455483
1,0,36542,382,4,35961
1,0,602338,317,4,601643
1,0,377041,360,4,376496
1,0,1142859,406,4,1142287
1,0,1481322,91,4,1480762
1,0,1306828,204,4,1306226
1,0,1739,5,4,1236
0,0,410649,138,2,410251
0,0,1587490,207,4,1586741
1,0,2442,280,4,1612
1,0,333597,423,4,332944
0,0,1411596,20,4,1410949
0,0,260483,174,4,259935
0,0,917604,269,4,916954
1,0,371048,272,4,370350
1,0,11470,45,2,11081
0,0,377176,139,4,376607
0,0,1943209,7,4,1942577
1,0,7470,264,4,6853
0,0,120884,33,2,120498
1,0,21243,13,4,20602
1,0,617680,228,4,617066
0,1,340144,410,4,339536
0,0,862102,237,3,861431
0,0,1875155,214,4,1874526
1,0,633183,229,2,632827
0,0,59685,47,4,58891
0,0,1611491,327,4,1610868
0,0,31626,354,4,31012
1,0,76266,274,4,75574
0,0,430625,11,4,430509
0,0,288480,172,4,287506
0,0,1187163,343,4,1186465
0,0,1200244,309,4,1199621
0,0,18926,387,4,18276
1,0,2115566,24,4,2114982
1,0,1109679,313,4,1109041
1,0,1559,49,4,987
0,0,413954,415,4,413337
1,0,159847,65,4,159101
1,0,1139142,312,4,1138561
1,0,462219,361,4,461563
1,0,1348,165,4,512
0,0,1344856,195,4,1344239
1,0,203566,68,2,203195
1,0,3660,192,4,3085
0,0,1001979,93,4,1001410
0,0,1671935,117,3,1671336
1,0,3008,160,4,2760
0,0,17644,345,4,17072
0,0,393310,276,4,392783
0,0,1025055,188,4,1024453
1,0,1654543,29,4,1654004
1,0,11006,12,4,10434
0,0,1840810,108,4,1840178
1,0,1182146,310,4,1181541
1,0,356421,429,3,355831
0,0,398667,244,4,398035
1,0,1235855,184,2,1235211
0,0,1806636,334,4,1806064
0,0,7249,51,4,6641
0,0,452612,277,4,451995
0,0,425782,137,2,425384
0,0,1121,1,4,531
1,0,725245,148,4,724664
0,0,7534,340,2,7151
0,0,14571,374,4,14272
0,0,244449,284,4,243556
0,0,622513,25,4,621803
0,0,261062,171,4,260553
0,0,253089,175,4,252442
0,0,305429,369,4,304515
0,0,690105,145,3,689434
1,0,26110,302,4,25487
0,0,55203,79,4,54550
1,0,6670,222,4,6140
0,0,467996,362,4,467418
0,0,1079,125,2,750
1,1,1784731,330,4,1784156
0,0,1392058,305,4,1391459
1,0,174019,63,4,173294
1,0,44727,392,3,44119
0,0,978860,271,1,978390
0,0,7294,257,4,6638
0,0,9111,129,2,8734
1,0,641578,81,4,640880
0,0,2852,15,4,2211
0,0,1610144,113,4,1609563
1,0,225709,67,3,225092
1,0,873,4,4,262
1,0,504309,425,3,503911
0,0,1707,375,4,1054
0,0,570400,73,4,569783
0,0,897457,268,4,896894
1,0,528985,288,4,528356
