Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
0,12460992,117,39,12457699
1,21664027,170,38,21662360
1,14716347,126,41,14714348
0,24261916,182,22,24259394
1,16959828,143,38,16958119
0,22507853,175,23,22506750
1,5808507,86,20,5806811
0,4347332,75,32,4345470
1,19111241,156,38,19109871
1,189059,56,38,186996
1,7321944,29,43,7320766
0,5564839,82,39,5563799
0,16126477,136,20,16125630
0,16125431,135,19,16124496
1,6496823,88,24,6495699
1,22866651,177,39,22865183
1,6962,185,26,4240
0,22420594,174,38,22418891
0,6623857,89,20,6622859
0,517377,186,23,516034
1,740910,58,38,739147
1,4478317,21,43,4476602
0,6731177,90,26,6730012
0,8345450,99,19,8343849
1,1163943,62,20,1162260
0,166610,3,34,159343
0,12044915,45,44,12043926
1,7308392,95,23,7307190
0,11814846,113,21,11812601
0,14246569,121,38,14244689
0,15525233,53,0,15523344
1,10367781,108,38,10366297
1,19353997,157,19,19353143
1,11228364,111,20,11227465
0,4821949,22,3,4818629
1,802447,11,19,797690
0,6404545,26,2,6402818
1,3890743,20,5,3888761
1,7536063,33,44,7534078
0,4110404,74,36,4109244
1,7085743,94,19,7084628
0,14417657,125,19,14416290
1,10471813,41,6,10470053
1,17169188,145,38,17167599
1,17204565,146,38,17202847
0,901193,59,23,900303
0,7485958,32,11,7483058
1,5310760,79,19,5309435
1,11930294,114,38,11928846
0,1138017,61,20,1136944
0,11141122,110,20,11139777
0,3552202,18,12,3549812
1,14297622,122,38,14294152
1,16271105,138,35,16270171
1,19098062,155,19,19092804
1,1488889,8,18,1488146
1,720767,1,18,720270
1,954065,60,25,950709
0,8446783,36,10,8444390
1,4986283,78,20,4984864
0,6830368,91,19,6828929
0,11411332,112,20,11410333
1,15699505,132,19,15698438
0,2395872,70,41,2393881
1,1946524,66,31,1945502
0,15368259,129,19,15366826
0,14309948,123,37,14308893
1,4787700,76,19,4786735
1,7223642,27,1,7222040
0,10863636,109,38,10862464
0,13110183,49,2,13108690
0,1537359,16,6,1535937
1,6917763,93,20,6916226
1,14082326,120,19,14081394
0,9633706,104,20,9632528
1,5758988,24,0,5757861
1,81654,9,18,80512
1,23853903,180,38,23852545
1,16962662,144,19,16961430
1,174089,4,34,167799
1,3888303,19,43,3887290
1,12055523,115,20,12054483
1,99081,2,34,91365
1,7438734,97,19,7437391
0,4822884,23,17,4821965
0,15575248,131,19,15573908
0,13113318,50,9,13110727
1,9950434,107,20,9949362
1,8353309,100,23,8351207
1,21338975,167,23,21337707
1,16290323,139,40,16287284
1,8749,187,23,7319
1,24325727,183,19,24324600
1,14737741,52,14,14736827
0,8123260,35,30,8119900
0,22034406,172,20,22033199
0,7470439,31,0,7468958
1,8082833,98,25,8078484
1,1555909,17,7,1553879
0,18805214,151,20,18803756
0,16044124,134,38,16042352
1,1377494,64,43,1376007
1,7409936,30,5,7408131
1,19092299,154,19,19091385
0,8477276,37,16,8475756
1,3748838,73,19,3747495
1,16306157,140,20,16305157
1,7726763,34,43,7725846
0,12245091,116,20,12243976
0,20537413,161,19,20536571
0,3991758,6,2,3988690
0,5631591,83,23,5630353
1,11526257,43,8,11525184
1,9713721,105,20,9711766
0,21494170,168,19,21492995
0,16917457,142,39,16914834
0,22370663,173,39,22368995
1,9818594,39,0,9817575
1,15205645,128,42,15204587
0,1190069,63,39,1189272
1,6206204,25,44,6205003
0,196430,5,34,190759
1,6407978,87,19,6406782
0,3320883,71,23,3319447
1,1394797,65,20,1393953
0,20921047,165,39,20919837
0,23094018,178,20,23092635
1,2196289,69,32,2194207
1,5133342,7,34,5130638
0,1681418,12,20,1679283
0,13085487,48,13,13081270
0,19533804,158,21,19532201
0,9534947,103,27,9531795
1,1115867,10,20,1114074
1,15572469,130,20,15571309
1,157156,55,19,156131
0,20629260,162,19,20624929
0,9897110,106,21,9895189
0,20644984,164,20,20643740
0,21910490,171,39,21909174
1,13184258,51,30,13181388
1,11528056,44,0,11526539
0,5694837,85,38,5693386
1,10166666,40,3,10162488
1,18902845,152,20,18901746
1,16194865,137,38,16193285
1,19068634,153,19,19067516
1,17510816,149,19,17509830
1,24166126,181,19,24164795
1,20643501,163,25,20641411
1,15718387,133,38,15717122
0,12991286,47,30,12990102
1,9281160,38,30,9279771
0,2148612,68,19,2147431
0,1535813,15,43,1533903
1,12080076,46,4,12076498
0,20186152,160,19,20185019
1,14784791,127,38,14783577
1,23555821,179,19,23554982
0,17302256,147,31,17300595
0,17931183,150,20,17930112
1,8501731,101,20,8500823
0,7252507,28,15,7251456
0,14313028,124,37,14311819
1,22703905,176,21,22702368
1,690524,0,18,690027
1,10473550,42,2,10471814
0,13564907,118,20,13563621
1,9395484,102,19,9394522
1,13800591,119,28,13799374
1,5535594,81,38,5533789
0,4961093,77,20,4960051
1,6835055,92,20,6834118
1,1983400,67,31,1981871
0,19933346,159,39,19929547
0,578294,57,38,576495
1,21500635,169,38,21499448
0,21207146,166,19,21206232
0,7436601,96,29,7431780
1,24417944,184,38,24416316
1,990467,14,13,986793
1,17430624,148,36,17429500
0,39504,54,20,38457
1,5654798,84,21,5652840
0,1988897,13,20,1987326
0,3668916,72,45,3665455
1,16629275,141,19,16628019
1,5418484,80,33,5417666
