host_country,official_website,total_participants,pro_cycling_stats_race_id,edition_number,race_type,start_location,end_location,google_knowledge_graph_id,race_winner,race_name
4,1,176.0,209970.0,102,2,3,14,12,11,7
7,7,147.0,181404.0,82,11,8,1,3,12,4
8,6,140.0,209898.0,1,13,0,2,6,10,12
6,3,198.0,171127.0,72,15,13,6,0,1,2
3,2,159.0,247313.0,84,0,14,9,15,7,14
1,13,174.0,219106.0,73,6,7,8,10,0,8
7,15,,209948.0,73,10,12,4,13,10,11
3,4,199.0,171015.0,115,7,6,11,1,6,1
0,8,133.0,209890.0,21,9,1,15,7,2,10
3,12,147.0,248217.0,44,8,15,10,11,3,15
4,5,200.0,170996.0,108,5,10,12,2,8,0
6,9,175.0,209925.0,99,14,5,0,9,9,13
5,0,124.0,182099.0,2,12,2,5,5,5,5
0,11,110.0,209891.0,5,1,9,3,8,4,6
9,14,138.0,210025.0,8,4,4,13,14,4,9
2,10,143.0,181954.0,9,3,11,7,4,7,3
