StrandOrientation,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,320234,145,145,0,15,319014
1,81801,40,40,0,45,80905
1,15410,226,226,1,38,14340
0,2162466,66,66,0,19,2161639
0,779639,94,94,1,14,778437
1,1098996,239,239,0,18,1097833
1,444826,201,201,0,14,443996
0,1077230,227,227,0,15,1076451
1,33929,169,169,0,2,32910
0,1422032,55,55,0,19,1421220
1,652441,52,52,1,8,651695
0,402463,87,87,0,5,401243
0,18040,106,106,0,58,16886
1,402910,137,137,0,14,402068
0,1153229,240,240,0,18,1151997
1,750678,154,154,0,18,750031
1,9906,4,4,0,23,8728
1,12258,153,153,0,69,11053
1,2202990,65,65,0,19,2202343
0,1011398,157,157,0,18,1010715
0,375897,23,23,0,19,375253
1,992655,211,211,0,14,991897
1,4632,135,135,0,32,3406
0,581117,205,205,0,14,580287
1,493669,119,119,1,15,492404
1,749602,56,56,0,19,748862
0,1832,61,61,0,47,591
0,217780,244,244,0,5,216641
1,1088191,238,238,0,18,1087412
0,822069,208,208,0,14,821287
0,10709,218,218,1,78,9531
0,23056,193,193,0,74,22262
0,691455,91,91,0,14,690643
0,497406,34,34,1,4,496306
1,365512,36,36,0,4,364310
0,9985,149,149,0,66,9303
0,4174,29,29,1,42,2966
0,1070767,196,196,0,14,1069991
1,599280,204,204,0,14,598465
1,26139,27,27,0,42,25351
1,182780,42,42,1,12,181743
0,196658,242,242,0,5,195561
1,394684,22,22,0,14,394031
0,1897997,126,126,0,18,1897239
1,1860,162,162,0,70,1114
0,589228,206,206,0,14,588062
0,400728,176,176,0,15,399566
0,617253,207,207,0,14,616495
0,745129,161,161,1,9,744176
0,1428734,54,54,0,19,1428093
1,1968229,124,124,0,18,1967444
0,13702,26,26,1,41,12743
0,1193619,232,232,0,15,1192936
0,210588,243,243,0,5,209491
0,17599,79,79,1,51,16553
0,1057942,131,131,0,14,1056725
1,663709,103,103,0,18,662936
0,1471918,183,183,0,17,1470884
1,884301,139,139,1,14,883339
0,18090,96,96,0,53,17131
1,1783506,128,128,0,18,1782673
0,1194158,233,233,0,15,1193721
1,5205,97,97,1,54,4201
0,177073,104,104,1,20,175745
0,153559,235,235,0,80,152606
0,4472,216,216,0,76,3321
1,979496,114,114,0,19,978543
1,1905082,69,69,0,19,1904309
1,27009,45,45,1,28,25858
0,38006,197,197,0,75,37197
0,1221966,178,178,0,17,1220947
1,226729,43,43,0,12,226322
0,76658,39,39,1,45,76494
1,987733,112,112,0,19,987176
1,937169,156,156,1,18,936387
1,416187,120,120,0,15,415021
1,983808,113,113,0,19,982858
1,497744,118,118,1,15,496932
1,3831,170,170,1,73,3070
0,3587,163,163,1,71,2544
1,10011,38,38,0,44,9199
0,1474427,53,53,0,19,1473666
0,36547,223,223,0,37,35690
1,531335,174,174,0,1,530982
1,477748,117,117,1,15,476525
1,1925877,68,68,1,19,1925107
1,1564778,74,74,0,19,1564014
0,1106541,228,228,0,15,1105297
1,15525,108,108,0,31,14710
1,2102,110,110,1,59,1101
1,178084,109,109,0,16,176870
1,712890,92,92,0,14,712129
1,77581,8,8,0,8,76523
0,855470,138,138,0,14,854496
1,1677,77,77,0,49,712
0,301271,146,146,0,15,300510
0,11639,198,198,1,75,10170
1,2202884,185,185,0,18,2202237
1,1487286,181,181,0,17,1486264
1,2879,133,133,0,62,2091
0,12102,220,220,0,35,11231
1,563168,89,89,1,14,561921
1,12897,5,5,0,24,11857
0,878597,141,141,0,14,877761
0,2640,172,172,1,33,1327
1,2089274,123,123,0,18,2088630
0,384191,37,37,0,4,383100
1,323886,160,160,0,11,323095
0,571633,48,48,0,7,570836
0,684782,58,58,0,19,683826
0,914563,155,155,0,18,913814
0,31139,62,62,0,48,29922
0,1247221,180,180,1,17,1246121
1,1222996,105,105,0,19,1222181
0,297062,81,81,0,14,295851
0,1049347,132,132,0,14,1048619
1,36628,46,46,0,28,35402
1,1131697,171,171,1,19,1130438
0,31870,222,222,0,37,31118
1,363876,158,158,0,12,363610
1,946792,6,6,0,14,945539
0,2901,221,221,1,36,1762
0,1639752,122,122,0,17,1638709
0,644758,116,116,0,6,643769
1,17814,236,236,0,80,16873
1,826530,12,12,0,18,825718
0,335,10,10,0,25,3
1,7239,184,184,1,0,5971
0,41030,151,151,1,68,39978
0,19059,167,167,0,72,18244
0,1188618,194,194,0,14,1187623
0,1745136,192,192,0,19,1744339
1,2521,107,107,1,58,1283
0,250812,144,144,0,15,249592
0,731234,57,57,0,19,730422
1,1075329,3,3,0,14,1075195
0,137805,159,159,1,12,136807
0,492438,202,202,0,14,491209
0,1604402,189,189,0,18,1603254
1,11189,50,50,0,46,10047
1,13960,13,13,1,26,13361
0,39296,63,63,0,48,38151
1,375903,35,35,0,4,374896
0,12268,237,237,0,81,10958
1,2097143,191,191,0,19,2096334
0,13009,152,152,0,68,11804
0,550504,49,49,0,7,549704
1,11743,224,224,0,37,10985
0,556235,173,173,1,1,555144
0,1165493,230,230,0,15,1164663
0,381597,14,14,1,10,380962
1,9178,76,76,0,29,8375
1,2165485,186,186,0,18,2164835
0,41345,80,80,1,30,40839
0,29968,165,165,1,72,28721
0,358168,101,101,0,18,357524
1,517373,21,21,1,14,516597
0,37518,31,31,0,27,36670
0,1588977,121,121,0,17,1588012
1,1147481,177,177,0,17,1146423
0,15379,219,219,0,78,14528
0,77977,41,41,0,3,77144
0,658646,90,90,0,14,657867
1,3650,148,148,0,65,2478
1,551759,88,88,1,14,550737
0,79682,168,168,0,13,78918
1,614,51,51,0,46,222
1,1921338,125,125,1,18,1920505
1,287088,99,99,1,12,285889
0,1173402,231,231,0,15,1172566
1,37248,166,166,0,72,35989
1,55904,32,32,1,27,55386
