Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,419867,29,29,419010
1,1404526,44,44,1403861
0,25097,62,62,24648
0,1771495,45,45,1771046
1,334491,38,38,333733
1,2108845,49,49,2108303
0,106626,2,2,106183
0,1500372,21,21,1500022
1,1589372,24,24,1589025
0,187539,4,4,186739
0,249755,32,32,248955
0,18478,14,14,17702
0,455384,89,89,454782
1,582312,0,0,581629
1,2189977,81,81,2189303
0,249191,31,31,247920
0,192020,69,69,191304
1,360949,37,37,360191
1,5270,61,61,4815
1,1188592,75,75,1187834
1,541726,16,16,540743
1,260224,52,52,259535
1,1795788,48,48,1795339
0,1266329,79,79,1265664
0,229245,104,104,228751
0,439937,92,92,439305
0,47774,64,64,46746
0,215252,107,107,214692
0,2006097,83,83,2005645
0,241884,26,26,241294
1,374729,77,77,373830
0,187858,12,12,187097
1,1335494,34,34,1334871
0,407069,58,58,406629
0,190450,99,99,190100
1,1379076,73,73,1378327
0,19040,55,55,18594
1,1249825,36,36,1249373
0,873951,10,10,873346
1,491545,94,94,490745
1,447197,93,93,446745
0,1327169,35,35,1326369
0,311877,51,51,310678
1,508560,17,17,507559
1,1480543,80,80,1479323
1,1915099,47,47,1914353
1,2054734,8,8,2054069
0,24241,28,28,23690
1,369901,13,13,369557
1,533902,105,105,533237
0,1292754,33,33,1292116
1,17745,71,71,16912
0,509814,68,68,509014
0,58473,1,1,57784
0,1027295,100,100,1026840
1,2144974,23,23,2144312
0,258510,78,78,258202
1,976756,41,41,976091
0,3241,97,97,2789
1,2046738,9,9,2046013
0,469905,60,60,469240
0,293595,57,57,292942
0,21345,88,88,20596
1,533360,15,15,532377
1,1125325,76,76,1124525
1,1146722,87,87,1145835
1,30522,86,86,29761
1,1962152,46,46,1961658
1,2014286,50,50,2013333
1,985522,39,39,984710
1,535778,102,102,534804
0,574747,30,30,573722
1,981065,40,40,980400
1,548988,18,18,548008
1,972438,42,42,971773
1,1474,7,7,1025
1,522763,56,56,521789
1,1694721,6,6,1693825
0,434224,91,91,433772
0,25672,63,63,25139
0,835812,96,96,835600
0,1117094,98,98,1116687
1,404244,66,66,403621
1,614408,95,95,613791
1,213832,25,25,212933
0,1966887,84,84,1966264
1,3147,53,53,2389
0,121362,106,106,120919
0,386361,59,59,385708
1,166893,3,3,166510
1,16682,72,72,16377
0,203789,70,70,203085
0,1533448,19,19,1532690
1,1351182,74,74,1350433
1,6198,5,5,5503
1,430215,103,103,429457
1,26420,54,54,25257
1,1129040,101,101,1128585
1,390327,11,11,389875
1,2167272,82,82,2166841
0,4118,27,27,3549
0,45033,90,90,44497
1,576203,43,43,575301
1,930230,65,65,929781
0,1962116,85,85,1960989
1,561672,67,67,560914
1,989439,22,22,989029
1,1512529,20,20,1511897
