GeneInstanceType,GeneDbId,GeneLabel,ChromosomeLocation,GeneSubclass,EncodedProtein,GenomicEndPosition,OrthologousGene,GenomicStartPosition,StrandOrientation
0,118,118,12,0,39,12460992,8,12457699,0
0,171,171,12,0,38,21664027,12,21662360,1
1,127,127,12,1,41,14716347,13,14714348,1
1,183,183,12,1,22,24261916,17,24259394,0
0,144,144,12,0,38,16959828,5,16958119,1
0,176,176,12,0,23,22507853,5,22506750,0
0,87,87,12,0,20,5808507,11,5806811,1
1,76,76,12,1,22,4686426,13,4684330,0
0,157,157,12,0,38,19111241,12,19109871,1
0,57,57,12,0,38,578294,8,576495,0
0,29,29,1,0,43,7321944,7,7320766,1
0,83,83,12,0,39,5564839,11,5563799,0
0,137,137,12,0,20,16126477,11,16125630,0
0,136,136,12,0,19,16125431,8,16124496,0
0,89,89,12,0,24,6496823,11,6495699,1
0,178,178,12,0,39,22866651,5,22865183,1
0,186,186,10,0,23,517377,22,516034,0
0,175,175,12,0,38,22420594,5,22418891,0
0,90,90,12,0,20,6623857,8,6622859,0
0,187,187,11,0,20,404271,25,403456,0
0,59,59,12,0,23,901193,11,900303,0
0,21,21,1,0,43,4478317,7,4476602,1
1,91,91,12,1,26,6731177,13,6730012,0
0,100,100,12,0,19,8345450,11,8343849,0
0,63,63,12,0,39,1190069,11,1189272,0
1,3,3,2,1,34,166610,10,159343,0
0,45,45,1,0,4,12080076,23,12076498,1
0,96,96,12,0,23,7308392,8,7307190,1
1,114,114,12,1,21,11814846,13,11812601,0
0,122,122,12,0,38,14246569,11,14244689,0
0,53,53,1,0,5,15526762,7,15525344,1
0,109,109,12,0,38,10367781,8,10366297,1
0,158,158,12,0,19,19353997,12,19353143,1
0,112,112,12,0,20,11228364,8,11227465,1
0,22,22,1,0,3,4821949,23,4818629,0
0,11,11,7,0,19,802447,18,797690,1
0,26,26,1,0,2,6404545,23,6402818,0
0,20,20,1,0,5,3890743,23,3888761,1
0,33,33,1,0,44,7536063,23,7534078,1
1,75,75,12,1,32,4347332,17,4345470,0
0,95,95,12,0,19,7085743,11,7084628,1
0,126,126,12,0,19,14417657,11,14416290,0
0,41,41,1,0,6,10471813,7,10470053,1
0,146,146,12,0,38,17169188,5,17167599,1
0,147,147,12,0,38,17204565,5,17202847,1
