StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,GenomicStartPosition
1,373963,27,27,372953
1,257891,50,50,256881
1,235050,56,56,234100
0,213667,38,38,212129
1,587198,71,71,585768
1,2377,104,104,1157
0,1290307,45,45,1289624
1,318674,67,67,317781
0,340298,29,29,339360
1,3259,102,102,2075
1,714,42,42,1
1,441837,113,113,440959
0,426250,88,88,425120
1,575815,95,95,574721
1,14514,80,80,13402
0,705562,22,22,704282
0,217615,120,120,216422
0,553985,24,24,552546
1,381686,70,70,380409
1,669822,44,44,668569
0,220225,39,39,218687
1,86161,14,14,85631
1,539819,18,18,538632
0,762518,23,23,761364
0,633557,4,4,632190
1,272650,51,51,271751
0,117411,119,119,116032
0,283947,40,40,282400
0,319749,111,111,318496
1,368482,28,28,367493
1,502004,91,91,500910
1,549818,100,100,548385
1,523271,17,17,522144
0,626457,20,20,625132
0,307709,76,76,306750
1,267266,52,52,266289
1,747400,64,64,746270
1,496221,90,90,495283
0,29669,79,79,28731
1,20974,81,81,19538
1,617521,98,98,616619
1,1080003,106,106,1078741
0,1505678,21,21,1504257
0,427442,60,60,425919
0,431585,89,89,430644
0,2899,109,109,1952
1,1905561,49,49,1904098
1,64367,68,68,62844
0,263994,8,8,262717
0,924009,58,58,922486
1,288343,117,117,287549
0,514203,114,114,514066
1,722553,63,63,721447
1,1706820,5,5,1705558
1,212824,57,57,211883
1,444750,87,87,443839
0,493306,84,84,491759
0,245389,41,41,244757
0,437122,86,86,436220
0,1798125,75,75,1796725
0,518865,115,115,517981
1,544003,97,97,543026
0,286679,59,59,285567
1,28060,82,82,27086
1,16755,13,13,15559
1,456889,101,101,455630
1,14110,53,53,13145
0,21643,54,54,20600
1,1556126,74,74,1554660
0,622717,37,37,621833
1,496985,116,116,495984
0,2612,2,2,1824
0,17420,33,33,16842
0,284733,112,112,283762
0,218013,32,32,216889
1,489099,94,94,488107
0,400752,61,61,399232
1,1562,19,19,393
0,514924,66,66,514307
1,19265,77,77,18156
1,1056372,105,105,1055425
0,67859,15,15,66546
1,514925,16,16,513729
1,315559,118,118,315128
0,1977944,47,47,1976967
1,229688,55,55,228501
1,1855873,26,26,1854422
1,604409,96,96,603339
1,1862763,25,25,1861267
1,541977,108,108,540886
0,25674,103,103,24613
0,449733,1,1,448939
1,579257,43,43,578298
0,1593162,46,46,1591861
1,507159,92,92,506107
1,437723,35,35,436782
1,1564652,0,0,1564452
1,625575,99,99,624448
0,1263503,73,73,1262121
1,220328,30,30,219990
0,418436,34,34,417618
0,3154,83,83,2129
1,48657,11,11,47974
1,481887,93,93,480445
0,24337,78,78,23213
1,546194,72,72,544968
1,273888,85,85,272725
0,9331,12,12,7841
0,1679690,6,6,1678407
0,976612,65,65,975470
0,1497988,69,69,1497068
0,190441,10,10,189542
0,463276,62,62,461756
1,2058209,7,7,2056686
0,8433,110,110,7429
1,212508,31,31,211570
0,347997,36,36,346477
1,1973004,48,48,1972075
1,197165,9,9,196203
1,1698039,3,3,1696570
1,1127958,107,107,1127086
