ViafId,GndId,LibraryOfCongressAuthorityId
189116956.0,14,42
150028558.0,49,21
127756949.0,19,15
159364209.0,54,11
144248059.0,8,43
141810140.0,36,35
129679518.0,9,34
159367111.0,25,3
150028558.0,49,21
128919823.0,6,12
146498911.0,23,6
168830626.0,53,60
130168302.0,57,4
159364209.0,54,11
315090694.0,64,0
8.191487536786413e+20,1,36
152376980.0,48,50
235482277.0,46,5
148842731.0,35,19
151848213.0,26,32
129679518.0,9,34
8.191487536786413e+20,1,36
125405737.0,21,41
152376980.0,48,50
8.191487536786413e+20,1,36
157021581.0,10,49
130168302.0,57,4
249092451.0,64,0
2.981490666256656e+20,33,53
189116956.0,14,42
128544491.0,56,20
264091107.0,16,7
125405737.0,21,41
189116956.0,14,42
156652814.0,64,0
141826349.0,43,52
140638492.0,31,29
168830626.0,53,60
130228708.0,4,57
141810140.0,36,35
189116956.0,14,42
150084159.0,60,28
128920607.0,42,10
152361066.0,24,14
152361066.0,24,14
130228708.0,4,57
154775570.0,32,47
130890862.0,3,40
133609710.0,44,8
244992873.0,52,18
141810140.0,36,35
157021581.0,10,49
134320092.0,15,56
144248059.0,8,43
264091107.0,16,7
189116956.0,14,42
159364209.0,54,11
2.981490666256656e+20,33,53
146498911.0,23,6
148842731.0,35,19
156652814.0,64,0
133694435.0,28,45
130228708.0,4,57
168830626.0,53,60
140638492.0,31,29
137143200.0,38,33
133609710.0,44,8
155871049.0,47,16
150084159.0,60,28
2.981490666256656e+20,33,53
148842731.0,35,19
130890862.0,3,40
265182984.0,64,0
133609710.0,44,8
264091107.0,16,7
1.5414971764641097e+20,30,0
2.413157416853817e+21,51,2
152361066.0,24,14
152376980.0,48,50
2.981490666256656e+20,33,53
130168302.0,57,4
130168302.0,57,4
141810140.0,36,35
146498911.0,23,6
135958350.0,13,13
152361066.0,24,14
159364209.0,54,11
235482277.0,46,5
146499420.0,5,30
159367111.0,25,3
152361066.0,24,14
128544491.0,56,20
159364209.0,54,11
154775570.0,32,47
131265011.0,18,37
154775570.0,32,47
129569873.0,45,1
148842731.0,35,19
264091107.0,16,7
128920607.0,42,10
153009195.0,37,38
125405737.0,21,41
130890862.0,3,40
233665742.0,11,23
152376980.0,48,50
8.191487536786413e+20,1,36
122772486.0,2,22
159364209.0,54,11
128919823.0,6,12
148842731.0,35,19
236812499.0,64,0
144248059.0,8,43
128920607.0,42,10
154323889.0,41,24
125405737.0,21,41
156652814.0,64,0
128544491.0,56,20
146498911.0,23,6
189116956.0,14,42
150084159.0,60,28
140638492.0,31,29
159367111.0,25,3
133609710.0,44,8
128920607.0,42,10
264091107.0,16,7
153009195.0,37,38
264091107.0,16,7
123896014.0,50,17
157818740.0,29,39
125405737.0,21,41
264091107.0,16,7
129569873.0,45,1
146499420.0,5,30
153009195.0,37,38
134320092.0,15,56
154775570.0,32,47
123896014.0,50,17
2.413157416853817e+21,51,2
130168302.0,57,4
144248059.0,8,43
144248059.0,8,43
133694435.0,28,45
127756949.0,19,15
153009195.0,37,38
8.191487536786413e+20,1,36
129569873.0,45,1
150028558.0,49,21
146499420.0,5,30
140638492.0,31,29
159367111.0,25,3
154775570.0,32,47
141826349.0,43,52
129679518.0,9,34
264091107.0,16,7
124322284.0,58,27
8.191487536786413e+20,1,36
127756949.0,19,15
159364209.0,54,11
133609710.0,44,8
144248059.0,8,43
134815917.0,20,46
155871049.0,47,16
235482277.0,46,5
144248059.0,8,43
150084159.0,60,28
133694435.0,28,45
134262032.0,55,44
130761514.0,39,61
129679518.0,9,34
130168302.0,57,4
136600716.0,27,9
8.191487536786413e+20,1,36
135958350.0,13,13
155695791.0,34,25
133609710.0,44,8
233665742.0,11,23
125405737.0,21,41
154323889.0,41,24
129679518.0,9,34
130890862.0,3,40
159364209.0,54,11
134262032.0,55,44
236812499.0,64,0
140638492.0,31,29
264091107.0,16,7
159367111.0,25,3
265182984.0,64,0
146498911.0,23,6
8.191487536786413e+20,1,36
122772486.0,2,22
128919823.0,6,12
125405737.0,21,41
235482277.0,46,5
130168302.0,57,4
158208597.0,22,26
144248059.0,8,43
140638492.0,31,29
128544491.0,56,20
233665742.0,11,23
129569873.0,45,1
152361066.0,24,14
130168302.0,57,4
154775570.0,32,47
235482277.0,46,5
159454011.0,0,51
136600716.0,27,9
158208597.0,22,26
127756949.0,19,15
150084159.0,60,28
129679518.0,9,34
128920607.0,42,10
159364209.0,54,11
129569873.0,45,1
1.514591099972706e+19,63,0
146498911.0,23,6
155871049.0,47,16
132441531.0,64,31
129679518.0,9,34
136600716.0,27,9
159367111.0,25,3
122772486.0,2,22
132441531.0,12,31
141826349.0,43,52
133609710.0,44,8
152361066.0,24,14
134514056.0,17,0
159367111.0,25,3
152258844.0,59,54
157021581.0,10,49
130168302.0,57,4
125426357.0,7,48
152361066.0,24,14
140638492.0,31,29
236812499.0,64,0
148842731.0,35,19
152361066.0,24,14
130890862.0,3,40
146498911.0,23,6
157021581.0,10,49
141810140.0,36,35
137143200.0,38,33
125405737.0,21,41
152376980.0,48,50
233665742.0,11,23
153009195.0,37,38
168221750.0,34,62
312832584.0,40,58
159367111.0,25,3
137159957.0,62,59
147752761.0,61,0
168830626.0,53,60
150084159.0,60,28
158305329.0,64,55
1.5414971764641097e+20,30,0
2.981490666256656e+20,33,53
150028558.0,49,21
157021581.0,10,49
2.413157416853817e+21,51,2
236812499.0,64,0
233665742.0,11,23
157021581.0,10,49
189116956.0,14,42
159367111.0,25,3
146499420.0,5,30
148842731.0,35,19
127756949.0,19,15
127756949.0,19,15
159367111.0,25,3
235482277.0,46,5
129679518.0,9,34
154775570.0,32,47
133609710.0,44,8
315090694.0,64,0
141826349.0,43,52
189116956.0,14,42
129569873.0,45,1
153009195.0,37,38
168830626.0,53,60
265182984.0,64,0
144248059.0,8,43
