ViafId,GndId,LibraryOfCongressAuthorityId
164476494.0,105,82
215091664.0,154,124
314889513.0,19,0
90116074.0,88,57
17236688.0,52,7
5.970155044832673e+21,36,133
29780961.0,154,0
8605354.0,126,0
311593847.0,154,0
2989931.0,154,26
70197090.0,148,14
116863880.0,90,34
90368784.0,154,0
169646638.0,146,0
61590402.0,1,27
296983227.0,7,0
97831394.0,66,97
161712993.0,154,0
1128716.0,111,32
307417113.0,154,129
98565541.0,104,79
71388557.0,34,90
304241484.0,32,126
8.131581881752201e+20,75,0
19816462.0,112,98
4926608.0,141,38
29560744.0,54,30
9371256.0,154,0
232535734.0,154,0
76441462.0,27,113
108299403.0,41,15
303730115.0,77,99
10451957.0,154,70
69083730.0,64,146
251299590.0,4,0
52613154.0,97,36
164429147.0,116,107
171395203.0,23,121
39620006.0,102,2
1.0158427942206063e+19,154,132
54947955.0,50,8
100616557.0,139,123
23089079.0,101,115
54242201.0,96,101
31714135.0,82,104
5060080.0,89,150
100979376.0,65,144
14768967.0,48,21
305869000.0,22,128
12849410.0,57,56
2470891.0,152,24
12546153.0,138,138
98444362.0,60,52
232601020.0,154,1
91433963.0,115,68
301773850.0,154,0
88482976.0,17,114
269311144.0,71,72
93380986.0,110,40
1.5155646199518212e+19,38,0
54763793.0,14,66
136691281.0,74,153
121803171.0,26,139
43098535.0,80,10
22136877.0,109,48
24604287.0,44,16
97105654.0,40,12
58304960.0,136,0
45208296.0,91,0
51849546.0,79,152
110294366.0,134,31
55616051.0,154,69
23038131.0,86,55
93053360.0,154,62
44425548.0,98,25
305484971.0,154,0
9884045.0,92,28
87017480.0,140,140
18113930.0,84,136
71124839.0,142,105
92623431.0,149,61
164355451.0,145,0
74923382.0,108,131
14953178.0,12,110
1.7147481477449243e+19,25,0
315940079.0,20,0
79187039.0,37,149
22412735.0,39,29
2.714530472867861e+19,154,0
54954281.0,59,83
97984620.0,70,155
232419217.0,2,0
302772611.0,124,4
305624624.0,154,0
61669073.0,154,63
79121137.0,68,18
1.3031621812411082e+21,154,0
2.541446476911098e+20,24,6
121621057.0,95,84
88832172.0,16,156
91044961.0,154,5
80292475.0,127,134
14849335.0,31,13
87591754.0,121,120
1.3153593877851673e+19,154,0
66717193.0,107,64
81361951.0,131,0
8.781652641695102e+20,154,0
311428195.0,154,0
157535542.0,132,106
295618657.0,3,0
1.5051660070908757e+21,103,0
93709760.0,114,71
169431784.0,154,0
44633314.0,119,109
45576820.0,154,22
7201171.0,128,111
2586415.0,13,89
84857275.0,78,35
121896833.0,51,102
100180529.0,53,39
168348019.0,147,119
79110318.0,67,33
263300998.0,154,60
36981650.0,76,41
137761229.0,154,0
269396988.0,94,17
41854579.0,151,44
14897861.0,63,9
233083880.0,154,0
33365459.0,154,49
79171662.0,73,81
43546200.0,125,93
6.752156253575808e+21,154,0
7692181.0,42,46
5193734.0,154,0
275568075.0,154,76
56572600.0,87,142
315086769.0,154,116
17636.0,45,23
60605206.0,18,80
44407126.0,28,58
17385466.0,8,74
93466101.0,69,75
2459799.0,55,87
93116516.0,46,45
12492389.0,81,54
12108844.0,154,0
96139907.0,154,95
79343323.0,154,50
307328217.0,99,103
14957838.0,0,91
79650068.0,123,122
120536403.0,144,117
117624427.0,58,42
251862507.0,154,0
28878563.0,154,3
75362632.0,143,78
78603152.0,129,112
46658696.0,93,151
309815325.0,154,0
294571538.0,35,125
92274.0,130,59
31272717.0,30,96
25816196.0,120,85
15568545.0,49,137
22328276.0,61,86
1.6153593881551671e+19,154,0
193518818.0,117,0
20012956.0,21,92
46664572.0,10,154
9973536.0,33,77
3.262167202636568e+21,106,0
39398543.0,154,53
55864350.0,6,94
90196140.0,154,141
20829286.0,113,100
14356.0,43,19
49322836.0,5,65
79134655.0,153,148
59665031.0,154,67
49094477.0,11,145
85334649.0,29,88
311810881.0,83,127
54205208.0,15,51
34565669.0,62,37
88305877.0,137,0
110172279.0,100,20
3.6148570415024312e+19,154,130
36941951.0,150,11
100910132.0,85,43
47954490.0,154,0
264867212.0,118,135
56457087.0,135,143
37105079.0,122,108
14923366.0,72,73
25399939.0,47,47
77121084.0,56,0
49466522.0,133,147
89754379.0,9,118
