Gender,PosthumousTitle,GoogleKnowledgeGraphId,MotherName,MiddleName,DeathDate,SiblingName,FullName,BirthDate
0,60,85,0,0,27,0,7,68
0,62,65,16,1,36,0,66,86
1,1,29,25,1,73,0,54,59
1,29,3,10,1,32,0,27,35
0,38,85,16,0,85,0,6,71
0,48,50,14,0,82,0,69,29
0,48,64,16,0,86,0,59,78
1,66,12,2,0,83,0,47,40
1,65,31,25,1,22,0,22,70
1,48,8,14,1,87,0,20,34
1,26,33,3,1,18,2,24,54
1,73,19,14,1,53,0,25,81
1,13,14,25,1,55,0,18,46
1,10,32,14,1,45,0,31,52
1,9,5,13,1,71,0,53,60
0,48,49,10,0,81,0,60,67
0,36,81,7,0,79,0,77,37
0,68,72,13,0,0,0,82,3
0,32,52,14,0,34,0,74,85
1,76,22,13,1,31,0,36,44
1,7,17,14,1,56,0,34,6
1,70,18,10,0,78,0,14,82
0,59,59,1,0,11,0,83,15
1,75,6,6,1,23,0,42,10
0,44,74,9,0,47,0,81,42
0,33,83,6,1,65,0,13,7
1,80,9,14,1,62,0,50,63
0,52,45,14,0,9,0,62,17
0,56,58,24,0,35,0,63,43
1,28,2,12,0,43,0,43,58
1,6,0,11,1,50,0,40,5
0,31,55,16,0,44,0,11,80
0,45,67,9,0,20,0,80,65
1,18,21,4,1,4,0,35,39
1,0,84,21,1,41,1,48,22
0,48,42,19,0,7,0,3,50
1,50,28,14,1,21,0,52,20
1,48,37,17,1,80,0,45,64
0,48,53,14,0,81,0,9,73
1,25,4,1,1,13,0,49,38
1,67,77,4,1,74,1,44,12
0,27,1,5,0,2,0,68,4
1,15,27,22,1,63,0,46,14
0,23,44,4,0,5,0,73,31
0,17,80,7,0,68,0,85,28
0,61,39,20,0,30,0,84,26
0,72,43,14,0,29,0,65,56
0,42,51,1,0,70,0,8,9
1,79,16,10,1,69,0,23,45
1,30,34,14,0,10,0,55,19
0,81,63,10,0,77,0,76,41
1,24,7,3,1,6,0,32,62
0,39,41,14,0,76,0,75,84
1,2,30,14,1,54,0,39,72
0,41,46,11,0,75,0,87,16
0,37,85,23,0,57,0,4,23
1,21,24,16,1,12,0,30,47
1,5,26,8,1,72,0,56,61
1,12,10,3,1,49,0,38,48
0,54,69,16,0,15,0,61,57
1,20,13,12,1,39,0,37,51
0,40,62,12,0,59,0,67,68
1,3,38,0,1,66,0,57,76
0,49,71,5,0,40,0,86,18
1,14,11,10,1,61,0,16,79
1,78,76,8,1,38,0,28,55
0,71,56,12,0,28,0,64,74
1,74,23,21,1,46,0,29,1
1,55,48,9,1,17,0,15,69
0,46,70,24,0,24,0,5,53
1,64,78,7,1,42,0,41,11
1,11,35,14,1,52,0,26,30
1,58,36,26,1,26,0,33,27
1,16,79,2,1,14,1,15,13
1,8,20,11,1,48,0,19,36
0,47,40,3,0,19,0,70,31
0,57,73,20,0,25,0,1,33
0,43,85,16,0,51,0,71,66
0,34,66,0,0,84,0,78,83
0,48,54,8,0,67,0,72,32
0,35,47,25,1,64,0,12,49
1,19,15,2,1,3,0,51,21
1,4,75,25,0,60,0,21,77
0,53,61,13,1,37,0,10,2
0,51,57,18,0,33,0,79,8
1,69,82,15,1,58,0,58,0
0,63,68,9,0,16,0,0,75
1,77,25,11,1,8,0,17,25
0,22,60,25,0,1,0,2,24
