Gender,PosthumousTitle,GoogleKnowledgeGraphId,MotherName,MiddleName,DeathDate,SiblingName,FullName,BirthDate
0,59,85,0,0,27,0,7,67
0,61,66,16,1,37,0,67,86
1,1,30,24,1,73,0,54,59
1,28,3,10,1,32,0,27,35
0,37,85,16,0,84,0,6,70
0,47,51,14,0,81,0,70,29
0,47,65,16,0,86,0,60,77
1,69,19,10,0,78,0,14,81
1,64,32,24,1,22,0,22,69
1,47,8,14,1,87,0,20,34
1,80,49,10,1,85,1,28,85
1,72,20,14,1,54,0,25,80
1,13,15,24,1,56,0,18,46
1,10,33,14,1,46,0,32,52
1,9,5,13,1,71,0,53,60
0,47,50,10,0,80,0,61,66
0,35,81,7,0,79,0,78,37
0,67,73,13,0,0,0,83,3
0,31,53,14,0,34,0,75,84
1,75,23,13,1,31,0,37,44
1,7,18,14,1,57,0,35,7
0,26,1,5,0,2,0,69,4
0,58,60,1,0,11,0,84,16
1,74,6,6,1,23,0,43,11
0,43,75,9,0,48,0,82,42
1,0,84,20,1,42,1,48,23
1,79,9,14,1,63,0,50,63
0,51,45,14,0,9,0,63,18
0,55,59,23,0,35,0,64,43
1,27,2,12,0,44,0,44,58
1,6,0,11,1,51,0,41,6
0,30,56,16,0,45,0,11,79
0,44,68,9,0,20,0,81,64
1,17,22,4,1,4,0,36,39
1,25,34,3,1,18,2,24,54
0,47,42,18,0,7,0,3,50
1,49,29,14,1,21,0,52,21
1,68,82,15,1,59,0,59,0
0,47,54,14,0,80,0,9,72
1,24,4,1,1,13,0,49,38
1,66,78,4,1,74,1,45,13
1,82,14,13,1,36,0,56,5
1,15,28,21,1,64,0,46,15
0,22,44,4,0,5,0,74,31
0,32,83,6,1,66,0,13,8
0,60,39,19,0,30,0,85,27
0,71,43,14,0,29,0,66,56
0,41,52,1,0,70,0,8,10
1,78,17,10,1,69,0,23,45
1,29,35,14,0,10,0,55,20
0,81,64,10,0,77,0,77,41
1,23,7,3,1,6,0,33,62
0,38,41,14,0,76,0,76,83
1,2,31,14,1,55,0,40,71
0,40,46,11,0,75,0,87,17
0,36,85,22,0,58,0,4,24
1,20,25,16,1,12,0,31,47
1,5,27,8,1,72,0,57,61
1,12,10,3,1,50,0,39,48
0,53,70,16,0,15,0,62,57
1,19,13,12,1,40,0,38,51
0,39,63,12,0,60,0,68,67
1,3,38,0,1,67,0,58,75
0,48,72,5,0,41,0,86,19
1,14,11,10,1,62,0,16,78
1,77,77,8,1,39,0,29,55
0,70,57,12,0,28,0,65,73
1,73,24,20,1,47,0,30,1
1,54,48,9,1,17,0,15,68
0,45,71,23,0,24,0,5,53
1,63,79,7,1,43,0,42,12
1,11,36,14,1,53,0,26,30
1,57,37,25,1,26,0,34,28
1,16,80,2,1,14,1,15,14
1,8,21,11,1,49,0,19,36
0,46,40,3,0,19,0,71,31
0,56,74,19,0,25,0,1,33
0,42,85,16,0,52,0,72,65
0,33,67,0,0,83,0,79,82
0,47,55,8,0,68,0,73,32
0,34,47,24,1,65,0,12,49
1,18,16,2,1,3,0,51,22
1,4,76,24,0,61,0,21,76
0,52,62,13,1,38,0,10,2
0,50,58,17,0,33,0,80,9
1,65,12,2,0,82,0,47,40
0,62,69,9,0,16,0,0,74
1,76,26,11,1,8,0,17,26
0,21,61,24,0,1,0,2,25
