Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,419867,28,28,0,419010,1
0,1465514,80,80,0,1464672,0
0,25097,62,62,0,24648,0
0,1795788,48,48,0,1795339,1
0,360949,36,36,0,360191,1
0,2126663,22,22,0,2125983,1
0,106626,2,2,0,106183,0
0,1512529,19,19,0,1511897,1
0,1801028,85,85,0,1800459,0
0,187539,4,4,0,186739,0
0,249755,31,31,0,248955,0
0,18478,13,13,0,17702,0
0,455384,88,88,0,454782,0
0,582312,0,0,0,581629,1
0,334491,37,37,0,333733,1
0,249191,30,30,0,247920,0
0,192020,69,69,0,191304,0
0,390327,11,11,0,389875,1
0,5270,61,61,0,4815,1
0,1249825,35,35,0,1249373,1
0,541726,15,15,0,540743,1
0,260224,52,52,0,259535,1
0,1915099,47,47,0,1914353,1
0,1404526,44,44,0,1403861,1
0,229245,104,104,0,228751,0
0,439937,91,91,0,439305,0
0,47774,64,64,0,46746,0
0,215252,107,107,0,214692,0
0,2055769,82,82,0,2055320,1
0,241884,25,25,0,241294,0
0,404244,66,66,0,403621,1
1,171000,38,38,2,170227,1
0,1351182,74,74,0,1350433,1
0,407069,58,58,0,406629,0
0,190450,99,99,0,190100,0
0,1500372,20,20,0,1500022,0
0,19040,55,55,0,18594,0
0,1292754,32,32,0,1292116,0
0,873951,10,10,0,873346,0
0,491545,93,93,0,490745,1
0,447197,92,92,0,446745,1
0,1335494,33,33,0,1334871,1
1,311877,51,51,1,310678,0
0,508560,16,16,3,507559,1
0,930230,65,65,0,929781,1
0,1962152,46,46,0,1961658,1
0,2108845,49,49,0,2108303,1
0,24241,27,27,0,23690,0
0,369901,12,12,0,369557,1
0,533902,105,105,0,533237,1
0,1327169,34,34,0,1326369,0
0,17745,71,71,0,16912,1
1,509814,68,68,4,509014,0
0,58473,1,1,0,57784,0
0,1040614,101,101,0,1040054,1
1,374729,77,77,1,373830,1
0,258510,79,79,0,258202,0
0,981065,40,40,0,980400,1
0,3241,97,97,0,2789,0
0,2054734,8,8,0,2054069,1
0,469905,60,60,0,469240,0
0,293595,57,57,0,292942,0
0,21345,87,87,0,20596,0
0,533360,14,14,0,532377,1
0,1188592,75,75,0,1187834,1
0,398759,78,78,0,398094,0
0,30522,86,86,0,29761,1
0,2006097,83,83,0,2005645,0
0,2046738,9,9,0,2046013,1
0,989439,21,21,0,989029,1
0,535778,102,102,3,534804,1
0,574747,29,29,0,573722,0
0,985522,39,39,0,984710,1
0,548988,17,17,0,548008,1
0,976756,41,41,0,976091,1
0,2720,96,96,0,1839,0
0,522763,56,56,0,521789,1
0,1771495,45,45,0,1771046,0
0,434224,90,90,0,433772,0
0,25672,63,63,0,25139,0
0,835812,95,95,5,835600,0
0,1133852,98,98,0,1133403,0
0,6198,5,5,0,5503,1
0,614408,94,94,0,613791,1
0,213832,24,24,0,212933,1
0,2014286,50,50,0,2013333,1
0,3147,53,53,0,2389,1
0,121362,106,106,0,120919,0
0,386361,59,59,0,385708,0
0,166893,3,3,0,166510,1
0,16682,72,72,0,16377,1
0,203789,70,70,0,203085,0
0,1589372,23,23,0,1589025,1
0,1379076,73,73,0,1378327,1
0,1474,7,7,0,1025,1
0,972438,42,42,0,971773,1
0,26420,54,54,0,25257,1
1,1694721,6,6,1,1693825,1
0,430215,103,103,0,429457,1
0,2189977,81,81,0,2189303,1
0,4118,26,26,0,3549,0
0,45033,89,89,0,44497,0
0,576203,43,43,0,575301,1
0,1027295,100,100,0,1026840,0
0,1966887,84,84,0,1966264,0
0,561672,67,67,0,560914,1
0,1125325,76,76,0,1124525,1
0,1533448,18,18,0,1532690,0
