Languages,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,NativeName,WeightKg,BirthDate,FirstName,RaceParticipation,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,SportCountry
1,6,62729.0,23558,5,6,20811.0,181257,8,8,97437.0,4,75.0,8,8,5,101407.0,27121,192.0,3
4,9,,26383,4,3,,195749,1,9,150925.0,0,,12,3,8,115174.0,48547,180.0,0
2,12,54395.0,20730,10,12,252749.0,168961,4,5,75859.0,8,70.0,6,12,6,74709.0,18258,187.0,1
0,7,65118.0,23940,2,0,,182127,6,3,422863.0,5,,9,0,9,84375.0,27307,178.0,7
8,0,57256.0,23463,7,9,,189196,1,10,89712.0,2,72.0,7,6,3,72654.0,34624,180.0,2
6,8,,10234,0,7,,138160,1,0,60602.0,5,,0,5,8,,8956,,5
8,4,52673.0,19070,0,1,13561.0,137769,0,1,79921.0,5,,3,1,9,71836.0,7639,178.0,5
8,5,62573.0,23503,3,2,54522.0,181270,7,12,92264.0,5,63.0,10,2,2,91205.0,27124,174.0,2
8,13,,24123,0,13,,185275,1,6,97648.0,5,,5,13,4,97121.0,22206,,5
8,0,57256.0,23463,7,9,,189196,1,10,89712.0,2,72.0,7,6,3,72654.0,34624,180.0,2
7,2,69634.0,26526,9,11,5000.0,194619,3,7,149727.0,7,66.0,13,11,7,115790.0,45992,176.0,6
0,11,49272.0,17881,6,8,13864.0,140294,2,4,76092.0,6,56.0,1,9,9,38092.0,4863,169.0,7
5,3,61538.0,24057,0,4,,177672,1,13,91640.0,1,82.0,11,4,10,79184.0,27099,193.0,4
3,1,46381.0,18610,1,5,77168.0,137427,5,11,71557.0,3,62.0,4,7,1,63999.0,12474,173.0,5
4,9,,26383,4,3,,195749,1,9,150925.0,0,,12,3,8,115174.0,48547,180.0,0
5,10,46998.0,16666,8,10,22458.0,140492,9,2,64680.0,5,71.0,2,10,0,48356.0,2338,176.0,4
