ViafId,GndId,OfficialWebsite,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,IsniIdentifier,WorldCatIdentitiesIdSuperseded,IdRefId,MainCategory,NationalLibraryOfIsraelJ9uId,QuoraTopicId
140638492.0,8,1,5,3,8,121703280.0,0,26392275.0,7,987007564236705171,8
132441531.0,3,6,10,5,2,121761253.0,0,,8,987007550348505171,2
8.055148947783456e+21,11,3,9,4,7,121814095.0,5,26389428.0,6,987007547811705171,7
130890862.0,0,0,2,8,3,122592789.0,2,27316866.0,2,987007548044305171,3
131265011.0,5,8,3,7,5,405552357.0,0,26488523.0,4,987007564324405171,5
258470059.0,1,0,8,11,0,,0,27358976.0,0,987007294018905171,0
127756949.0,6,7,7,1,11,122483427.0,0,26488515.0,11,987007554952005171,10
131340012.0,2,5,0,6,1,404023058.0,1,27334902.0,1,987007552524305171,1
164965477.0,9,2,1,10,9,,4,27219631.0,9,987007559620505171,9
134854386.0,10,0,6,2,10,121102127.0,0,26402491.0,10,987007564238105171,11
264091107.0,4,9,11,0,4,,0,26378329.0,3,987007552533205171,4
125405737.0,7,4,4,9,6,403921382.0,3,26385864.0,5,987007552504805171,6
