db_id,method,accuracy,f1,auc,loss
01318,solo,1.0,1.0,1.0,0.0006576766609214246
15832,solo,1.0,1.0,1.0,0.03916995972394943
26192,solo,0.7142857142857143,0.75,0.8333333333333334,0.6247838735580444
34036,solo,1.0,1.0,1.0,0.03861403465270996
52953,solo,0.7777777777777778,0.8,0.8,0.756114661693573
67222,solo,0.6666666666666666,0.8,1.0,0.28485628962516785
79114,solo,1.0,1.0,1.0,0.0002269306714879349
84208,solo,1.0,1.0,1.0,0.09116658568382263
01318,fedavg,1.0,1.0,1.0,0.43100234866142273
15832,fedavg,1.0,1.0,1.0,0.4541803300380707
26192,fedavg,0.8571428571428571,0.8888888888888888,1.0,0.515236496925354
34036,fedavg,1.0,1.0,1.0,0.4473740756511688
52953,fedavg,0.8888888888888888,0.9090909090909091,0.9,0.5884806513786316
67222,fedavg,1.0,1.0,1.0,0.5342459678649902
79114,fedavg,0.995575221238938,0.9957446808510638,1.0,0.3986658453941345
84208,fedavg,1.0,1.0,1.0,0.5295799970626831
01318,fedgnn_both,1.0,1.0,1.0,0.4309135973453522
15832,fedgnn_both,0.8333333333333334,0.8571428571428571,1.0,0.4903016984462738
26192,fedgnn_both,1.0,1.0,1.0,0.5133872032165527
34036,fedgnn_both,1.0,1.0,1.0,0.5180394053459167
52953,fedgnn_both,0.5555555555555556,0.5,0.8,0.6472132205963135
67222,fedgnn_both,0.8333333333333334,0.8888888888888888,0.75,0.6011175513267517
79114,fedgnn_both,0.995575221238938,0.9957446808510638,0.9999215870775504,0.37539535760879517
84208,fedgnn_both,0.7777777777777778,0.75,1.0,0.5569974184036255
