db_id,method,accuracy,f1,auc,loss
01318,solo,1.0,1.0,1.0,0.000480478978715837
15832,solo,1.0,1.0,1.0,0.0019541732035577297
26192,solo,0.7142857142857143,0.75,0.9166666666666667,0.3744301497936249
34036,solo,1.0,1.0,1.0,0.11028696596622467
52953,solo,0.7777777777777778,0.75,1.0,0.7014046311378479
67222,solo,0.8333333333333334,0.8888888888888888,1.0,0.19707199931144714
79114,solo,0.995575221238938,0.9957081545064378,0.9996863483102015,0.027446391060948372
84208,solo,1.0,1.0,1.0,0.17676499485969543
01318,fedavg,1.0,1.0,1.0,0.5141050815582275
15832,fedavg,1.0,1.0,1.0,0.4927292466163635
26192,fedavg,1.0,1.0,1.0,0.5554733872413635
34036,fedavg,1.0,1.0,1.0,0.4831151068210602
52953,fedavg,0.8888888888888888,0.9090909090909091,0.9,0.5882238149642944
67222,fedavg,1.0,1.0,1.0,0.5513466596603394
79114,fedavg,0.9690265486725663,0.9699570815450643,0.9988238061632557,0.4468183219432831
84208,fedavg,0.7777777777777778,0.8,0.9,0.6212535500526428
01318,fedgnn_both,1.0,1.0,1.0,0.4605136811733246
15832,fedgnn_both,1.0,1.0,1.0,0.4568948447704315
26192,fedgnn_both,0.8571428571428571,0.8888888888888888,1.0,0.5499724745750427
34036,fedgnn_both,1.0,1.0,1.0,0.5149388313293457
52953,fedgnn_both,0.8888888888888888,0.8888888888888888,1.0,0.5960178971290588
67222,fedgnn_both,1.0,1.0,1.0,0.5809780955314636
79114,fedgnn_both,0.9823008849557522,0.9830508474576272,0.9989022190857053,0.4204762578010559
84208,fedgnn_both,0.6666666666666666,0.6666666666666666,0.9,0.6105979084968567
