db_id,method,accuracy,f1,auc,loss
01318,solo,1.0,1.0,,0.0013482138747349381
15832,solo,1.0,1.0,,0.0007281521684490144
26192,solo,0.7142857142857143,0.75,,0.6815008521080017
34036,solo,1.0,1.0,,0.012497643008828163
52953,solo,1.0,1.0,,0.01641107350587845
67222,solo,0.8333333333333334,0.6296296296296297,,0.22387085855007172
79114,solo,0.9867256637168141,0.7433549983023718,0.9988446759415024,0.03318936005234718
84208,solo,0.8888888888888888,0.6410256410256411,,0.15590068697929382
01318,fedavg,1.0,1.0,,0.7991995811462402
15832,fedavg,1.0,1.0,,0.7911964058876038
26192,fedavg,0.8571428571428571,0.8857142857142857,,0.93477863073349
34036,fedavg,1.0,1.0,,0.9266875386238098
52953,fedavg,1.0,1.0,,0.8660168051719666
67222,fedavg,1.0,1.0,,0.8731412291526794
79114,fedavg,0.9734513274336283,0.5690509748649284,0.8798699015215332,0.7205629348754883
84208,fedavg,0.8888888888888888,0.8632478632478633,,0.9713700413703918
01318,fedgnn_both,1.0,1.0,,0.7912054657936096
15832,fedgnn_both,1.0,1.0,,0.7994515895843506
26192,fedgnn_both,0.7142857142857143,0.75,,1.0370639562606812
34036,fedgnn_both,1.0,1.0,,0.8526490926742554
52953,fedgnn_both,1.0,1.0,,0.8754135966300964
67222,fedgnn_both,1.0,1.0,,0.9334557056427002
79114,fedgnn_both,0.9911504424778761,0.9106610257407767,0.9897201723626594,0.6828582286834717
84208,fedgnn_both,0.8888888888888888,0.8632478632478633,,0.9197993874549866
01318,fedgnn_node_only,1.0,1.0,,0.8193334937095642
15832,fedgnn_node_only,1.0,1.0,,0.9190732836723328
26192,fedgnn_node_only,0.8571428571428571,0.8857142857142857,,0.9930310249328613
34036,fedgnn_node_only,1.0,1.0,,0.9657017588615417
52953,fedgnn_node_only,1.0,1.0,,0.9361039400100708
67222,fedgnn_node_only,0.8333333333333334,0.6296296296296297,,0.9740145206451416
79114,fedgnn_node_only,0.9778761061946902,0.8171196501093407,0.9852320543665871,0.7309545874595642
84208,fedgnn_node_only,1.0,1.0,,1.0049858093261719
01318,fedgnn_edge_only,1.0,1.0,,0.8106691241264343
15832,fedgnn_edge_only,1.0,1.0,,0.8183259963989258
26192,fedgnn_edge_only,0.8571428571428571,0.8857142857142857,,1.0491725206375122
34036,fedgnn_edge_only,1.0,1.0,,0.9564924240112305
52953,fedgnn_edge_only,1.0,1.0,,0.9675738215446472
67222,fedgnn_edge_only,1.0,1.0,,0.9320542812347412
79114,fedgnn_edge_only,0.9867256637168141,0.7163814308892029,0.9301861736892502,0.7627346515655518
84208,fedgnn_edge_only,0.8888888888888888,0.6410256410256411,,0.9492119550704956
01318,fedgnn_none,1.0,1.0,,0.857728123664856
15832,fedgnn_none,1.0,1.0,,0.8188735842704773
26192,fedgnn_none,1.0,1.0,,0.9197790026664734
34036,fedgnn_none,1.0,1.0,,0.9845512509346008
52953,fedgnn_none,1.0,1.0,,1.0374565124511719
67222,fedgnn_none,0.8333333333333334,0.7777777777777777,,0.9736154079437256
79114,fedgnn_none,0.9823008849557522,0.7773843081982617,0.8774776679673166,0.7844685316085815
84208,fedgnn_none,0.8888888888888888,0.7777777777777777,,0.9518836140632629
