db_id,method,accuracy,f1,auc,loss
01318,solo,1.0,1.0,1.0,0.00048386110574938357
15832,solo,1.0,1.0,1.0,0.0019438747549429536
26192,solo,0.7142857142857143,0.75,0.9166666666666667,0.3737466037273407
34036,solo,1.0,1.0,1.0,0.11085405200719833
52953,solo,0.7777777777777778,0.75,1.0,0.7016811370849609
67222,solo,0.8333333333333334,0.8888888888888888,1.0,0.2487046718597412
79114,solo,0.995575221238938,0.9957081545064378,0.9996863483102015,0.02999335713684559
84208,solo,1.0,1.0,1.0,0.17597989737987518
01318,fedavg,1.0,1.0,1.0,0.514626681804657
15832,fedavg,1.0,1.0,1.0,0.493080735206604
26192,fedavg,1.0,1.0,1.0,0.5549930930137634
34036,fedavg,1.0,1.0,1.0,0.4830619692802429
52953,fedavg,0.8888888888888888,0.9090909090909091,0.9,0.5882006287574768
67222,fedavg,1.0,1.0,1.0,0.5485828518867493
79114,fedavg,0.9911504424778761,0.9913793103448276,0.9992158707755038,0.4454496502876282
84208,fedavg,0.7777777777777778,0.8,0.9,0.6216933727264404
01318,fedgnn_node_only,1.0,1.0,1.0,0.4932577908039093
15832,fedgnn_node_only,1.0,1.0,1.0,0.5013710856437683
26192,fedgnn_node_only,1.0,1.0,1.0,0.5335443615913391
34036,fedgnn_node_only,1.0,1.0,1.0,0.5846738815307617
52953,fedgnn_node_only,0.5555555555555556,0.3333333333333333,1.0,0.6151672005653381
67222,fedgnn_node_only,0.8333333333333334,0.8571428571428571,1.0,0.5871398448944092
79114,fedgnn_node_only,0.9823008849557522,0.9827586206896551,0.998353328628558,0.4360615015029907
84208,fedgnn_node_only,1.0,1.0,1.0,0.6009080410003662
