StrandOrientation,GeneDescription,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,0,2,51,9,8,9,1330
1,0,0,27168,2,47,6,47,30308
1,0,1,54575,22,120,2,120,56857
0,0,0,1,52,10,7,10,1097
1,0,1,2433,36,34,2,34,5564
1,0,1,4336,75,76,2,76,5286
0,0,1,925927,31,122,2,122,929052
1,0,0,48939,38,81,6,81,52289
0,0,0,578019,4,110,5,110,581462
0,0,0,211864,10,147,8,147,212280
0,0,1,36347,86,130,2,130,38881
0,0,0,294389,14,75,6,75,297517
1,0,1,80808,22,19,2,19,81368
1,0,0,1,92,140,8,140,720
0,0,1,741965,23,100,2,100,742903
1,0,1,27503,31,0,2,0,28960
0,0,0,425925,25,80,6,80,429068
1,0,1,115842,9,95,2,95,118859
0,0,0,6585,67,35,6,35,9728
0,0,0,11478,69,40,8,40,12029
0,0,0,312663,15,124,6,124,315827
1,0,1,3116,73,72,2,72,4234
0,0,1,97369,12,108,2,108,99546
1,0,1,29739,10,54,2,54,32123
1,0,0,47612,31,137,6,137,48514
1,0,0,1628,76,86,5,86,4123
0,0,0,113450,13,50,6,50,116617
0,0,1,5945,70,60,2,60,8113
1,0,0,1371,89,136,6,136,4229
1,0,0,30782,9,5,8,5,33235
0,0,0,5,53,7,1,7,763
0,0,1,766105,29,93,2,93,767496
0,0,0,567123,33,24,1,24,567659
1,0,1,97825,1,111,2,111,99066
0,0,0,315535,14,152,6,152,318588
0,0,0,1,49,6,8,6,1011
1,0,0,1,94,142,8,142,546
1,0,1,1753,47,46,2,46,4884
0,0,1,212382,10,148,2,148,213521
1,0,1,8075,42,38,2,38,11203
1,0,1,72053,8,150,2,150,74545
1,0,0,3,59,18,8,18,2066
1,0,0,18,58,12,3,12,704
1,0,0,78709,10,145,6,145,81855
1,0,1,338959,4,26,2,26,341238
0,0,1,305283,43,90,2,90,306062
0,0,1,4192,79,103,2,103,5181
1,0,1,97820,2,48,2,48,99079
1,0,0,35156,9,4,7,4,35758
1,0,0,30504,38,82,6,82,33620
0,0,0,518232,1,22,6,22,521345
1,1,0,50976,10,53,6,53,54155
1,0,0,47690,30,1,4,1,48145
1,0,0,1,55,15,8,15,1005
0,0,0,7177,85,126,8,126,9252
0,0,0,3,54,14,7,14,1242
0,0,1,572590,3,41,2,41,573456
0,0,0,629461,19,44,6,44,632799
1,0,1,49949,34,125,2,125,53098
0,0,0,5,56,17,8,17,1771
1,0,0,52233,0,128,6,128,55385
0,0,1,5450,79,104,2,104,6751
1,0,1,855,84,117,2,117,3425
0,0,0,762384,22,31,6,31,765509
0,0,0,713525,38,42,6,42,716461
1,0,0,151067,21,101,5,101,153763
0,0,0,304756,14,151,8,151,307836
0,0,0,225387,44,73,8,73,227216
1,0,0,40663,9,66,6,66,43791
0,0,1,98009,13,49,2,49,100486
1,0,0,972864,40,133,5,133,975350
1,0,1,830,63,92,2,92,1651
1,0,0,1644,64,123,6,123,4790
1,0,0,29548,9,113,7,113,30678
0,0,0,639173,8,106,6,106,642289
1,0,0,38468,82,109,7,109,40231
1,0,0,11,57,11,8,11,1291
0,0,1,691713,26,132,2,132,694715
1,0,0,2545,38,51,5,51,5115
1,0,1,3882,26,129,2,129,5807
0,0,1,760413,26,102,2,102,762911
0,0,0,99663,12,29,7,29,100844
1,0,1,504186,19,67,2,67,506465
1,0,1,1242191,40,77,2,77,1242856
1,0,1,55166,42,37,2,37,57661
0,0,1,822413,26,59,2,59,824374
0,0,1,670264,24,84,2,84,672501
1,0,0,2,91,139,8,139,484
1,0,1,6076,72,64,2,64,7065
0,0,0,503742,14,98,0,98,506906
1,0,1,96035,30,119,2,119,96937
1,0,0,982,62,87,7,87,3141
0,0,0,301802,14,56,8,56,302755
0,0,0,3,50,8,8,8,1289
0,0,1,489726,1,21,2,21,492209
0,0,0,701626,36,16,8,16,703218
1,0,1,6842,16,63,2,63,7840
1,0,1,383429,47,3,2,3,383983
0,0,1,1,80,105,2,105,1482
0,0,0,2,65,127,7,127,304
1,0,0,37199,84,118,6,118,40333
1,0,0,3197,15,39,6,39,6322
0,0,1,670661,26,79,2,79,673825
0,0,1,197949,10,146,2,146,201983
0,0,1,230508,3,154,2,154,232598
1,0,1,44743,38,83,2,83,46653
0,0,1,788021,29,94,2,94,789292
0,0,1,711560,26,99,2,99,714709
0,0,1,1,78,91,2,91,1815
1,0,0,9091,95,143,7,143,11460
0,0,0,769737,28,149,6,149,772874
1,0,1,338881,3,155,2,155,341160
0,0,0,132644,5,156,6,156,135805
0,0,0,323962,18,28,6,28,326955
1,0,1,246,74,74,2,74,2735
1,0,1,371065,46,2,9,2,371763
0,0,0,559651,6,55,6,55,562767
0,0,1,675068,23,27,2,27,676357
1,0,0,8184,77,88,6,88,11360
1,0,0,21059,48,32,6,32,24175
0,0,0,4595,71,61,6,61,7732
0,0,0,1,83,114,7,114,696
1,0,1,550361,20,116,2,116,552643
0,0,0,222980,17,89,6,89,225838
1,0,0,43491,37,71,5,71,46094
0,0,0,293633,15,23,6,23,296392
1,0,1,34218,93,141,2,141,36371
0,0,0,217744,18,115,5,115,220362
0,0,1,531252,14,153,2,153,532553
1,0,0,34431,28,85,1,85,34862
0,0,1,636579,7,68,2,68,638513
0,0,1,683131,17,65,2,65,685611
1,0,1,38379,68,36,2,36,40751
1,0,0,3198,90,138,7,138,5438
1,0,0,11467,45,58,5,58,13944
1,0,0,34755,11,134,6,134,37772
0,0,1,9641,66,33,2,33,11809
0,0,1,5834,87,131,2,131,8362
1,0,0,92984,1,112,6,112,96112
1,0,1,5257,16,62,2,62,6579
0,0,1,5653,60,25,2,25,8781
1,0,0,5315,46,121,6,121,8449
0,0,0,31541,61,52,5,52,34018
0,0,0,1014604,35,30,6,30,1015710
1,0,1,92599,32,97,2,97,93861
0,0,0,902746,39,45,6,45,905463
0,0,1,670680,27,70,2,70,673601
0,0,1,740972,23,157,2,157,741862
0,0,0,556483,41,78,6,78,559272
0,0,1,10430,96,144,2,144,12199
0,0,1,630235,7,69,2,69,631461
1,0,0,1,88,135,7,135,2165
1,0,0,65097,23,96,6,96,68231
0,0,0,703461,36,13,8,13,704396
1,0,1,298548,5,20,2,20,301337
0,0,1,794730,29,57,2,57,796646
1,0,0,8902,81,107,5,107,11508
0,0,1,1015075,34,43,2,43,1017672
