StrandOrientation,GeneDescription,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,0,1,51,13,7,13,1097
1,0,0,27168,2,52,6,52,30308
1,0,1,54575,22,121,2,121,56857
0,0,0,5,52,10,1,10,763
0,0,0,701626,36,19,8,19,703218
1,0,1,4336,75,81,2,81,5286
1,0,1,92599,32,99,2,99,93861
0,0,0,713525,38,48,6,48,716461
0,0,0,578019,4,111,5,111,581462
0,0,0,211864,10,148,8,148,212280
0,0,1,36347,86,133,2,133,38881
0,0,0,294389,14,80,6,80,297517
1,0,0,81473,22,122,8,122,83014
1,0,0,1,92,141,8,141,720
0,0,0,665952,24,21,8,21,666404
1,0,1,29316,31,0,2,0,30302
1,0,1,3882,26,131,2,131,5807
1,0,1,115842,9,97,2,97,118859
0,0,0,6585,67,41,6,41,9728
0,0,0,11478,69,46,8,46,12029
0,0,0,312663,15,126,6,126,315827
1,0,1,3116,73,77,2,77,4234
0,0,1,97369,12,109,2,109,99546
1,0,1,29739,10,58,2,58,32123
0,0,1,925927,31,124,2,124,929052
1,0,0,1628,76,89,5,89,4123
0,0,0,113450,13,55,6,55,116617
0,0,1,5945,70,64,2,64,8113
1,0,0,1371,89,138,6,138,4229
1,0,0,30782,9,7,8,7,33235
0,0,0,1,53,16,8,16,1206
0,0,1,788021,29,96,2,96,789292
1,0,1,49949,34,127,2,127,53098
1,0,1,97825,1,112,2,112,99066
0,0,0,315535,14,153,6,153,318588
0,0,0,3,49,11,8,11,1289
1,0,0,1,94,143,8,143,546
1,0,1,383429,46,5,2,5,383983
0,0,1,212382,10,149,2,149,213521
1,0,1,55166,41,43,2,43,57661
1,0,1,72053,8,151,2,151,74545
0,0,1,5653,59,27,2,27,8781
0,0,0,3,58,1,7,1,599
1,0,0,78709,10,146,6,146,81855
1,0,1,338959,4,28,2,28,341238
0,0,0,225387,43,78,8,78,227216
0,0,1,4192,79,104,2,104,5181
1,0,1,97820,2,53,2,53,99079
1,0,0,35156,9,6,7,6,35758
1,0,1,44743,38,87,2,87,46653
0,0,0,518232,1,24,6,24,521345
1,1,0,50976,10,57,6,57,54155
1,0,1,96035,30,120,2,120,96937
0,0,0,5,55,20,8,20,1771
0,0,0,7177,85,128,8,128,9252
1,0,0,1,54,18,8,18,1005
0,0,1,572590,3,47,2,47,573456
