Sport_Type,Stage_Label,Stage_Distance_Km,Pro_Cycling_Stats_Race_Id,Start_Location,Stage_Type,Stage_Winner,Race_Event,Next_Stage,Stage_Date,Previous_Stage,Stage_Number,Stage_Description,End_Location
1,5,151.5,,18,2,22,1,4,5,6,5,0,37
1,25,153.0,247286.0,24,3,19,14,19,29,25,9,3,18
1,21,174.5,247293.0,17,3,29,14,20,30,21,15,3,15
0,7,3.9,163694.0,14,5,0,3,6,7,36,0,0,20
1,1,176.0,,3,3,22,0,1,1,2,5,0,24
1,8,17.0,163732.0,28,1,3,4,7,9,8,18,0,23
1,10,184.0,163720.0,24,3,3,4,9,8,10,8,0,2
1,30,16.19,255765.0,9,1,25,17,34,38,29,5,0,12
1,17,27.2,210014.0,24,1,11,12,16,24,17,13,0,27
1,29,161.3,255764.0,31,3,14,17,26,37,28,4,0,35
1,28,4.05,255760.0,23,5,23,17,25,36,36,0,0,25
1,34,160.9,269894.0,5,2,8,20,30,42,36,1,0,32
1,40,17.88,171024.0,13,1,20,8,34,14,38,5,0,19
1,12,160.5,171071.0,35,2,7,7,11,15,12,5,2,28
1,0,170.5,,4,0,2,0,0,0,1,3,0,4
1,41,9.9,181011.0,22,6,5,9,37,17,39,3,4,36
1,37,128.8,218464.0,2,2,17,21,33,23,35,4,0,1
1,22,170.0,247296.0,10,3,26,14,21,31,22,17,3,8
1,42,149.2,181012.0,31,3,9,9,38,18,40,4,4,33
1,39,151.5,170976.0,18,0,22,6,36,12,37,5,0,38
1,6,,,33,0,22,2,5,6,7,4,0,22
1,26,16.53,256065.0,8,1,1,16,24,39,26,4,0,30
1,23,175.0,247297.0,19,3,21,14,22,32,23,18,3,16
1,36,127.0,218462.0,36,0,14,21,32,22,34,2,0,5
1,43,144.5,248036.0,27,2,20,15,34,28,41,3,0,9
1,3,150.5,,34,4,10,1,2,3,4,2,0,34
1,13,155.7,181399.0,11,3,4,10,12,19,13,5,5,21
1,4,143.2,,21,2,23,1,3,4,5,3,0,26
1,27,147.0,256069.0,12,3,12,16,34,40,27,8,0,20
1,20,151.5,247119.0,18,2,13,13,34,27,20,6,0,38
1,24,36.2,247299.0,16,6,26,14,23,33,24,20,3,28
1,15,170.5,181401.0,6,3,16,10,14,21,15,7,5,0
1,32,166.5,255571.0,25,3,6,18,28,35,31,4,0,29
1,38,148.5,170973.0,32,0,22,6,35,11,0,2,0,26
1,14,186.0,181400.0,7,3,28,10,13,20,14,6,5,14
1,2,9.6,,20,1,22,0,34,2,3,7,0,6
1,35,154.1,269895.0,29,3,18,20,31,43,33,2,0,17
1,16,187.9,,26,3,15,11,15,16,16,2,1,13
1,9,146.0,163733.0,0,3,24,4,8,10,9,19,0,31
1,31,18.5,255569.0,1,1,23,18,27,34,30,2,0,3
1,11,177.0,,20,3,22,5,10,13,11,7,0,7
1,18,185.0,210016.0,15,3,27,12,17,25,18,15,0,11
1,33,155.0,268287.0,30,3,30,19,29,41,32,5,0,10
1,19,131.8,247116.0,34,2,22,13,18,26,19,3,0,26
