Sport_Type,Stage_Label,Stage_Distance_Km,Pro_Cycling_Stats_Race_Id,Start_Location,Stage_Type,Stage_Winner,Race_Event,Next_Stage,Stage_Date,Previous_Stage,Stage_Number,Stage_Description,End_Location
1,12,812.3,149850.0,58,10,42,9,17,77,13,,10,0
1,38,685.42,181014.0,30,12,39,22,43,77,37,,6,26
1,91,202.0,268286.0,14,21,48,37,85,67,91,4.0,9,6
1,98,604.1,218466.0,65,4,16,25,49,77,39,,9,43
1,63,191.5,247291.0,18,22,8,29,55,43,65,13.0,15,66
1,86,193.8,255573.0,84,19,38,35,80,57,86,6.0,9,41
1,2,695.04,112447.0,42,12,9,3,5,77,3,,10,18
1,52,181.0,247233.0,89,22,39,27,46,40,59,2.0,9,15
1,57,720.0,248217.0,72,8,17,30,68,77,50,,5,67
1,23,781.3,163240.0,69,10,44,14,27,77,18,,0,0
1,36,783.8,180494.0,67,10,13,22,39,77,34,,1,0
1,74,171.04,256066.0,73,19,20,32,64,64,75,5.0,9,71
1,103,151.5,180492.0,51,21,41,18,99,20,101,5.0,9,85
1,20,1147.4,163702.0,45,1,11,14,25,77,16,,10,75
1,51,127.5,209979.0,62,22,48,24,45,32,58,6.0,9,48
1,33,160.5,171071.0,91,21,19,16,28,18,35,5.0,13,62
1,15,151.5,,51,21,41,7,14,5,21,5.0,9,84
1,64,194.0,247292.0,20,23,43,29,56,44,66,14.0,15,38
1,90,153.0,268402.0,55,19,49,36,84,76,90,8.0,14,53
1,58,870.2,247120.0,83,10,41,31,93,77,51,,10,85
1,35,682.98,171025.0,1,12,41,17,33,77,33,,10,36
1,28,17.0,163732.0,77,20,11,13,21,13,30,18.0,9,42
1,47,177.0,210018.0,60,23,10,23,40,33,53,16.0,9,57
1,39,1215.4,181404.0,29,13,41,22,44,77,38,,2,7
1,11,815.5,138997.0,58,10,44,6,11,77,12,,7,0
1,30,113.0,163735.0,16,23,6,13,96,15,32,21.0,9,60
1,93,213.0,268288.0,3,22,48,37,87,69,93,6.0,9,11
1,25,37.5,163726.0,8,20,50,13,18,10,27,13.0,9,30
1,99,127.0,218462.0,92,19,33,40,94,30,97,2.0,9,13
1,26,209.0,163729.0,53,19,38,13,19,11,28,16.0,9,8
1,78,168.1,255761.0,1,19,38,33,71,59,78,1.0,9,40
1,44,123.8,181402.0,6,23,7,21,38,28,46,8.0,17,7
1,72,480.5,247595.0,43,14,35,30,75,77,57,,10,77
1,46,3365.8,210024.0,19,11,25,26,54,77,41,,3,60
1,3,745.2,,47,18,41,2,6,77,4,,10,65
1,55,202.0,247180.0,35,5,27,31,66,52,48,,10,51
