GeneClassification,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,313057,145,0,15,312338,0
0,81801,39,0,45,80905,1
1,15410,226,1,38,14340,1
0,2151652,65,0,20,2150759,1
0,749937,92,0,14,749176,1
0,1088191,237,0,19,1087412,1
1,432941,203,1,14,432381,1
1,497744,120,1,15,496932,1
0,33929,166,0,2,32910,1
0,1227756,105,0,20,1227118,1
1,652441,51,1,8,651695,1
0,402463,84,0,5,401243,0
0,18040,107,0,58,16886,0
0,394684,22,0,14,394031,1
0,1098996,238,0,19,1097833,1
0,663709,103,0,19,662936,1
0,9906,3,0,23,8728,1
0,12258,153,0,69,11053,1
0,2162466,64,0,20,2161639,0
1,937169,156,1,19,936387,1
1,269718,147,1,20,269074,1
0,946792,5,0,14,945539,1
0,4632,135,0,32,3406,1
1,563168,88,1,14,561921,1
1,477748,119,1,15,476525,1
0,731234,55,0,20,730422,0
0,1832,59,0,47,591,0
0,217780,244,0,5,216641,0
0,1034038,239,0,19,1032938,1
1,779639,93,1,14,778437,0
1,10709,218,1,78,9531,0
0,23056,192,0,74,22262,0
1,667923,91,1,14,666610,1
1,497406,33,1,4,496306,0
0,365512,35,0,4,364310,1
0,9985,149,0,66,9303,0
1,4174,28,1,42,2966,0
0,1057942,131,0,14,1056725,0
0,589228,206,0,14,588062,0
0,26139,26,0,42,25351,1
1,182780,41,1,12,181743,1
0,196658,242,0,5,195561,0
0,387281,10,0,14,386064,0
1,1887968,127,1,19,1886823,0
0,1860,160,0,70,1114,1
0,581117,205,0,14,580287,0
0,386514,172,0,15,385279,0
0,599280,204,0,14,598465,1
1,745129,159,1,9,744176,0
0,1422032,54,0,20,1421220,0
1,1921338,125,1,19,1920505,1
1,13702,25,1,41,12743,0
0,1173402,230,0,15,1172566,0
0,210588,243,0,5,209491,0
1,17599,76,1,51,16553,0
0,1049347,132,0,14,1048619,0
0,358168,101,0,19,357524,0
1,1247221,177,1,18,1246121,0
0,878597,141,0,14,877761,0
0,18090,95,0,53,17131,0
0,1778534,129,0,19,1777443,0
0,1193619,231,0,15,1192936,0
1,5205,96,1,54,4201,1
0,2202990,63,0,20,2202343,1
0,153559,234,0,80,152606,0
0,4472,216,0,76,3321,0
0,975187,116,0,20,974237,1
0,1745136,191,0,20,1744339,0
1,27009,44,1,28,25858,1
0,38006,197,0,75,37197,0
0,1147481,174,0,18,1146423,1
0,226729,42,0,12,226322,1
1,76658,38,1,45,76494,0
0,983808,114,0,20,982858,1
0,914563,155,0,19,913814,0
0,400728,173,0,15,399566,0
0,979496,115,0,20,978543,1
1,493669,121,1,15,492404,1
1,3831,167,1,73,3070,1
1,3587,161,1,71,2544,0
0,10011,37,0,44,9199,1
0,1447013,53,0,20,1446237,1
0,36547,223,0,37,35690,0
0,531335,170,0,1,530982,1
0,462427,171,0,15,461594,0
0,1905082,66,0,20,1904309,1
0,1474427,52,0,20,1473666,0
0,1098330,232,0,15,1097515,0
0,15525,109,0,31,14710,1
1,2102,111,1,59,1101,1
0,1062126,196,0,16,1060936,0
0,705599,90,0,14,704769,0
0,77581,7,0,8,76523,1
0,837722,210,0,14,837087,0
0,1677,74,0,49,712,1
0,272963,214,0,15,272211,0
1,11639,198,1,75,10170,0
0,2187940,183,0,19,2187290,1
0,1471918,180,0,18,1470884,0
0,2879,133,0,62,2091,1
0,12102,220,0,35,11231,0
1,551759,86,1,14,550737,1
0,12897,4,0,24,11857,1
0,863354,140,0,14,862533,0
1,2640,168,1,33,1327,0
1,2049687,186,1,19,2048413,1
0,384191,36,0,4,383100,0
0,323886,158,0,11,323095,1
0,571633,47,0,7,570836,0
1,663114,16,1,20,662260,0
0,826530,12,0,19,825718,1
0,31139,60,0,48,29922,0
0,1229889,176,0,18,1228786,0
0,1218003,106,0,20,1217665,0
1,290434,79,1,14,289571,0
0,1022329,213,0,14,1021526,1
0,36628,45,0,28,35402,1
0,987733,113,0,20,987176,1
0,31870,222,0,37,31118,0
1,295086,99,1,12,293887,1
0,941707,6,0,14,940901,1
1,2901,221,1,36,1762,0
0,1588977,122,0,18,1588012,0
0,644758,118,0,6,643769,0
0,17814,235,0,80,16873,1
0,750678,154,0,19,750031,1
0,335,9,0,25,3,0
1,7239,181,1,0,5971,1
1,41030,151,1,68,39978,0
0,19059,165,0,72,18244,0
1,1152958,194,1,14,1151783,1
0,1694274,67,0,20,1693627,0
1,2521,108,1,58,1283,1
0,247509,144,0,15,246700,0
0,684782,56,0,20,683826,0
0,1070767,195,0,14,1069991,0
1,137805,157,1,12,136807,0
0,461022,201,0,14,460051,1
0,1577124,188,0,19,1576114,0
0,11189,49,0,46,10047,1
1,13960,13,1,26,13361,1
0,39296,61,0,48,38151,0
0,375903,34,0,4,374896,1
0,12268,236,0,81,10958,0
0,2029082,20,0,20,2027874,1
0,13009,152,0,68,11804,0
0,550504,48,0,7,549704,0
0,11743,224,0,37,10985,1
1,556235,169,1,1,555144,0
0,1148502,228,0,15,1147669,0
1,381597,14,1,10,380962,0
0,9178,73,0,29,8375,1
0,2155792,184,0,19,2155145,0
1,41345,77,1,30,40839,0
1,29968,163,1,72,28721,0
0,1648331,123,0,18,1647294,0
0,492438,202,0,14,491209,0
0,37518,30,0,27,36670,0
0,1522877,179,0,18,1521903,1
0,178084,110,0,17,176870,1
0,15379,219,0,78,14528,0
0,77977,40,0,3,77144,0
0,617253,207,0,14,616495,0
0,3650,148,0,65,2478,1
0,537352,87,0,14,536177,1
1,35179,43,1,13,34406,1
0,614,50,0,46,222,1
0,1912694,126,0,19,1911738,1
1,287088,98,1,12,285889,1
0,1165493,229,0,15,1164663,0
0,37248,164,0,72,35989,1
1,55904,31,1,27,55386,1
0,1783506,128,0,19,1782673,1
0,432927,247,0,5,431740,0
0,13082,112,0,60,12327,1
0,320234,146,0,15,319014,0
1,827468,209,1,14,826311,1
0,28969,24,0,40,28568,0
0,3769,1,0,22,3023,1
0,5008,8,0,25,4142,0
0,227094,19,0,12,226831,1
0,14090,62,0,48,12945,0
0,1026,225,0,79,841,1
0,1863,102,0,57,1015,0
0,1989097,190,0,20,1988282,1
1,445921,18,1,4,445157,0
0,247162,11,0,14,246347,0
0,1018268,212,0,14,1017216,1
0,23025,134,0,63,22318,0
0,1675,215,0,34,854,1
1,26635,162,1,72,25832,0
0,2097143,189,0,20,2096334,1
0,2142542,185,0,19,2141583,0
0,392050,85,0,12,391007,0
0,19523,46,0,28,18321,1
0,1679298,70,0,20,1678525,0
0,10624,94,0,52,9845,0
0,255296,142,0,15,254511,0
0,305564,83,0,14,304740,0
0,486743,57,0,1,485586,0
0,277578,81,0,14,276769,0
0,822069,208,0,14,821287,0
1,177073,104,1,21,175745,0
0,265814,200,0,11,265029,1
0,18784,97,0,55,18002,0
0,992655,211,0,14,991897,1
0,297062,78,0,14,295851,0
1,13592,100,1,56,12324,1
0,30765,27,0,42,29968,1
0,422034,17,0,4,420934,0
0,907521,139,0,14,906301,0
0,12388,136,0,64,11468,0
0,2202884,182,0,19,2202237,1
0,65754,233,0,80,64810,1
0,1487286,178,0,18,1486264,1
0,17173,217,0,77,16040,1
0,13948,29,0,43,13148,0
0,313431,82,0,14,312547,0
0,285745,80,0,14,284939,0
0,970864,117,0,20,969914,1
0,1631767,69,0,20,1631120,0
1,6002,241,1,82,5043,0
0,1564778,71,0,20,1564014,1
0,643595,15,0,20,642765,1
0,407549,137,0,14,406749,1
0,251858,21,0,14,251211,0
1,4723,23,1,39,4340,1
0,23810,58,0,47,22572,1
0,231201,246,0,5,230431,0
0,2089274,124,0,19,2088630,1
0,13418,150,0,67,12669,0
0,1687805,68,0,20,1687044,0
1,25842,199,1,75,24370,0
1,9998,75,1,50,9753,0
0,1153229,240,0,19,1151997,0
0,1221966,175,0,18,1220947,0
0,1604402,187,0,19,1603254,0
0,1075329,2,0,14,1075195,1
1,884301,138,1,14,883339,1
1,23852,32,1,27,23046,0
0,1106541,227,0,15,1105297,0
1,655,0,1,83,2,1
1,223492,245,1,5,222386,0
1,1592913,72,1,20,1591840,1
0,658646,89,0,14,657867,0
0,266241,143,0,15,265438,0
1,11872,130,1,61,11348,0
0,1207750,193,0,14,1206605,0
