GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,MIDDLE_NAME,DEATH_DATE,SIBLING_NAME,FULL_NAME,BIRTH_DATE
1,75,17,17,1,7,0,29,31
0,60,64,17,1,36,0,66,86
1,3,31,15,1,53,0,36,70
1,56,37,27,1,25,0,31,28
0,37,85,17,0,83,0,7,69
0,47,50,15,0,80,0,69,30
0,47,63,17,0,84,0,59,76
1,63,10,2,0,81,0,45,41
1,53,48,9,1,16,0,15,68
1,47,13,15,0,85,0,1,0
1,24,34,3,1,17,2,25,55
1,4,39,0,1,64,0,56,74
1,70,22,15,1,34,0,39,46
1,78,76,8,1,37,0,28,56
1,26,2,13,0,43,0,41,59
0,47,49,10,0,79,0,60,66
0,35,81,7,0,77,0,77,39
0,65,71,14,0,2,0,82,5
0,31,73,17,1,56,0,61,13
1,15,27,23,1,61,0,44,16
1,74,6,6,1,22,0,40,11
1,68,18,10,0,76,0,14,81
0,57,59,1,0,11,0,83,17
1,72,19,15,1,52,0,26,80
0,43,74,9,0,46,0,81,43
0,32,83,6,1,63,0,13,8
1,17,35,9,1,41,0,50,51
0,58,85,0,0,26,0,8,67
0,54,58,25,0,35,0,63,44
1,67,33,9,1,14,0,18,48
0,0,26,14,0,0,0,58,4
0,29,55,17,0,44,0,11,79
0,44,66,9,0,20,0,80,64
1,23,4,1,1,12,0,47,40
1,1,84,22,1,40,1,46,23
0,47,43,20,0,8,0,4,52
1,11,8,3,1,49,0,34,49
1,47,38,18,1,78,0,43,63
0,47,53,15,0,79,0,10,71
1,9,20,11,1,47,0,20,37
1,64,77,4,1,72,1,42,14
0,25,1,5,0,4,0,68,6
1,73,21,22,1,45,0,30,2
0,22,45,4,0,6,0,73,32
0,18,80,7,0,66,0,85,29
0,59,40,21,0,29,0,84,27
0,71,44,15,0,28,0,65,57
0,41,51,1,0,67,0,9,10
1,76,25,5,1,31,0,24,38
1,49,28,15,1,21,0,51,21
0,79,62,10,0,75,0,76,42
1,47,7,15,1,85,0,21,35
0,38,42,15,0,74,0,75,84
1,5,75,26,0,59,0,22,75
0,40,46,11,0,73,0,87,18
0,36,85,24,0,55,0,5,24
1,14,30,12,1,71,0,48,45
1,20,11,13,1,38,0,33,53
1,47,32,17,1,18,0,32,83
0,52,68,17,0,14,0,62,58
1,12,14,26,1,54,0,19,47
0,39,61,13,0,58,0,67,67
1,8,12,9,1,48,0,35,78
0,48,70,5,0,39,0,86,19
1,6,24,8,1,69,0,55,62
1,2,29,26,1,70,0,53,60
0,69,56,13,0,27,0,64,72
1,50,15,14,1,1,0,23,3
1,10,5,14,1,68,0,52,61
0,45,69,25,0,23,0,6,54
1,62,78,7,1,42,0,38,12
1,77,23,11,1,9,0,17,26
1,19,16,2,1,5,0,49,22
1,16,79,2,1,13,1,15,15
1,27,3,10,1,30,0,27,36
0,46,41,3,0,19,0,70,32
0,55,72,21,0,24,0,2,34
0,42,85,17,0,51,0,71,65
0,33,65,0,0,82,0,78,82
0,47,54,8,0,65,0,72,33
0,34,47,26,1,62,0,12,50
1,7,0,11,1,50,0,37,7
1,13,9,10,1,60,0,16,77
0,30,52,15,0,33,0,74,85
0,51,57,19,0,32,0,79,9
1,66,82,16,1,57,0,57,1
0,61,67,9,0,15,0,0,73
1,28,36,15,0,10,0,54,20
0,21,60,26,0,3,0,3,25
