GENDER,POSTHUMOUS_TITLE,GIVEN_NAME,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,MIDDLE_NAME,DEATH_DATE,SIBLING_NAME,FAMILY_NAME,FULL_NAME,BIRTH_DATE
1,75,3,17,17,1,6,0,0,30,30
0,28,4,54,17,0,44,0,1,12,79
1,3,3,31,15,1,53,0,0,37,69
1,59,3,37,27,1,26,0,0,32,27
0,79,4,63,10,0,75,0,1,77,41
0,47,4,42,3,0,80,0,1,72,46
0,38,4,41,15,0,74,0,1,76,84
1,64,4,10,2,0,82,0,1,46,40
1,55,3,48,9,1,16,0,0,16,67
1,47,4,13,15,0,86,0,1,1,0
1,23,3,34,3,1,17,2,0,26,55
1,4,3,39,0,1,64,0,0,57,73
1,71,3,22,15,1,33,0,0,40,45
1,78,3,76,8,1,36,0,0,29,56
1,25,4,2,13,0,43,0,1,42,59
0,47,4,52,15,0,79,0,1,10,70
0,35,4,81,7,0,77,0,1,78,38
0,52,4,57,19,0,31,0,1,80,9
0,30,4,73,17,1,56,0,0,62,14
1,15,3,27,23,1,61,0,0,45,17
1,74,3,6,6,1,23,0,0,41,11
1,69,4,18,10,0,76,0,1,15,81
0,48,4,71,5,0,38,0,1,86,20
1,72,3,19,15,1,52,0,0,27,80
0,43,4,74,9,0,46,0,1,83,42
0,31,6,83,6,1,63,0,0,14,8
1,17,3,35,9,1,41,0,0,51,51
0,61,4,85,0,0,27,0,1,7,66
0,45,4,70,25,0,24,0,1,5,54
1,68,3,33,9,1,14,0,0,19,48
0,0,4,26,14,0,0,0,1,59,4
0,41,4,50,1,0,67,0,1,8,10
0,70,4,55,13,0,28,0,1,65,71
1,22,3,4,1,1,12,0,0,48,39
1,1,3,84,22,1,39,1,0,47,24
0,47,4,53,8,0,65,0,1,73,32
1,11,3,8,3,1,49,0,0,35,49
1,47,3,38,18,1,78,0,0,44,63
0,47,4,64,17,0,85,0,1,60,75
1,9,3,20,11,1,47,0,0,21,36
1,65,3,77,4,1,72,1,0,43,15
0,24,4,1,5,0,3,0,1,67,6
1,73,3,21,22,1,45,0,0,31,2
0,58,4,72,21,0,25,0,1,2,33
0,18,4,80,7,0,66,0,1,85,28
0,53,1,60,14,1,35,0,0,11,5
0,54,4,69,17,0,14,0,1,63,58
0,46,4,40,3,0,20,0,1,70,31
1,76,3,25,5,1,30,0,0,25,37
1,49,3,28,15,1,22,0,0,52,22
0,47,4,43,20,0,8,0,1,3,52
1,47,3,7,15,1,86,0,0,22,34
0,39,4,61,13,0,58,0,1,66,66
1,5,4,75,26,0,59,0,1,23,74
0,40,4,46,11,0,73,0,1,87,19
0,36,4,85,24,0,55,0,1,4,25
1,14,3,30,12,1,71,0,0,49,44
1,20,3,11,13,1,37,0,0,34,53
1,47,3,32,17,1,19,0,0,33,83
0,44,4,66,9,0,21,0,1,81,64
1,12,3,14,26,1,54,0,0,20,47
0,42,4,85,17,0,51,0,1,71,65
1,8,3,12,9,1,48,0,0,36,78
0,66,4,45,2,0,2,0,1,61,12
1,6,3,24,8,1,69,0,0,56,62
1,2,3,29,26,1,70,0,0,54,60
0,62,4,67,9,0,15,0,1,0,72
1,51,3,15,14,1,1,0,0,24,3
1,10,3,5,14,1,68,0,0,53,61
0,50,4,68,9,0,18,0,1,69,57
1,63,3,78,7,1,42,0,0,39,13
1,77,0,23,11,1,9,0,0,18,26
1,19,3,16,2,1,4,0,0,50,23
1,16,3,79,2,1,13,1,0,16,16
1,26,3,3,10,1,29,0,0,28,35
0,32,4,65,0,0,83,0,1,79,82
0,56,4,58,25,0,34,0,1,64,43
0,57,4,62,17,0,7,0,1,82,41
0,37,4,85,17,0,84,0,1,6,68
0,47,4,49,15,0,81,0,1,68,29
0,33,2,47,26,1,62,0,0,13,50
1,7,3,0,11,1,50,0,0,38,7
1,13,3,9,10,1,60,0,0,17,76
0,29,4,51,15,0,32,0,1,75,85
0,60,4,59,1,0,11,0,1,84,18
1,67,5,82,16,1,57,0,0,58,1
0,34,4,56,13,0,40,0,1,9,77
1,27,4,36,15,0,10,0,1,55,21
0,21,4,44,4,0,5,0,1,74,31
