Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,9,24,0
1,107750,139,138,9,106153,0
0,4728447,70,69,8,4728247,1
0,673514,116,115,7,671973,1
1,113223,159,158,9,111766,0
1,2963001,153,152,9,2961642,0
0,98113,61,60,11,96665,1
0,234927,104,103,7,233464,1
0,3074,33,33,7,1527,1
1,106612,3,3,9,106202,1
1,184616,16,16,9,183067,1
1,38437,136,135,9,36916,0
0,1673892,128,127,0,1672390,1
1,22525,1,1,9,20999,1
1,4097911,86,85,9,4096637,0
1,13747,45,44,10,12274,0
1,4696555,91,90,4,4695357,0
1,55488,42,41,9,53963,1
1,4496,24,24,9,3127,1
1,1176353,118,117,9,1175359,1
1,10546,21,21,9,9201,1
1,222454,162,161,9,222215,0
0,1338858,62,61,8,1337821,0
0,140801,161,160,7,139203,0
0,3300734,67,66,7,3299619,0
1,43444,100,99,13,41978,0
0,4811681,74,73,7,4810350,1
1,1190683,120,119,9,1189121,1
1,1134,49,48,9,394,1
1,2751752,65,64,7,2750562,0
0,4592637,87,86,7,4591225,0
1,158094,102,101,9,156706,1
1,135030,14,14,9,133507,0
0,4790735,73,72,8,4789134,1
1,34085,99,98,11,32568,0
1,3088628,157,156,9,3087307,1
0,26455,57,56,11,24893,1
1,10376,56,55,6,9589,1
1,2557165,142,141,9,2556965,1
1,2991723,155,154,9,2990299,1
0,96632,121,120,7,95058,0
1,1583995,122,121,9,1582390,1
0,4918348,77,76,8,4916846,1
1,4070879,85,84,9,4070196,0
1,4769841,92,91,3,4768519,0
1,1554901,132,131,9,1553302,1
1,87159,60,59,11,85747,1
0,4109268,68,67,7,4108888,0
1,2842847,151,150,9,2842087,1
0,28198,39,38,7,26588,0
0,593688,113,112,7,592108,1
1,131645,13,13,9,130001,0
1,13271,47,46,9,11830,0
0,2161844,64,63,7,2161053,0
0,138222,160,159,8,136702,0
1,32771,50,49,9,31464,0
1,6149,12,12,9,4551,0
0,1783574,129,128,0,1782018,0
0,47692,58,57,11,46340,1
1,12451,46,45,9,11360,1
0,1629760,126,125,7,1628255,1
0,1799779,63,62,0,1798304,1
1,2775177,146,145,9,2774642,1
1,4866989,95,94,1,4866255,1
1,147872,15,15,9,146312,1
1,4815043,94,93,2,4813653,1
0,126989,140,139,8,125412,0
0,31216,40,39,8,29741,1
1,3085393,156,155,9,3083824,1
1,16779,36,36,9,15187,1
1,4912,20,20,9,4080,1
0,40024,7,7,7,38597,1
1,21634,31,31,10,20639,0
1,117932,4,4,9,116413,1
1,24394,8,8,9,23117,0
1,335414,108,107,9,333937,1
0,10563,52,51,7,9100,1
0,4877715,76,75,8,4876315,1
1,4685459,90,89,1,4683882,1
0,76678,59,58,11,74915,1
0,4782124,72,71,8,4781585,1
1,2810144,150,149,9,2809842,1
1,244383,106,105,9,242828,1
1,138167,6,6,9,137305,1
1,189308,103,102,9,187760,0
1,11536,10,10,9,10562,0
0,682801,117,116,8,681272,1
0,616961,114,113,7,615417,1
1,56811,2,2,9,55260,1
1,4875012,97,96,5,4874521,1
1,1565816,124,123,9,1564291,1
0,4776857,71,70,8,4776225,1
1,2436,19,19,9,1291,1
0,4967327,78,77,7,4966602,1
1,34744,158,157,9,33178,0
1,15756,30,30,10,14452,1
0,4874210,75,74,7,4872705,1
1,4626801,88,87,3,4625572,0
0,1579460,125,124,8,1577859,1
1,2790703,147,146,9,2789186,1
0,4803585,93,92,8,4802227,1
1,582162,112,111,9,580638,1
1,5571,34,34,9,4160,1
1,8894,25,25,9,7986,1
1,41821,41,40,9,40324,1
0,5282553,80,79,7,5281459,0
1,1518492,123,122,9,1516971,1
0,2882434,66,65,8,2880989,0
0,1789201,130,129,0,1788008,0
1,2900714,152,151,9,2899262,1
1,45373,137,136,9,43850,0
1,1639048,127,126,9,1637475,1
1,16196,27,27,9,14732,0
1,13354,35,35,9,11827,1
1,35078,135,134,9,33526,0
0,1792811,131,130,0,1791306,0
0,2586486,143,142,8,2584942,0
0,23403,32,32,7,22009,1
1,20786,22,22,9,19221,0
1,511211,111,110,3,509571,1
0,4064628,83,82,0,4063192,0
1,6249,28,28,9,4591,0
1,15374,54,53,9,14245,0
1,660088,115,114,9,658460,1
1,29574,18,18,9,28997,0
1,18623,37,162,9,18300,1
0,47277,43,42,8,45691,0
0,19432,0,0,8,17837,1
1,2797682,149,148,9,2796528,0
0,5380636,81,80,7,5379008,0
1,9494,53,52,9,7965,1
1,194108,17,17,9,192547,1
0,8343,29,29,7,6676,1
0,4971029,79,78,7,4969470,1
1,9188,134,133,9,7638,0
0,309925,107,106,8,308399,0
0,22070,23,23,7,20550,0
1,56392,11,11,9,54844,0
1,19005,48,47,9,17968,1
1,466780,109,108,12,465860,1
0,4542881,69,68,7,4541535,0
1,121323,5,5,9,119770,1
1,63306,44,43,9,61772,0
0,1057855,82,81,8,1056242,1
0,4658068,89,88,7,4656557,0
1,4871690,96,95,1,4870365,1
1,501101,110,109,9,499566,1
1,4907622,98,97,3,4906250,1
1,2769881,145,144,9,2769468,1
1,268059,141,140,9,266604,0
1,4067975,84,83,9,4066581,0
1,1589097,133,132,9,1587573,1
1,1182456,119,118,9,1180816,1
1,147206,101,100,9,145692,1
1,16687,55,54,9,14902,1
0,237565,105,104,7,236150,1
1,56650,38,37,9,55175,1
1,10341,9,9,9,9201,0
1,2794118,148,147,9,2793789,0
0,2972153,154,153,7,2970543,0
1,70716,138,137,9,69197,0
1,13439,26,26,9,11985,0
1,2653794,144,143,9,2652725,1
