Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,1657997,65,65,1,1656996,1
1,58538,61,61,1,57471,0
1,1602456,69,69,1,1601461,1
1,2778067,77,77,9,2777256,1
1,24068,2,2,1,22974,1
1,13874,55,55,1,12861,0
1,2701234,75,75,9,2700800,1
1,12370,13,13,9,11651,1
1,37606,14,14,1,36634,0
1,42462,6,6,1,41643,1
1,40888,71,71,1,39787,0
1,316194,33,33,7,315103,0
1,4680665,40,40,6,4680221,1
1,1525212,67,67,1,1524124,1
1,110828,86,86,1,110240,0
1,123255,0,0,10,122167,1
1,161602,45,45,3,161114,0
1,488570,52,52,1,487527,1
1,91953,85,85,1,91237,0
1,106006,73,73,1,105019,0
1,43863,56,56,1,42899,0
1,504,27,27,10,1,1
1,102323,72,72,1,101223,0
1,4624842,39,39,5,4624609,0
1,11481,4,4,10,10372,1
1,276140,74,74,9,275810,0
1,4617650,38,38,5,4616627,1
1,4886914,42,42,7,4885825,1
1,1458246,66,66,1,1457223,1
1,99841,58,58,1,98736,0
1,28694,12,12,1,27603,0
1,11216,17,17,9,10914,0
1,1627435,64,64,1,1626329,1
1,27963,5,5,0,26928,1
1,35768,24,24,10,34899,1
1,2828316,79,79,9,2828057,1
1,1059325,37,37,1,1058269,1
1,43876,3,3,1,42775,1
1,1519931,63,63,1,1518837,1
0,3881350,36,36,2,3880631,0
1,52860,57,57,1,51868,0
1,54319,84,84,1,54090,0
1,169178,9,9,1,168184,1
1,147163,1,1,1,146132,1
1,8695,28,28,1,7658,0
1,20072,19,19,1,19761,0
1,9372,15,15,9,8812,0
1,280404,46,46,1,279292,0
1,2894078,80,80,9,2893272,1
1,4461,21,21,1,3660,1
1,2768972,76,76,9,2768302,1
1,39682,8,8,1,38872,0
1,440767,51,51,1,439669,1
1,20661,30,30,1,19786,1
1,26009,23,23,1,25214,0
1,136147,87,87,8,135143,0
1,365765,48,48,1,364669,1
1,2793037,78,78,9,2792413,0
1,9545,18,18,1,8451,1
1,346788,47,47,1,345770,0
1,4928890,44,44,4,4928031,0
1,7466,70,70,1,6656,0
1,2619,26,26,1,1549,1
1,384305,49,49,5,383880,1
1,512368,53,53,1,511387,1
1,5116,31,31,1,4451,0
1,27304,83,83,1,26720,0
1,1552224,68,68,1,1551602,1
1,24585,20,20,1,23647,1
0,48649,34,34,2,48272,1
1,3039694,82,82,9,3039010,0
1,46062,60,60,1,45070,0
0,1336926,35,35,2,1336549,0
1,1480230,62,62,1,1479247,1
1,194569,11,11,9,194282,1
1,17950,22,22,1,17621,0
1,4917356,43,43,4,4916496,1
1,173247,10,10,1,172157,1
1,61655,7,7,1,60688,0
1,1748,32,32,1,855,1
1,1499119,59,59,1,1498235,1
1,389934,50,50,1,388935,1
1,4822708,41,41,4,4822273,1
1,11287,29,29,1,10360,0
1,2402,54,54,1,1251,0
1,8016,16,16,9,6937,1
1,2945516,81,81,9,2945082,1
1,54340,25,25,1,53434,0
