Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,0,26,1158920,0
0,7614,2,0,0,0,2,1030,1
0,609988,159,159,1,0,124,605538,1
0,1211309,163,163,1,0,132,1200861,0
0,71128,81,81,1,0,18,60752,1
1,18759,153,153,3,1,77,8548,1
0,52109,55,55,1,0,63,41772,1
0,64484,128,128,2,0,97,55971,1
0,424181,139,139,1,0,68,413739,0
0,225503,223,223,1,0,116,215040,0
1,1026196,142,142,3,1,36,1015775,0
0,26884,60,60,1,0,54,16478,1
0,458221,50,50,1,0,110,447770,1
0,685626,120,120,1,0,84,675331,0
0,18045,173,173,1,0,69,7588,0
0,108909,131,131,1,0,53,98518,1
0,47512,125,125,1,0,15,39092,1
0,775910,132,132,1,0,93,765552,0
0,22103,171,171,1,0,55,14689,1
0,332104,168,168,1,0,55,321641,0
0,7780,8,8,2,0,123,2,1
1,11317,86,86,3,1,42,5433,1
0,573981,160,160,1,0,124,563530,0
0,459416,61,61,1,0,139,449073,1
1,5380,25,25,3,1,27,2,1
1,214744,9,9,3,1,39,206012,1
0,31572,75,75,1,0,25,21127,1
0,63253,174,174,1,0,79,52823,1
0,286931,192,192,1,0,97,283691,0
1,162112,184,184,3,1,107,156224,0
0,14171,179,179,2,0,62,4392,1
0,11492,32,32,1,0,59,5925,1
0,252780,212,212,1,0,112,242332,0
0,45907,207,207,2,0,17,38978,1
0,13390,162,162,1,0,125,2987,0
0,698669,82,82,1,0,69,688299,0
0,9732,193,193,1,0,19,1,0
1,1233807,177,177,3,1,136,1224493,1
0,62951,94,94,1,0,88,52593,1
0,970184,185,185,1,0,86,959784,1
0,138304,216,216,1,0,52,127910,1
0,13701,154,154,1,0,82,3220,1
0,689245,14,14,1,0,15,678794,0
0,5595,6,6,2,0,137,1,1
0,213628,100,100,1,0,129,203258,0
1,24168,113,113,3,1,23,13795,0
0,31191,122,122,1,0,56,20812,1
0,3034,91,91,2,0,89,2,0
0,347060,220,220,2,0,139,339083,1
1,127990,151,151,3,1,122,117557,1
0,390898,219,219,1,0,75,380639,1
0,60872,208,208,1,0,22,50520,1
0,225073,35,35,1,0,40,217409,1
0,842551,213,213,1,0,6,832124,0
0,475972,77,77,2,0,85,470489,0
0,534898,114,114,2,0,103,529028,1
0,59093,69,69,1,0,67,53591,1
0,2345983,166,166,1,0,22,2335691,0
0,33876,201,201,1,0,73,23431,0
0,2017022,4,4,2,0,101,2011656,0
1,796435,42,42,3,1,135,786038,0
0,908777,38,38,1,0,102,898398,0
1,1020605,202,202,3,1,20,1014285,0
1,25728,93,93,3,1,40,21774,1
0,13163,65,65,1,0,51,2601,0
1,789447,214,214,3,1,113,779023,0
0,7954,194,194,2,0,70,2,0
1,743366,12,12,3,1,94,733188,0
0,1028641,19,19,1,0,100,1018586,0
0,69531,218,218,1,0,52,59128,1
0,5243,68,68,1,0,48,2,0
0,9826,22,22,2,0,114,2831,0
1,12411,134,134,3,1,3,1858,1
0,6482,3,3,2,0,70,3,0
0,78813,198,198,1,0,140,72588,1
0,12312,197,197,2,0,7,7990,1
0,40663,199,199,1,0,125,30197,1
0,51361,101,101,1,0,40,40991,1
0,288082,210,210,1,0,95,277652,0
0,328819,64,64,1,0,72,318764,0
0,127475,172,172,1,0,91,117093,1
0,32850,187,187,1,0,100,28143,1
0,207695,52,52,1,0,111,204667,0
0,36235,217,217,1,0,53,25871,1
0,11147,33,33,2,0,117,4143,0
1,1351353,156,156,3,1,136,1340908,0
0,656937,158,158,1,0,1,646543,0
0,745319,40,40,1,0,134,734937,0
0,353296,97,97,2,0,7,348857,1
0,7476,0,1,2,0,103,127,0
0,63323,188,188,1,0,9,53163,1
0,5481,157,157,2,0,38,1,0
0,5231,27,27,1,0,133,1,1
0,78745,63,63,1,0,1,68291,1
1,574518,143,143,3,1,98,565420,0
1,27113,195,195,3,1,138,16665,1
1,647211,117,117,3,1,136,636820,0
0,802151,13,13,1,0,115,791817,1
0,65194,21,21,1,0,43,54806,0
0,6388,124,124,1,0,128,323,1
1,296067,110,110,3,1,76,288610,0
0,62219,39,39,1,0,133,51870,0
0,19188,34,34,1,0,16,11071,1
0,34912,170,170,1,0,132,27714,1
0,330111,109,109,1,0,75,322282,0
1,595061,48,48,3,1,91,584655,0
1,52443,44,44,3,1,20,42064,1
0,5929,152,152,1,0,13,3,0
1,35770,43,43,3,1,64,25298,1
0,5956,20,20,1,0,134,733,0
0,586972,47,47,1,0,12,576509,0
0,88568,200,200,1,0,58,78117,1
1,13525,108,108,3,1,97,3143,0
0,623676,90,90,1,0,22,613279,0
0,11537,175,175,1,0,87,1098,1
0,505288,11,11,1,0,130,494840,0
0,39653,24,24,1,0,63,33702,1
0,158064,215,215,1,0,99,147781,1
0,54831,126,126,1,0,97,44338,1
0,1392969,105,105,1,0,0,1382515,1
0,2345195,167,167,1,0,140,2334792,0
0,5893,36,36,1,0,14,1,0
0,1174010,190,190,2,0,100,1168695,0
0,563694,144,144,1,0,90,556752,1
0,89016,119,119,1,0,14,78604,1
0,487135,85,85,1,0,109,478468,1
0,3341,191,191,2,0,92,3,0
0,5467,73,73,2,0,78,2,0
