StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,0,301826,242,242,2,89,299487
1,0,32772,97,97,1,117,29866
1,0,373899,29,29,2,26,371611
1,0,721934,74,74,2,34,719244
0,0,428427,87,87,3,83,425755
1,0,1516533,43,43,2,61,1514173
0,0,465591,161,161,2,113,462814
1,0,54199,32,32,2,46,51578
1,0,952113,115,115,1,39,949273
1,0,1062895,234,234,2,85,1060310
1,0,199898,36,36,1,93,197364
0,0,404584,118,118,2,92,402206
0,0,473501,202,202,3,123,470631
0,0,246580,86,86,2,4,243767
0,0,33755,27,27,2,55,30969
0,0,355891,244,244,2,117,353552
1,0,993191,44,44,2,61,990858
1,0,1150558,192,192,1,88,1147775
0,0,1152306,222,222,2,116,1149583
0,0,1161129,166,166,2,112,1158613
1,0,32977,216,216,1,115,30248
1,0,33431,26,26,2,98,30843
0,0,184674,6,6,2,95,182293
1,0,1757922,188,188,2,33,1755496
0,0,553480,173,173,3,65,550610
0,0,16153,30,30,2,46,13502
1,0,292921,245,245,2,120,290183
0,0,256062,178,178,2,122,253732
0,0,25495,50,50,2,98,22811
1,0,8691,195,195,2,29,6085
1,0,180436,213,213,2,44,177890
1,0,15222,212,212,2,6,12538
0,0,849988,205,205,2,79,847319
1,0,1966199,103,103,2,40,1963551
0,0,546874,142,142,2,106,544250
0,0,1024944,233,233,2,85,1022305
0,0,519004,251,251,2,74,516413
0,0,1176004,165,165,2,105,1173581
1,0,82609,137,137,3,42,79808
1,0,447956,176,176,2,64,445458
0,0,735391,128,128,2,73,733043
0,0,1102343,226,226,2,77,1099539
0,0,1314205,89,89,2,112,1311887
1,0,1015945,209,209,2,71,1013150
1,0,204433,62,62,2,45,201761
1,0,1800605,108,108,2,73,1797939
1,0,125132,80,80,2,47,122370
0,0,17633,22,22,1,64,14982
0,0,4209,121,121,2,67,1423
0,0,187941,232,232,2,37,185287
0,0,1065877,198,198,2,111,1063010
0,0,425184,135,135,2,53,422410
0,0,513629,257,257,3,82,510834
1,0,568671,172,172,2,2,566338
0,0,1123469,221,221,1,94,1120611
0,0,432436,158,158,1,61,429818
1,0,218715,55,55,2,70,215884
1,0,86749,152,152,1,68,84020
0,0,396102,69,69,1,93,393418
0,0,107074,254,254,1,72,104540
0,0,622377,41,41,2,8,620053
0,0,389747,163,163,1,128,387120
0,0,422008,200,200,2,32,419294
0,0,185153,24,24,2,130,182502
0,0,378614,162,162,2,87,375975
0,0,309384,110,110,2,122,306937
1,0,585607,81,81,2,120,583331
0,0,7162,20,20,2,46,4697
1,0,650434,39,39,3,38,647633
1,0,23290,218,218,2,73,20606
0,0,9867,60,60,2,98,7462
1,0,442799,201,201,1,48,439932
0,0,1713823,8,8,2,86,1711409
0,0,700388,15,15,2,107,697620
0,0,14845,47,47,3,50,11996
0,0,8092,214,214,2,43,5759
1,0,13979,197,197,1,0,11352
0,0,1045611,208,208,3,71,1042786
0,0,15062,85,85,2,46,12438
1,0,1100880,194,194,1,39,1098211
1,0,8115,171,171,3,45,5269
1,0,379418,169,169,2,51,376740
1,0,2047179,184,184,2,80,2044399
0,0,585177,204,204,3,22,582301
0,0,475012,141,141,2,114,472298
0,0,1324430,88,88,2,61,1322082
0,0,1156973,236,236,2,30,1154469
1,0,9580,196,196,1,38,6749
1,0,50888,151,151,2,51,48174
1,0,1096585,235,235,2,101,1093946
