Events_Participated,Profile_Image,Weight_Kg,Birth_Date,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Last_Name,First_Name,First_Cycling_Rider_Id,Height_Cm,Birth_Place,Pro_Cycling_Stats_Cyclist_Id,Uci_Rider_Id,Cycling_Archives_Cyclist_Id
6,3,,9,19252.0,4888.0,7,1,294.0,175.0,0,140933.0,48399.0,22421.0
5,17,68.0,10,15225.0,2437.0,19,16,147.0,176.0,15,140630.0,30369.0,13510.0
5,8,85.0,6,17219.0,1278.0,15,17,75.0,199.0,11,140753.0,32163.0,12115.0
0,13,78.0,16,26009.0,12193.0,13,12,784.0,184.0,19,140797.0,54603.0,30229.0
6,11,72.0,12,6554.0,3447.0,5,9,512.0,178.0,9,140784.0,30299.0,14463.0
6,12,65.0,3,171.0,311.0,0,10,91.0,172.0,5,140861.0,14494.0,118.0
6,2,62.0,7,6036.0,3758.0,4,6,580.0,172.0,10,140938.0,32004.0,20208.0
5,1,69.0,0,17736.0,48.0,17,0,204.0,176.0,2,140852.0,11573.0,8128.0
6,15,65.0,1,14222.0,47.0,14,15,202.0,178.0,12,140355.0,22860.0,5198.0
4,10,72.0,14,45487.0,15789.0,11,8,9234.0,183.0,8,133565.0,55607.0,62028.0
6,19,65.0,13,12832.0,7751.0,12,19,929.0,183.0,16,140343.0,862522.0,25301.0
1,0,62.0,15,43386.0,14310.0,9,13,3991.0,173.0,17,140509.0,53804.0,36343.0
6,9,71.0,8,22928.0,5296.0,16,7,,180.0,7,140089.0,28987.0,18022.0
3,14,70.0,19,51744.0,19238.0,6,5,7720.0,177.0,1,138396.0,72932.0,66031.0
6,7,,17,47066.0,16881.0,2,11,2530.0,175.0,18,140633.0,59614.0,32178.0
6,18,69.0,4,8414.0,1382.0,8,18,402.0,182.0,13,140859.0,20718.0,12971.0
6,6,67.0,2,18417.0,449.0,18,4,48.0,183.0,14,140547.0,14324.0,6643.0
6,5,62.0,11,19245.0,3460.0,10,3,51.0,176.0,3,140790.0,32248.0,16377.0
2,16,65.0,18,41886.0,13566.0,1,14,2275.0,184.0,4,140495.0,64917.0,53957.0
6,4,58.0,5,3518.0,3.0,3,2,149.0,169.0,6,140315.0,16554.0,1807.0
