ViafId,EntityType,LibraryOfCongressAuthorityId
316429285.0,15,0
2.413157416853817e+21,18,3
3.146998328418941e+18,15,39
312993723.0,17,0
316430133.0,9,47
316430153.0,15,0
316429170.0,10,29
235489154.0,15,0
305602261.0,16,0
252087561.0,28,34
316430153.0,15,0
134334037.0,31,16
316429285.0,15,0
3.146998328418941e+18,15,39
3.146998328418941e+18,15,39
316639516.0,5,0
316430133.0,9,47
315125460.0,15,33
170298814.0,9,41
244992873.0,18,8
255510449.0,15,0
316429220.0,15,36
138522516.0,29,21
315124797.0,15,28
315160619.0,15,27
316430241.0,7,48
3.834151433038256e+21,15,45
127043766.0,9,26
155862313.0,15,10
207634635.0,29,1
248539062.0,15,42
252087561.0,28,34
316429170.0,10,29
5.206154260567823e+21,15,0
252087561.0,28,34
5.206154260567823e+21,15,0
151180158.0,15,38
143059960.0,25,12
316430153.0,15,0
316430153.0,15,0
150317608.0,12,0
304911105.0,15,0
3.146998328418941e+18,15,39
170298814.0,9,41
156652814.0,31,0
248539062.0,15,42
249092451.0,10,0
35257248.0,26,0
151180158.0,15,38
315124797.0,15,28
3.834151433038256e+21,15,45
316429170.0,10,29
138522516.0,29,21
316430131.0,15,30
151180158.0,15,38
134334037.0,31,16
2.8145424500486832e+19,18,0
249092451.0,10,0
237255794.0,15,43
249092451.0,10,0
122590795.0,16,0
234568816.0,15,0
238996100.0,15,0
126406104.0,22,4
122708852.0,0,2
316430133.0,9,47
248539062.0,15,42
248519377.0,6,0
3.146998328418941e+18,15,39
315124797.0,15,28
129724016.0,18,0
207634635.0,29,1
138522516.0,29,21
238996100.0,15,0
121997218.0,8,15
137661571.0,3,0
136504467.0,4,25
3.834151433038256e+21,15,45
316429285.0,15,0
316430132.0,32,37
255510449.0,15,0
151180158.0,15,38
3.834151433038256e+21,15,45
234568816.0,15,0
8.191487536786413e+20,18,11
143875407.0,4,0
315160619.0,15,27
136504467.0,4,25
3.146998328418941e+18,15,39
238996100.0,15,0
173199948.0,15,46
245653394.0,15,49
207634635.0,29,1
173199948.0,15,46
127043766.0,9,26
122590795.0,16,0
249092451.0,10,0
234568816.0,15,0
158387538.0,2,19
316639516.0,5,0
170298814.0,9,41
151180158.0,15,38
316430133.0,9,47
304911105.0,15,0
248539062.0,15,42
315160383.0,21,0
316429220.0,15,36
316639516.0,5,0
173022063.0,19,7
304910901.0,15,35
5.206154260567823e+21,15,0
144390698.0,20,20
122772486.0,18,9
138093290.0,30,0
315160619.0,15,27
156652814.0,31,0
248539062.0,15,42
236775925.0,33,31
304910901.0,15,35
316639516.0,5,0
170298814.0,9,41
143875407.0,4,0
144390698.0,20,20
249092451.0,10,0
123754073.0,4,0
280847926.0,18,0
125708857.0,16,0
316429220.0,15,36
316639516.0,5,0
144390698.0,20,20
173199948.0,15,46
3.834151433038256e+21,15,45
234568816.0,15,0
173199948.0,15,46
316430133.0,9,47
125708857.0,16,0
316430133.0,9,47
304911105.0,15,0
316429285.0,15,0
173401267.0,27,6
245653394.0,15,49
316430131.0,15,30
170298814.0,9,41
316430131.0,15,30
170298814.0,9,41
316430131.0,15,30
316639516.0,5,0
255510449.0,15,0
316430153.0,15,0
154853943.0,15,18
138522516.0,29,21
170298814.0,9,41
234568816.0,15,0
158387538.0,2,19
316430131.0,15,30
1.7541458570719228e+21,13,0
315125460.0,15,33
315125460.0,15,33
207634635.0,29,1
316430131.0,15,30
315124797.0,15,28
8.34315891590825e+21,14,5
316430133.0,9,47
255510449.0,15,0
236775925.0,33,31
255510449.0,15,0
129437055.0,4,24
246181632.0,11,0
134334037.0,31,16
238996100.0,15,0
170298814.0,9,41
173199948.0,15,46
248539062.0,15,42
304910901.0,15,35
138522516.0,29,21
3.834151433038256e+21,15,45
304910901.0,15,35
316430153.0,15,0
316429285.0,15,0
315125460.0,15,33
248539062.0,15,42
144390698.0,20,20
134262032.0,18,14
156652814.0,31,0
315160619.0,15,27
244992873.0,18,8
315125460.0,15,33
170298814.0,9,41
316430153.0,15,0
5.23714899764656e+21,23,44
137661571.0,3,0
234568816.0,15,0
238996100.0,15,0
158021972.0,0,17
248539062.0,15,42
238996100.0,15,0
252087561.0,28,34
315160619.0,15,27
144390698.0,20,20
252087561.0,28,34
316639516.0,5,0
3.146998328418941e+18,15,39
255510449.0,15,0
239429852.0,33,40
249092451.0,10,0
3.834151433038256e+21,15,45
134228520.0,31,23
156652814.0,31,0
248539062.0,15,42
311215136.0,16,0
315124797.0,15,28
316429285.0,15,0
315940812.0,26,22
5.206154260567823e+21,15,0
8.34315891590825e+21,14,5
144248059.0,24,13
315124797.0,15,28
255510449.0,15,0
249092451.0,10,0
5.159154260829525e+21,1,32
315160619.0,15,27
252087561.0,28,34
138522516.0,29,21
173199948.0,15,46
239429852.0,33,40
207634635.0,29,1
