Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,301826,242,242,0,299487,0
0,125132,82,82,0,122370,1
1,387675,28,28,1,385183,0
0,736453,80,80,0,733583,0
0,190552,81,81,0,188093,1
0,1516533,43,43,0,1514173,1
0,476728,160,160,0,474101,0
0,54199,31,31,0,51578,1
0,988200,208,208,0,985546,1
0,1062895,233,233,0,1060310,1
0,246580,88,88,0,243767,0
0,758419,46,46,0,756089,0
0,488327,204,204,0,485541,0
1,322020,236,236,1,319249,0
0,33755,25,25,0,30969,0
0,423886,68,68,0,421607,1
0,993191,44,44,0,990858,1
1,1150558,194,194,1,1147775,1
0,1152306,222,222,0,1149583,0
0,1161129,167,167,0,1158613,0
1,32977,216,216,1,30248,1
0,33431,24,24,0,30843,1
0,504459,247,247,0,501763,1
0,1757922,190,190,0,1755496,1
0,553480,175,175,0,550610,0
0,16153,29,29,0,13502,0
0,355891,244,244,0,353552,0
0,309384,109,109,0,306937,0
0,25495,52,52,0,22811,0
0,8691,197,197,0,6085,1
0,200907,151,151,0,198367,0
0,15222,213,213,0,12538,1
0,867065,115,115,0,864531,0
0,1966199,102,102,0,1963551,1
0,557682,143,143,0,555076,0
0,1024944,232,232,0,1022305,0
0,556640,254,254,0,553878,0
0,1176004,166,166,0,1173581,0
0,156435,33,33,0,153649,1
0,447956,178,178,0,445458,1
0,735391,127,127,0,733043,0
0,1102343,226,226,0,1099539,0
0,1314205,91,91,0,1311887,0
0,1034195,210,210,0,1031508,1
0,650434,39,39,0,647633,1
0,1800605,107,107,0,1797939,1
0,187941,231,231,0,185287,0
1,17633,20,20,1,14982,0
0,4209,120,120,0,1423,0
0,198843,126,126,0,196225,0
0,1065877,200,200,0,1063010,0
0,432191,134,134,0,429708,0
0,536061,258,258,0,533287,0
0,568671,174,174,0,566338,1
1,1123469,221,221,1,1120611,0
0,443238,158,158,0,440629,0
0,422008,202,202,0,419294,0
0,125047,38,38,0,122324,1
0,50888,153,153,0,48174,1
1,107074,256,256,1,104540,0
0,622377,41,41,0,620053,0
0,404953,162,162,0,402317,0
0,352788,251,251,0,350182,1
0,185153,22,22,0,182502,0
1,389747,165,165,1,387120,0
0,373899,27,27,0,371611,1
