StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,HostTaxon
0,0,16460955,213,206,44,6,5,16457260,9
0,0,138161,119,112,26,21,52,134502,6
0,0,203930,66,61,17,18,10,200193,5
0,0,4553753,46,0,23,6,9,4549992,5
1,0,4840,0,6,1,26,8,914,0
0,0,9779285,176,169,13,6,24,9775560,7
0,0,334096,70,65,17,18,10,330365,5
0,0,3840387,88,81,30,18,55,3836677,6
1,0,1195742,53,5,15,1,8,1191876,5
0,0,8918600,172,165,13,6,24,8914875,7
0,0,1910663,203,196,44,18,5,1906803,9
0,0,1668281,29,32,22,18,11,1666599,5
0,0,2060217,125,118,28,30,21,2056039,6
0,0,4813930,143,136,8,6,10,4810370,7
1,0,65541,112,105,25,18,2,61918,6
0,0,2103880,130,123,29,6,49,2100152,6
0,0,10591984,181,174,13,7,24,10589706,7
0,0,4340768,36,39,22,18,11,4339005,5
1,0,83566,55,50,16,31,9,79856,5
1,0,20151480,214,207,44,19,16,20150096,9
0,0,11683010,182,175,13,7,35,11680997,7
1,0,44719,19,18,6,26,6,40601,4
1,0,11229,116,109,26,16,13,7763,6
0,0,239685,17,16,5,11,4,237098,4
1,0,4278879,154,147,13,6,24,4275136,7
0,0,2481188,85,79,19,18,11,2479680,5
1,0,12013049,184,177,13,6,35,12009273,7
0,0,12740701,186,179,13,6,24,12737024,7
0,0,338864,71,66,17,18,10,335124,5
1,0,10244238,179,172,13,6,35,10240936,7
1,0,3815,91,84,31,4,38,90,6
1,0,628721,41,43,21,18,9,624993,5
1,0,47239,3,9,1,28,0,43805,0
1,0,4283484,155,148,13,6,24,4279741,7
0,0,5598267,158,151,13,6,24,5595391,7
0,0,154797,63,58,17,18,10,150979,5
0,0,587534,137,130,39,32,43,585909,8
0,0,4522804,37,40,22,18,11,4521833,5
1,0,9462057,173,166,13,6,35,9458497,7
0,0,27954,114,107,26,18,52,24217,6
0,0,279004,131,124,37,31,28,275159,8
1,0,1147490,108,101,24,25,51,1145631,6
0,0,7120666,164,157,13,6,24,7119032,7
1,0,1139483,105,98,24,20,47,1135756,6
1,0,5949017,159,152,13,7,35,5946681,7
1,0,1143911,106,99,24,18,51,1140042,6
0,0,583704,136,129,39,31,3,582196,8
1,0,1703058,30,33,22,18,11,1701376,5
1,0,3105,111,104,25,23,53,838,6
0,0,4513,23,26,14,31,10,785,5
1,0,990197,101,94,24,18,14,986493,6
1,0,4293498,35,38,22,18,11,4292311,5
1,0,1152291,109,102,24,14,51,1148608,6
1,0,1678839,95,88,31,14,3,1675105,6
1,0,2259949,199,192,11,7,32,2258465,7
1,0,77533,20,19,6,28,23,73331,4
1,0,422887,110,103,25,18,53,419138,6
0,0,3622347,92,85,31,18,3,3618703,6
0,0,5971756,161,154,13,6,24,5968445,7
0,0,15794397,194,187,13,7,24,15790722,7
0,0,2626786,34,37,22,18,11,2624759,5
1,0,1698923,120,113,27,18,39,1695120,6
1,0,129819,62,57,17,18,10,126013,5
1,0,16013824,195,188,13,6,24,16010084,7
1,0,10462169,180,173,13,6,24,10459962,7
0,0,278985,138,131,38,31,12,276142,8
0,0,4527437,94,87,31,5,38,4523676,6
1,0,39991,2,8,1,32,19,37926,0
1,0,78806,14,22,4,28,30,75012,3
0,0,209762,113,106,25,18,2,205917,6
0,0,2452752,86,4,20,12,12,2449024,5
1,0,3071,198,191,10,7,17,1,7
1,0,6072691,162,155,13,6,35,6068918,7
0,0,1313993,28,31,22,33,11,1312530,5
0,0,2416530,148,141,13,6,24,2412853,7
0,0,3663817,42,3,23,10,12,3660173,5
1,0,5954817,160,153,13,6,24,5951374,7
1,0,1171908,49,5,15,1,8,1168174,5
0,0,324588,68,63,17,18,10,320857,5
0,0,89469,61,56,17,18,10,85705,5
0,0,95167,135,128,32,31,10,91325,8
0,0,3058427,87,80,30,18,55,3054798,6
0,0,2318413,81,75,19,18,10,2314616,5
1,0,72448,18,17,6,26,23,68270,4
0,0,15575977,189,182,13,6,24,15572300,7
0,0,7376461,166,159,13,7,35,7374150,7
1,0,1643702,74,69,18,18,6,1639890,5
1,0,1066754,216,209,41,21,40,1065571,9
1,0,7007346,163,156,13,6,24,7005166,7
0,0,2216609,129,122,28,18,54,2212887,6
