StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,HostTaxon
0,0,16460955,213,206,43,6,5,16457260,9
0,0,138161,119,112,26,22,53,134502,6
0,0,203930,66,61,17,19,10,200193,5
0,0,4553753,46,0,23,6,9,4549992,5
1,0,4840,0,6,1,27,8,914,0
1,0,9582610,175,168,13,6,35,9579467,7
0,0,334096,70,65,17,19,10,330365,5
0,0,3840387,88,81,30,19,56,3836677,6
1,0,1195742,53,5,15,1,8,1191876,5
0,0,8313586,171,164,13,6,24,8309909,7
0,0,1910663,203,196,43,19,5,1906803,9
0,0,1668281,29,32,22,19,11,1666599,5
0,0,2060217,125,118,28,31,21,2056039,6
0,0,4813930,142,135,8,6,10,4810370,7
1,0,65541,112,105,25,19,2,61918,6
0,0,2103880,130,123,29,6,50,2100152,6
0,0,10589213,180,173,13,6,24,10585548,7
0,0,4340768,36,39,22,19,11,4339005,5
1,0,83566,55,50,16,32,9,79856,5
1,0,20151480,214,207,43,20,16,20150096,9
0,0,10591984,181,174,13,7,24,10589706,7
1,0,44719,19,18,6,27,6,40601,4
1,0,11229,116,109,26,17,13,7763,6
0,0,239685,17,16,5,12,4,237098,4
1,0,4000548,153,146,13,6,24,3997084,7
0,0,2481188,85,79,19,19,11,2479680,5
0,0,11959711,183,176,13,7,35,11956169,7
1,2,12656039,185,178,13,7,35,12654074,7
0,0,338864,71,66,17,19,10,335124,5
0,0,10008881,178,171,13,7,24,10006623,7
1,0,3815,91,84,31,4,38,90,6
1,0,628721,41,43,21,19,9,624993,5
1,0,47239,3,9,1,29,0,43805,0
1,0,4278879,154,147,13,6,24,4275136,7
1,0,4939976,157,150,13,6,24,4936233,7
0,0,154797,63,58,17,19,10,150979,5
0,0,587534,136,129,38,33,44,585909,8
0,0,4522804,37,40,22,19,11,4521833,5
1,0,9064696,172,165,13,7,24,9062672,7
0,0,27954,114,107,26,19,53,24217,6
0,0,279004,131,124,36,32,28,275159,8
1,0,1147490,108,101,24,26,52,1145631,6
1,0,7007346,163,156,13,6,24,7005166,7
1,0,1139483,105,98,24,21,48,1135756,6
0,0,5598267,158,151,13,6,24,5595391,7
1,0,1143911,106,99,24,19,52,1140042,6
0,0,583704,135,128,38,32,3,582196,8
1,0,1703058,30,33,22,19,11,1701376,5
1,0,3105,111,104,25,24,54,838,6
0,0,4513,23,26,14,32,10,785,5
1,0,990197,101,94,24,19,14,986493,6
1,0,4293498,35,38,22,19,11,4292311,5
1,0,1152291,109,102,24,15,52,1148608,6
1,0,1678839,95,88,31,15,3,1675105,6
1,0,2259949,199,192,11,7,32,2258465,7
1,0,77533,20,19,6,29,23,73331,4
1,0,422887,110,103,25,19,54,419138,6
0,0,3622347,92,85,31,19,3,3618703,6
1,0,5954817,160,153,13,6,24,5951374,7
0,0,15794397,194,187,13,7,24,15790722,7
0,0,2626786,34,37,22,19,11,2624759,5
1,0,1698923,120,113,27,19,39,1695120,6
1,0,129819,62,57,17,19,10,126013,5
1,0,16013824,195,188,13,6,24,16010084,7
1,0,10244238,179,172,13,6,35,10240936,7
0,0,278985,137,130,37,32,12,276142,8
0,0,4527437,94,87,31,5,38,4523676,6
1,0,39991,2,8,1,33,19,37926,0
1,0,78806,14,22,4,29,30,75012,3
0,0,209762,113,106,25,19,2,205917,6
0,0,2452752,86,4,20,13,12,2449024,5
1,0,3071,198,191,10,7,17,1,7
1,0,6067584,161,154,13,7,24,6064796,7
0,0,1313993,28,31,22,34,11,1312530,5
0,0,2385281,147,140,13,7,24,2382667,7
0,0,3663817,42,3,23,11,12,3660173,5
1,0,5949017,159,152,13,7,35,5946681,7
1,0,1171908,49,5,15,1,8,1168174,5
0,0,324588,68,63,17,19,10,320857,5
0,0,89469,61,56,17,19,10,85705,5
0,0,12740701,186,179,13,6,24,12737024,7
0,0,3058427,87,80,30,19,56,3054798,6
0,0,2318413,81,75,19,19,10,2314616,5
1,0,72448,18,17,6,27,23,68270,4
1,0,15188591,189,182,13,7,24,15186471,7
0,0,7124284,165,158,13,7,24,7121353,7
1,0,1643702,74,69,18,19,6,1639890,5
1,0,1066754,216,209,40,22,40,1065571,9
1,0,6072691,162,155,13,6,35,6068918,7
0,0,2216609,129,122,28,19,55,2212887,6
0,0,45538,59,54,17,19,10,41732,5
1,0,62173,9,22,3,29,0,61124,2
0,0,3879497,89,82,30,6,56,3875733,6
0,0,3998549,219,212,42,9,22,3996303,9
0,0,47179,21,24,0,19,11,43448,5
1,0,651422,202,195,43,19,18,647718,9
1,0,970358,98,91,24,15,52,968556,6
0,0,14872107,188,181,13,7,24,14870101,7
0,0,95167,134,127,32,32,10,91325,8
0,0,933349,96,89,24,19,14,929525,6
0,0,329342,69,64,17,19,10,325611,5
1,0,333473,24,27,22,0,11,329763,5
1,0,2401,140,133,8,6,10,65,7
1,0,9578594,174,167,13,7,24,9577091,7
0,0,3049087,149,142,13,7,24,3047831,7
1,0,1021293,48,48,15,19,6,1017589,5
1,0,50499,8,13,3,32,19,46531,2
1,0,660379,138,131,35,32,28,656534,8
1,0,75831,60,55,17,19,10,72196,5
0,0,7120666,164,157,13,6,24,7119032,7
1,0,64291,12,14,4,32,21,60047,3
0,0,128558,117,110,26,22,23,125670,6
0,0,166154,65,60,17,19,10,162348,5
1,0,3579565,151,144,13,7,24,3578197,7
1,0,820521,145,138,13,6,24,819496,7
1,0,4285337,156,149,13,6,24,4284348,7
1,0,36414,5,10,2,28,7,33385,1
1,0,577054,90,83,30,19,36,573326,6
1,0,388457,25,28,22,19,11,386850,5
0,0,2071573,128,121,28,23,21,2069770,6
1,0,1705473,121,114,27,19,34,1701874,6
1,0,53020,4,22,1,29,27,48803,0
1,0,431084,201,194,43,25,1,427217,9
1,0,1849714,31,34,22,19,11,1845908,5
0,0,2296751,218,211,41,9,49,2295359,9
0,0,1309324,27,30,22,19,11,1307483,5
1,0,2151123,76,1,18,11,6,2147506,5
1,0,9462057,173,166,13,6,35,9458497,7
1,0,972317,197,190,9,6,46,970326,7
1,1,1637142,73,68,18,19,6,1633333,5
0,0,132277,118,111,26,19,53,129494,6
0,0,15710916,192,185,13,6,24,15707113,7
0,0,4312155,141,134,8,6,37,4308352,7
0,0,1402028,57,52,16,19,9,1398297,5
1,0,1049774,215,208,40,22,15,1047327,9
0,0,15790203,193,186,13,6,35,15786472,7
1,0,35572,45,46,23,19,12,31850,5
1,0,1630586,72,67,18,19,6,1626783,5
0,0,10005750,177,170,13,6,35,10002838,7
0,0,7732801,209,202,43,19,5,7728989,9
0,0,2191903,77,71,19,19,11,2188100,5
1,0,63847,16,15,6,32,6,59612,4
0,0,2186645,217,210,41,6,49,2182830,9
1,0,2804198,205,198,43,22,5,2802744,9
1,0,726058,144,137,13,6,24,722345,7
1,0,1657273,75,70,18,19,6,1653761,5
0,0,431513,93,86,31,15,38,427800,6
0,0,7783560,169,162,13,7,24,7780308,7
0,0,9357129,210,203,43,19,18,9353467,9
1,0,52090,13,20,4,27,6,47957,3
1,0,1124935,102,95,24,15,52,1121207,6
0,0,2332044,83,77,19,19,10,2328241,5
0,0,2065035,126,119,28,19,21,2061388,6
0,0,53721,22,25,0,19,11,49990,5
1,0,652903,132,125,34,32,29,648881,8
1,0,985033,100,93,24,24,52,981335,6
0,0,2307206,79,73,19,19,9,2303436,5
0,0,1908029,146,139,13,7,24,1905427,7
1,0,28839,43,44,23,14,12,25132,5
0,0,11683010,182,175,13,7,35,11680997,7
0,0,319829,67,62,17,19,10,316098,5
0,0,4004773,206,199,43,20,5,4003152,9
1,0,91293,15,23,4,29,31,86278,3
1,0,3620418,152,145,13,6,35,3616747,7
0,0,9779285,176,169,13,6,24,9775560,7
1,0,9382536,211,204,43,10,5,9381414,9
1,0,1145528,107,100,24,26,14,1144470,6
0,0,5331246,38,41,22,17,51,5328981,5
0,0,447807,44,45,23,20,12,446937,5
1,0,2191719,122,115,27,15,39,2188102,6
0,0,2327068,82,76,19,19,11,2323274,5
0,0,159443,64,59,17,18,45,155850,5
0,0,977090,47,47,15,11,6,973266,5
1,0,1181603,51,5,15,1,8,1177872,5
0,0,3942314,40,42,21,19,9,3938604,5
1,0,1176752,50,49,15,2,26,1173039,5
0,0,1957169,124,117,28,19,55,1953366,6
1,0,1200116,54,5,15,1,8,1196301,5
1,0,2449393,148,141,13,8,43,2446677,7
