StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,30,3818,116,116,1,69,2061
0,67,497232,53,53,0,1,497002
0,40,1362603,66,66,1,34,1360342
0,4,10034,9,9,1,43,9492
0,51,705460,54,54,1,23,703286
0,16,720,117,117,1,48,1
0,57,560632,57,57,1,17,560198
1,65,160581,125,125,1,12,159610
1,54,2942,38,38,1,56,882
1,5,53693,61,61,1,28,52560
0,69,1058918,107,107,1,32,1056777
0,17,1193345,104,104,1,30,1191366
1,47,590889,94,94,1,15,588715
0,60,2356776,5,5,1,36,2355799
1,39,5081,19,19,1,11,2874
1,27,82404,8,8,1,37,80149
0,46,3053,22,22,1,50,873
1,53,501852,63,63,1,31,499696
0,45,195717,4,4,1,7,194815
1,62,454212,110,110,1,23,451945
1,61,1166328,33,33,1,33,1164352
1,10,114991,84,84,1,3,114542
1,17,161676,78,78,1,12,160684
0,37,2832,56,56,1,59,619
1,32,26356,45,45,1,57,24182
1,18,603844,95,95,1,15,602780
1,22,60797,32,32,1,16,58671
0,59,508321,37,37,1,2,506186
1,9,29015,29,29,1,54,27780
0,1,646319,101,101,1,13,643902
1,62,395040,109,109,1,23,392911
1,63,2179419,98,98,1,35,2176948
0,62,742170,80,80,1,23,739927
0,39,203063,81,81,1,6,200871
1,20,9199,103,103,1,66,7001
0,13,606833,40,40,1,36,604902
0,68,53186,23,23,1,0,51024
0,49,12912,2,2,0,41,12295
1,3,5374,106,106,1,67,4073
1,62,346367,44,44,1,23,344166
0,64,551749,35,35,0,17,551012
0,38,656983,74,74,1,30,654773
1,48,302402,48,48,0,12,301785
1,2,18169,7,7,1,16,16115
0,13,2355697,99,99,1,36,2354525
1,17,141673,126,126,1,12,140918
1,66,38921,64,64,1,11,36609
1,53,356850,24,24,0,39,356083
1,2,246323,70,70,1,26,244452
1,42,258202,87,87,1,25,255983
0,3,802663,62,62,1,27,801878
1,47,628874,60,60,1,15,628374
1,38,1105132,105,105,1,30,1103840
0,33,1157244,30,30,0,29,1157023
0,63,2001346,68,68,1,35,1998842
0,42,122127,119,119,1,70,120202
1,67,32651,28,28,1,53,31587
0,57,576256,1,1,1,17,575726
0,2,13846,11,11,1,44,12761
1,15,69895,3,3,1,21,67685
1,7,292285,128,128,1,24,290090
0,40,479217,79,79,1,14,477172
1,60,967593,58,58,1,36,965515
1,30,18788,27,27,1,40,16752
0,38,1431,21,21,1,49,1
0,34,843337,67,67,1,22,841178
1,11,27802,123,123,1,72,25553
1,54,521,0,0,0,51,3
0,42,149082,120,120,1,70,147823
0,12,630544,12,12,1,18,630077
1,10,85717,42,42,1,3,84713
0,36,2356,6,6,1,42,188
1,14,116089,77,77,0,2,115388
0,20,5373,102,102,1,65,3175
0,12,414917,90,90,1,18,412986
0,18,551038,41,41,1,15,548948
0,31,879776,20,20,1,25,877512
1,42,16562,25,25,1,25,16113
0,40,522056,129,129,1,14,520707
0,56,573072,92,92,1,17,571858
1,49,8796,47,47,1,4,6766
0,56,194168,88,88,1,17,192141
0,51,804175,49,49,1,23,801998
1,23,7341,15,15,1,45,5542
1,63,1092022,122,122,1,35,1090076
0,17,853635,113,113,1,30,852247
1,3,6731,39,39,1,27,4560
0,6,24063,89,89,1,64,21859
1,28,569,76,76,0,61,3
1,17,605835,112,112,1,30,604711
1,25,20468,93,93,1,5,18309
0,30,47761,115,115,1,69,45575
1,60,80858,13,13,1,36,80019
0,43,143770,130,130,1,8,141896
1,19,40865,17,17,1,21,38190
1,6,17708,31,31,1,55,16425
1,35,107570,34,34,1,10,105642
1,50,238993,71,71,1,24,236726
1,24,5239,52,52,1,58,3059
1,52,2117,26,26,1,52,3
1,2,45873,85,85,1,63,43711
0,51,305003,100,100,1,23,302736
0,56,724179,14,14,1,18,722086
1,32,564263,36,36,1,35,562332
0,12,487684,132,132,1,18,485708
1,23,9794,121,121,1,71,7884
0,29,395811,51,51,1,20,393328
0,56,399746,91,91,1,18,397836
0,17,510087,18,18,1,30,508918
0,35,640806,111,111,1,10,638620
0,44,630340,43,43,1,19,629867
1,13,45587,118,118,1,70,43530
0,8,12118,55,55,1,46,9896
1,21,591642,59,59,0,15,591283
0,41,28251,114,114,1,68,27310
1,58,15656,50,50,1,1,13635
0,56,551317,82,82,1,18,549344
0,28,2323,69,69,1,60,1850
0,16,17469,86,86,1,47,15220
0,24,2747,83,83,1,62,2046
1,49,1525088,97,97,1,34,1523784
0,40,1220025,96,96,1,34,1218841
1,60,1560715,16,16,1,36,1558235
1,17,8315,10,10,1,30,7779
0,7,415880,46,46,1,24,413892
1,0,352533,108,108,0,38,352018
0,61,429,127,127,1,73,1
0,42,461012,73,73,0,10,460530
1,7,216636,72,72,1,24,214564
1,63,61722,124,124,1,35,61057
0,55,111044,131,131,1,9,109113
0,26,875271,75,75,0,30,874933
0,40,1428134,65,65,1,34,1426182
