StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,8,373963,26,26,0,8,372953
1,39,257891,49,49,0,8,256881
1,42,235050,55,55,0,9,234100
0,56,213667,37,37,0,13,212129
1,11,587198,70,70,0,3,585768
1,50,2377,104,104,0,24,1157
1,51,1381990,68,68,0,18,1381346
1,42,318674,65,65,0,9,317781
0,8,340298,28,28,0,8,339360
1,13,3259,102,102,1,35,2075
0,27,2882,67,67,1,23,2106
1,26,441837,113,113,1,2,440959
0,59,426250,88,88,0,8,425120
1,8,575815,95,95,0,8,574721
1,47,14514,80,80,0,32,13402
0,36,762518,22,22,0,18,761364
0,40,217615,120,120,1,6,216422
0,13,553985,23,23,0,3,552546
0,56,2612,2,2,0,20,1824
1,45,669822,43,43,1,17,668569
0,2,220225,38,38,1,13,218687
1,3,86161,13,13,0,27,85631
1,3,539819,17,17,1,11,538632
1,51,1253659,44,44,0,18,1252076
0,18,705562,21,21,0,18,704282
1,23,272650,50,50,0,8,271751
0,24,117411,119,119,1,0,116032
0,40,283947,39,39,1,13,282400
0,29,319749,111,111,0,17,318496
1,15,368482,27,27,0,8,367493
1,39,502004,91,91,0,8,500910
1,8,549818,100,100,0,8,548385
1,17,523271,16,16,0,11,522144
0,12,626457,19,19,0,17,625132
0,49,307709,76,76,0,8,306750
1,28,267266,51,51,1,8,266289
0,19,976612,63,63,0,17,975470
1,39,496221,90,90,0,8,495283
0,13,29669,79,79,0,32,28731
1,53,20974,81,81,1,33,19538
1,23,617521,98,98,0,8,616619
1,38,1127958,107,107,0,17,1127086
0,51,1798125,75,75,0,18,1796725
0,5,427442,59,59,1,12,425919
0,49,431585,89,89,0,8,430644
0,60,2899,109,109,1,37,1952
1,38,1973004,47,47,0,17,1972075
1,3,64367,66,66,1,11,62844
0,37,263994,7,7,0,14,262717
0,48,924009,57,57,1,14,922486
1,9,288343,117,117,0,9,287549
0,1,514203,114,114,0,2,514066
1,47,747400,62,62,0,17,746270
1,54,1905561,48,48,1,17,1904098
1,9,212824,56,56,0,9,211883
1,8,444750,87,87,0,8,443839
0,30,493306,84,84,0,13,491759
0,30,245389,40,40,0,13,244757
0,59,437122,86,86,0,8,436220
1,34,1855873,25,25,0,18,1854422
0,6,518865,115,115,0,2,517981
1,39,544003,97,97,0,8,543026
0,5,286679,58,58,1,12,285567
1,44,28060,82,82,0,33,27086
1,54,714,41,41,1,22,1
1,2,456889,101,101,0,14,455630
1,41,14110,52,52,1,30,13145
0,46,21643,53,53,0,31,20600
1,58,1556126,73,73,0,16,1554660
0,1,622717,36,36,0,2,621833
1,9,496985,116,116,0,4,495984
1,10,16755,12,12,0,21,15559
0,11,17420,32,32,0,29,16842
0,1,284733,112,112,0,2,283762
0,2,218013,31,31,0,7,216889
1,59,489099,94,94,0,8,488107
0,5,400752,60,60,1,12,399232
1,55,1562,18,18,0,28,393
0,31,514924,64,64,0,2,514307
1,16,19265,77,77,0,32,18156
1,47,1080003,106,106,0,17,1078741
0,33,67859,14,14,0,1,66546
1,50,514925,15,15,0,11,513729
1,55,315559,118,118,0,9,315128
0,52,2003523,74,74,0,17,2002453
1,9,229688,54,54,0,9,228501
1,51,1862763,24,24,0,18,1861267
1,35,604409,96,96,1,8,603339
1,45,2058209,6,6,0,18,2056686
1,7,541977,108,108,0,10,540886
0,40,25674,103,103,0,36,24613
0,57,449733,1,1,0,13,448939
1,42,579257,42,42,0,9,578298
0,26,1593162,45,45,0,16,1591861
1,49,507159,92,92,0,8,506107
1,42,437723,34,34,0,9,436782
1,54,1564652,0,0,0,16,1564452
1,15,625575,99,99,0,8,624448
0,54,1263503,72,72,0,16,1262121
1,15,220328,29,29,0,8,219990
0,9,418436,33,33,0,9,417618
0,25,3154,83,83,0,34,2129
1,21,48657,10,10,0,25,47974
1,4,481887,93,93,0,8,480445
0,14,24337,78,78,0,32,23213
1,20,546194,71,71,1,0,544968
1,42,273888,85,85,0,9,272725
0,0,9331,11,11,0,26,7841
1,54,1706820,4,4,1,17,1705558
1,38,1056372,105,105,0,17,1055425
0,51,1505678,20,20,0,18,1504257
0,38,190441,9,9,0,15,189542
0,5,463276,61,61,1,12,461756
1,22,381686,69,69,1,19,380409
0,43,8433,110,110,0,37,7429
1,39,212508,30,30,0,8,211570
0,40,347997,35,35,1,12,346477
0,38,1977944,46,46,0,17,1976967
1,16,197165,8,8,0,5,196203
1,32,1698039,3,3,0,16,1696570
0,29,1679690,5,5,0,17,1678407
