GeneClassification,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,GenomicStartPosition,StrandOrientation
0,320234,148,23,0,319014,0
0,81801,40,11,0,80905,1
1,15410,226,2,1,14340,1
0,2162466,66,11,0,2161639,0
0,749937,95,16,0,749176,1
0,1098996,239,3,0,1097833,1
1,432941,204,0,1,432381,1
0,1077230,227,11,0,1076451,0
0,33929,170,20,0,32910,1
0,1422032,55,15,0,1421220,0
1,652441,52,2,1,651695,1
0,402463,87,21,0,401243,0
0,18040,109,23,0,16886,0
0,394684,22,1,0,394031,1
0,1153229,240,22,0,1151997,0
0,750678,157,24,0,750031,1
0,9906,4,22,0,8728,1
0,12258,156,23,0,11053,1
0,2202990,65,24,0,2202343,1
0,1011398,160,1,0,1010715,0
0,375897,23,26,0,375253,0
0,946792,6,22,0,945539,1
0,4632,138,22,0,3406,1
1,563168,91,2,1,561921,1
1,493669,122,34,1,492404,1
0,749602,56,16,0,748862,1
0,1832,61,22,0,591,0
0,217780,244,12,0,216641,0
0,1088191,238,16,0,1087412,1
1,779639,96,2,1,778437,0
1,10709,218,2,1,9531,0
0,23056,194,18,0,22262,0
1,667923,94,2,1,666610,1
1,497406,34,2,1,496306,0
0,365512,36,23,0,364310,1
0,9985,152,0,0,9303,0
1,4174,29,2,1,2966,0
0,1070767,197,11,0,1069991,0
0,589228,207,23,0,588062,0
0,26139,27,11,0,25351,1
1,182780,42,2,1,181743,1
0,196658,242,14,0,195561,0
0,387281,11,23,0,386064,0
0,1897997,129,11,0,1897239,0
0,1860,164,0,0,1114,1
0,581117,206,15,0,580287,0
0,400728,177,0,0,399566,0
0,599280,205,11,0,598465,1
1,745129,163,2,1,744176,0
0,1428734,54,26,0,1428093,0
0,1968229,127,11,0,1967444,1
1,13702,26,2,1,12743,0
0,1193619,232,1,0,1192936,0
0,210588,243,20,0,209491,0
1,17599,79,2,1,16553,0
0,1057942,134,22,0,1056725,0
0,663709,106,11,0,662936,1
0,1471918,184,5,0,1470884,0
0,878597,144,11,0,877761,0
0,18090,98,30,0,17131,0
0,1783506,131,11,0,1782673,1
0,1194158,233,0,0,1193721,0
1,5205,99,2,1,4201,1
1,177073,107,2,1,175745,0
0,153559,235,30,0,152606,0
0,4472,216,23,0,3321,0
0,979496,117,30,0,978543,1
0,1905082,69,11,0,1904309,1
1,27009,45,2,1,25858,1
0,38006,198,11,0,37197,0
0,1221966,179,14,0,1220947,0
0,226729,43,0,0,226322,1
1,76658,39,0,1,76494,0
0,987733,115,0,0,987176,1
1,937169,159,2,1,936387,1
0,416187,123,23,0,415021,1
0,983808,116,30,0,982858,1
1,497744,121,34,1,496932,1
1,3831,171,2,1,3070,1
1,3587,165,2,1,2544,0
0,10011,38,11,0,9199,1
0,1474427,53,27,0,1473666,0
0,36547,223,9,0,35690,0
0,531335,175,0,0,530982,1
1,477748,120,2,1,476525,1
1,1925877,68,2,1,1925107,1
0,1564778,74,16,0,1564014,1
0,1106541,228,22,0,1105297,0
0,15525,111,8,0,14710,1
1,2102,113,2,1,1101,1
0,178084,112,21,0,176870,1
0,705599,93,18,0,704769,0
0,77581,8,20,0,76523,1
0,837722,211,0,0,837087,0
0,1677,77,28,0,712,1
0,301271,149,18,0,300510,0
1,11639,199,2,1,10170,0
0,2202884,186,24,0,2202237,1
0,1487286,182,14,0,1486264,1
0,2879,136,11,0,2091,1
0,12102,220,0,0,11231,0
1,551759,89,2,1,550737,1
0,12897,5,0,0,11857,1
0,863354,143,9,0,862533,0
1,2640,173,2,1,1327,0
0,2089274,126,24,0,2088630,1
0,384191,37,14,0,383100,0
0,323886,162,25,0,323095,1
0,571633,48,11,0,570836,0
0,684782,58,30,0,683826,0
0,914563,158,26,0,913814,0
0,31139,62,22,0,29922,0
1,1247221,181,2,1,1246121,0
0,1222996,108,16,0,1222181,1
1,290434,82,2,1,289571,0
0,1049347,135,15,0,1048619,0
0,36628,46,23,0,35402,1
1,1131697,172,2,1,1130438,1
0,31870,222,11,0,31118,0
1,295086,102,2,1,293887,1
0,941707,7,11,0,940901,1
1,2901,221,2,1,1762,0
0,1639752,125,19,0,1638709,0
0,644758,119,25,0,643769,0
0,17814,236,28,0,16873,1
0,826530,13,18,0,825718,1
0,335,10,0,0,3,0
1,7239,185,2,1,5971,1
1,41030,154,2,1,39978,0
0,19059,169,11,0,18244,0
0,1188618,195,31,0,1187623,0
0,1745136,193,16,0,1744339,0
1,2521,110,2,1,1283,1
0,250812,147,22,0,249592,0
0,731234,57,11,0,730422,0
0,1075329,3,1,0,1075195,1
1,137805,161,2,1,136807,0
0,461022,202,29,0,460051,1
0,1604402,190,17,0,1603254,0
0,11189,50,23,0,10047,1
1,13960,14,2,1,13361,1
0,39296,63,22,0,38151,0
0,375903,35,20,0,374896,1
0,12268,237,22,0,10958,0
0,2097143,192,11,0,2096334,1
0,13009,155,23,0,11804,0
0,550504,49,11,0,549704,0
0,11743,224,11,0,10985,1
1,556235,174,2,1,555144,0
0,1165493,230,11,0,1164663,0
1,381597,15,2,1,380962,0
0,9178,76,11,0,8375,1
0,2165485,187,24,0,2164835,1
1,41345,80,33,1,40839,0
1,29968,167,2,1,28721,0
0,358168,104,24,0,357524,0
0,492438,203,22,0,491209,0
0,37518,31,11,0,36670,0
0,1588977,124,31,0,1588012,0
0,1147481,178,7,0,1146423,1
0,15379,219,11,0,14528,0
0,77977,41,11,0,77144,0
0,617253,208,11,0,616495,0
0,3650,151,6,0,2478,1
0,537352,90,22,0,536177,1
