GeneClassification,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,GenomicStartPosition,StrandOrientation
0,6912,10,1,0,4054,1
0,152656,70,1,0,149750,0
0,3512,37,1,0,570,1
1,2374,40,3,1,2,0
0,613086,33,1,0,611617,1
0,39716,20,1,0,38265,1
0,623307,61,1,0,621664,0
0,2321780,59,1,0,2320431,0
1,2321637,21,3,1,2320534,0
1,513352,28,3,1,509741,1
1,5459,11,3,1,369,1
1,85207,71,3,1,81746,1
1,6009,72,3,1,1594,1
0,241168,58,1,0,239609,0
0,10189,66,1,0,8723,0
0,12357,13,1,0,7624,1
1,13981,7,3,1,12296,1
1,166284,39,3,1,162214,0
0,2470,31,1,0,2,0
1,48747,75,3,1,45235,1
0,585395,44,1,0,582072,0
0,1879,4,2,0,2,1
0,826483,25,1,0,824891,0
0,22057,55,1,0,19652,1
0,3165,34,2,0,1,1
0,528926,68,1,0,526836,1
1,2326,12,3,1,2,0
0,463665,36,1,0,460870,0
1,467386,67,0,1,461438,1
1,576641,69,3,1,572922,0
0,219070,16,1,0,217661,0
1,1251315,38,3,1,1250056,1
0,14382,52,1,0,9970,1
1,31870,54,3,1,22712,1
0,574606,45,1,0,573398,0
0,2053,48,1,0,2,0
1,13747,18,3,1,12191,1
1,6974,51,3,1,1995,1
0,1537,1,2,0,2,1
0,1556,2,2,0,3,1
0,1997,5,1,0,1,0
0,26175,23,2,0,23011,1
1,375450,15,3,1,373273,0
1,11280,8,3,1,2713,1
0,72487,43,1,0,68564,1
0,3322,9,2,0,2,0
0,2309,30,1,0,3,0
0,5982,0,1,0,4234,1
0,4784,26,1,0,3,0
0,1059473,74,1,0,1058121,0
0,2868,24,1,0,1600,1
0,348754,57,1,0,344585,1
0,4686,63,2,0,1,1
0,24031,22,1,0,21731,1
0,478366,53,1,0,476669,1
0,4676,65,1,0,3,0
0,1271,27,1,0,3,0
1,8695,49,3,1,5075,0
0,2498,41,1,0,3,0
1,1119042,64,3,1,1112740,1
0,595601,32,1,0,591036,1
0,78154,46,1,0,73799,1
0,37338,35,1,0,35617,1
0,799963,42,1,0,796517,0
0,89064,47,1,0,84641,1
0,769652,6,1,0,767703,0
0,5803,62,1,0,896,1
0,4720,19,1,0,2,0
0,4039,60,1,0,1,1
0,2312,50,1,0,2,0
0,35785,3,1,0,34078,1
0,5221,29,1,0,2141,1
1,4653,14,3,1,1,0
1,72456,17,3,1,65872,1
0,2190,73,1,0,1,0
0,21673,56,1,0,20189,1
