Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
0,12688657,52,4,12687579
0,2176074,8,3,2173822
1,3263510,18,3,3262518
1,8184305,33,3,8183049
1,22366722,86,3,22365805
0,18034173,71,8,18033193
0,14022240,58,4,14021446
1,11725924,49,4,11723685
1,2409527,11,3,2408865
0,22780026,90,8,22779001
1,2956426,16,6,2955563
1,6934931,30,4,6934113
1,16426637,63,3,16424412
1,16563937,67,3,16562831
1,4287060,22,3,4285357
1,20342521,74,3,20341259
1,9869998,41,3,9867056
0,1047729,7,6,1047100
0,4868024,24,3,4867473
1,11448216,47,3,11446408
1,3332030,19,3,3330351
0,23802860,95,4,23802345
0,4118166,20,7,4116199
0,11996370,51,4,11994619
1,24301722,98,3,24299593
0,505867,3,1,504683
0,11898553,50,3,11896367
1,13398519,55,3,13396177
1,6650810,29,6,6649504
1,8804662,36,8,8802437
0,5436724,26,4,5435818
0,2564774,12,5,2562631
1,12831055,53,3,12829310
0,5271180,25,3,5270266
1,23447838,92,8,23447218
1,1016782,5,3,1014533
0,23802012,94,7,23801011
0,8028195,32,3,8026444
1,20485261,75,3,20483000
1,12836026,54,3,12834782
0,21211189,79,3,21210206
0,21783921,83,7,21781632
0,1021038,6,3,1018726
0,2207377,9,3,2205470
1,22435858,87,3,22433813
0,459187,2,4,458294
0,2569869,13,0,2567808
0,6392825,28,3,6390597
0,13837817,57,3,13836696
1,20509228,76,8,20508290
0,625564,4,5,623563
0,15552221,62,3,15549750
0,22028199,85,4,22026512
1,22708989,88,3,22707574
0,9613514,40,3,9612390
0,9006166,37,6,9005404
1,16508468,65,3,16506867
1,8623885,34,4,8621853
1,16554165,66,3,16551901
1,11372104,46,4,11370677
1,23973217,97,3,23972078
0,15485527,61,3,15483887
0,20802281,77,4,20801291
1,7083780,31,3,7082506
0,10376605,43,5,10374419
1,18081210,72,3,18078931
1,8798973,35,8,8796721
1,17714007,70,3,17711731
1,23838762,96,3,23836501
0,10143236,42,3,10141842
0,14402075,60,5,14401099
1,4795291,23,6,4794295
1,23794678,93,4,23793193
1,10637386,44,3,10636079
0,11464520,48,4,11462589
0,21705992,82,4,21705274
0,6168822,27,4,6167727
0,4172542,21,3,4171208
0,22756821,89,3,22754536
0,49903,0,3,48200
1,9176690,39,6,9175716
1,2921001,15,3,2918737
0,239835,1,4,239235
0,2995357,17,3,2993120
0,21479783,81,3,21478365
1,21130236,78,3,21127996
0,17420742,69,3,17418463
1,22835806,91,4,22834331
0,14023398,59,4,14022418
0,17296111,68,5,17294360
1,16505641,64,3,16503965
0,24595701,99,2,24593912
0,2719577,14,3,2718561
0,11181620,45,7,11179739
0,13567233,56,4,13566216
0,21997160,84,8,21996177
1,2408736,10,4,2407756
0,19120773,73,3,19118842
0,9015817,38,6,9013593
0,21301605,80,8,21300769
