Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
1,8,43387.0,14321.0,6,6,9,140505.0,6,2,9,422366.0,60.0,3,11,5,8,10,9,24864.0,2977.0,173.0,6,7
1,7,,,5,10,9,240119.0,5,2,16,486724.0,,16,5,1,5,10,6,156117.0,114756.0,,8,4
1,14,57472.0,21342.0,9,11,4,178184.0,13,3,2,91656.0,62.0,7,1,10,13,2,8,66785.0,23097.0,170.0,8,1
1,3,8760.0,4179.0,7,0,6,140749.0,0,1,13,32691.0,78.0,2,2,6,0,6,9,19407.0,406.0,181.0,3,4
1,0,7764.0,1237.0,4,3,5,140800.0,3,9,3,29164.0,70.0,0,13,4,3,9,9,10911.0,706.0,183.0,4,6
1,10,,25466.0,0,10,9,194533.0,11,2,12,748934.0,,9,3,9,11,12,2,76413.0,35382.0,,8,4
1,4,62259.0,24110.0,2,1,0,181212.0,1,0,0,250807.0,,10,4,11,1,3,3,94988.0,27301.0,184.0,8,4
1,12,75411.0,,0,4,9,202698.0,4,2,10,153299.0,,14,8,10,4,7,4,122391.0,65580.0,,8,4
1,15,66570.0,27708.0,11,13,9,202331.0,15,5,6,109775.0,58.0,13,16,12,15,11,0,119805.0,65025.0,170.0,8,8
1,5,22663.0,5789.0,3,2,1,140869.0,2,8,8,43936.0,69.0,1,7,3,2,4,9,22017.0,713.0,186.0,2,2
0,9,48143.0,21971.0,8,8,2,168754.0,10,10,4,79462.0,,8,0,14,10,5,9,64280.0,16672.0,184.0,7,3
1,13,,29801.0,12,10,9,207940.0,16,2,15,163583.0,,15,10,10,16,1,7,118504.0,75468.0,,8,4
1,11,38259.0,13066.0,0,9,3,140384.0,12,7,1,62919.0,72.0,4,14,7,12,0,9,39964.0,2211.0,178.0,5,0
1,1,46381.0,18610.0,1,7,8,137427.0,9,6,11,71557.0,62.0,5,12,0,9,3,9,63999.0,12474.0,173.0,0,4
1,2,69634.0,26526.0,10,12,7,194619.0,14,4,5,149727.0,66.0,12,9,13,14,8,1,115790.0,45992.0,176.0,8,5
1,10,72506.0,26775.0,0,10,9,207051.0,8,2,14,,56.0,11,6,2,7,2,5,132960.0,68868.0,164.0,8,1
1,6,43348.0,18287.0,0,5,9,137562.0,7,2,7,68745.0,,6,15,8,6,0,9,61619.0,4778.0,174.0,1,4
