Profession,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Birth_Place,Uci_Rider_Id,Weight_Kg,Birth_Date,Sports_Team,Last_Name,First_Name,Citizenship_Country,Google_Knowledge_Graph_Id,Cycling_Archives_Cyclist_Id,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
0,9,71992.0,26637.0,7,6,4,201838,7,2,4,111683,76.0,9,8,4,6,0,1,125323,61988,176.0,4,4
0,2,82827.0,30643.0,9,9,4,217465,9,2,7,227110,,10,10,6,8,4,6,151350,97547,184.0,4,4
0,7,65955.0,26396.0,3,11,0,189441,12,4,1,92304,,5,4,8,11,2,0,110201,41293,186.0,4,1
0,1,,,8,7,4,239223,8,2,3,221617,,11,5,10,7,5,5,137570,96312,,4,3
0,5,27804.0,15286.0,0,5,4,137756,6,2,11,55839,,1,9,0,5,8,9,39975,5273,170.0,3,6
0,8,,26392.0,6,4,4,193131,5,2,6,148275,69.0,7,1,9,4,1,2,89152,45363,176.0,4,0
0,10,,,10,8,4,259695,10,2,10,199947,,12,10,5,9,6,7,166006,127939,,4,4
0,11,41076.0,13362.0,11,10,2,139405,11,3,12,65995,70.0,2,2,1,10,7,9,51551,3277,177.0,2,5
0,0,56070.0,20777.0,5,3,1,179769,4,1,5,86568,71.0,4,7,8,3,2,8,79781,18575,180.0,4,4
0,6,69671.0,28448.0,4,2,4,197781,3,2,2,152803,,6,6,7,2,1,3,101978,53489,191.0,4,0
0,4,,26965.0,1,1,4,206730,1,2,0,162997,70.0,8,11,3,0,3,4,128820,71333,176.0,4,2
0,10,,2762.0,0,8,4,138150,2,2,9,30887,,0,0,8,1,8,9,10624,9030,,1,4
0,3,52038.0,20697.0,2,0,3,156131,0,0,8,86630,68.0,3,3,2,0,3,9,68186,20584,180.0,0,2
