Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1160395,344,344,3,56,1159709
0,0,18293,401,401,3,157,17649
0,0,7200,132,132,4,25,6637
0,0,55025,356,356,4,102,54438
0,0,1464254,86,86,4,98,1463646
1,0,494817,199,199,4,14,494134
0,0,2016292,326,326,4,63,2015537
0,0,9057,385,385,4,92,8128
0,0,4555,130,130,4,132,3962
0,0,683253,96,96,4,58,682675
0,0,844685,365,365,3,114,844098
0,0,112468,398,398,1,38,111971
0,0,4870,337,337,4,141,4217
0,0,2682,259,259,4,132,1954
0,0,158502,17,17,4,1,158113
0,0,1955674,329,329,4,161,1955171
1,0,756041,97,97,4,98,755460
1,0,1368555,306,306,4,77,1367977
1,0,1487064,90,90,4,29,1486369
1,0,44362,297,297,3,123,43754
0,0,265007,253,253,4,5,264339
0,0,128464,413,413,2,7,128075
1,0,1921473,106,106,4,58,1920904
0,0,458814,349,349,4,101,458125
0,0,316703,368,368,4,47,316059
0,0,548591,220,220,2,42,548190
0,0,1604078,114,114,4,77,1603452
0,0,85370,59,59,4,78,84681
0,0,17407,256,256,4,44,16820
0,0,1033564,294,294,4,168,1032920
0,0,1738968,26,26,3,42,1738420
1,0,6677,376,376,4,91,6162
1,0,278070,217,217,4,158,277438
0,0,1731530,333,333,4,58,1730895
0,0,515441,202,202,4,67,514617
0,0,567879,378,378,2,90,567310
0,0,10321,124,124,4,44,9749
0,0,1686468,110,110,4,98,1685914
0,0,7629,224,224,4,44,6979
0,0,1645,353,353,4,106,1004
0,0,382637,55,55,4,158,382086
1,0,807869,23,23,3,119,807330
0,0,431207,424,424,4,145,430704
1,0,39701,50,50,4,44,39237
0,0,307213,254,254,4,14,306524
1,0,782,44,44,4,128,129
1,0,1132814,314,314,4,58,1132212
1,0,36247,70,70,4,64,35642
1,0,170789,66,66,4,32,170208
1,0,717564,265,265,4,124,716974
1,0,1637787,112,112,4,58,1637185
0,0,269583,417,417,4,137,268954
1,0,628319,180,180,3,67,627354
0,0,1932015,105,105,4,98,1931470
0,0,2027,38,38,4,73,1341
0,0,1743790,332,332,4,58,1743146
0,0,521226,203,203,4,114,520573
1,0,1118634,316,316,4,153,1117975
1,0,376974,53,53,4,151,376393
0,0,250738,320,320,4,158,250097
1,0,1579,2,2,4,167,1004
0,0,578960,74,74,4,116,578253
1,0,552848,142,142,4,164,552180
0,0,52129,260,260,4,132,51491
1,0,19103,377,377,3,32,18480
0,0,4829,252,252,4,39,4128
1,0,603114,233,233,4,15,602248
0,0,436400,10,10,4,27,435816
0,0,1148872,407,407,4,35,1148204
0,0,347837,16,16,3,9,347313
1,0,1581481,210,210,4,86,1580900
1,0,1081012,403,403,4,170,1080440
0,0,15668,341,341,4,21,15015
1,0,6518,300,300,4,151,5874
1,0,33001,18,18,4,48,32291
1,0,527500,426,426,4,130,526817
1,0,668902,146,146,4,79,668282
0,0,1995197,212,212,4,150,1994529
0,0,216763,319,319,4,144,216122
0,0,596495,157,157,4,137,595866
0,0,416038,380,380,4,65,415541
1,0,463493,99,99,3,81,462885
1,0,14001,391,391,4,154,13402
0,0,385637,19,19,3,56,384969
1,0,627298,98,98,4,85,626603
1,0,1845,386,386,2,89,1489
1,0,375081,120,120,4,26,374536
0,0,1473130,85,85,4,28,1472456
1,0,1134002,405,405,4,49,1133424
1,0,468801,293,293,4,84,468253
0,0,42175,383,383,4,150,41594
0,0,9261,126,126,4,44,8539
1,0,400683,54,54,4,158,400036
1,0,35038,299,299,4,122,34388
0,0,416102,242,242,4,24,415509
1,0,13194,346,346,3,107,12661
1,0,653543,82,82,4,55,652923
1,1,327963,422,422,4,99,327337
0,0,78452,296,296,4,87,77844
0,0,2893,381,381,4,148,2228
1,0,38888,77,77,4,57,38181
1,0,22995,301,301,2,57,22609
1,0,1066542,402,402,4,71,1065931
0,0,438865,348,348,4,22,438233
0,0,345916,151,151,4,135,345353
0,0,499409,363,363,3,56,498789
0,0,262228,36,36,4,169,261515
1,0,350824,411,411,2,100,350453
0,0,224418,164,164,4,22,223792
0,0,17055,46,46,4,44,16375
1,0,1049,279,279,4,70,204
1,0,807166,149,149,4,118,806492
1,0,874302,270,270,3,119,873739
1,0,281,8,8,5,75,3
0,0,16035,339,339,4,54,15472
1,0,311595,409,409,2,100,311224
1,0,6125,9,9,4,75,5631
0,0,582243,75,75,4,160,581596
0,0,1670681,27,27,4,124,1670067
0,0,544317,144,144,1,114,543658
0,0,285006,241,241,4,135,284026
0,0,482096,249,249,4,111,481446
0,0,16573,162,162,4,128,15977
0,0,1236,123,123,4,0,691
1,0,2152710,104,104,4,161,2152117
0,0,218124,163,163,4,22,217234
1,0,505974,290,290,4,15,505327
0,0,314714,121,121,4,26,314181
0,0,729959,94,94,4,17,729363
1,0,358436,273,273,2,57,358038
1,0,594102,227,227,4,44,593512
1,1,22696,71,71,4,62,22061
0,0,1261581,321,321,3,131,1260970
0,0,160801,400,400,4,50,160181
0,0,10872,102,102,3,104,10210
1,0,412598,275,275,4,46,411981
1,0,517192,289,289,4,6,516578
1,0,53893,303,303,4,43,53279
0,0,253563,283,283,4,133,252895
0,0,237931,281,281,4,24,237338
0,0,266589,173,173,4,22,265723
0,0,1078119,189,189,4,161,1077559
1,0,468817,292,292,4,6,467864
1,0,1243238,183,183,4,161,1242540
0,0,1176204,396,396,4,5,1175530
0,0,6197,384,384,4,155,5628
1,0,47042,78,78,4,32,46335
0,0,374682,40,40,4,17,374062
0,0,1420673,89,89,4,161,1420101
1,0,388432,191,191,2,76,388043
0,0,70633,57,57,4,128,70109
0,0,11230,371,371,4,127,10535
0,0,694973,304,304,4,72,694383
0,0,1677970,116,116,4,138,1677395
0,0,5761,372,372,4,23,5141
0,0,1886263,213,213,4,103,1885670
1,0,320021,421,421,4,99,319437
1,0,282372,170,170,4,48,281740
0,0,456160,318,318,4,120,455483
1,0,36542,382,382,4,150,35961
1,0,602338,317,317,4,94,601643
1,0,377041,360,360,4,26,376496
1,0,1142859,406,406,4,49,1142287
1,0,1481322,91,91,4,77,1480762
1,0,1306828,204,204,4,93,1306226
1,0,1739,5,5,4,35,1236
0,0,410649,138,138,2,32,410251
0,0,1587490,207,207,4,93,1586741
1,0,2442,280,280,4,30,1612
1,0,333597,423,423,4,66,332944
0,0,1411596,20,20,4,17,1410949
0,0,260483,174,174,4,101,259935
0,0,917604,269,269,4,103,916954
1,0,371048,272,272,4,100,370350
1,0,11470,45,45,2,128,11081
0,0,377176,139,139,4,100,376607
0,0,1943209,7,7,4,58,1942577
1,0,7470,264,264,4,128,6853
0,0,120884,33,33,2,108,120498
1,0,21243,13,13,4,16,20602
1,0,617680,228,228,4,15,617066
0,1,340144,410,410,4,100,339536
0,0,862102,237,237,3,1,861431
0,0,1875155,214,214,4,49,1874526
1,0,633183,229,229,2,97,632827
0,0,59685,47,47,4,78,58891
0,0,1611491,327,327,4,124,1610868
0,0,31626,354,354,4,23,31012
1,0,76266,274,274,4,48,75574
0,0,430625,11,11,4,135,430509
0,0,288480,172,172,4,101,287506
0,0,1187163,343,343,4,169,1186465
0,0,1200244,309,309,4,58,1199621
0,0,18926,387,387,4,152,18276
1,0,2115566,24,24,4,98,2114982
1,0,1109679,313,313,4,98,1109041
1,0,1559,49,49,4,44,987
0,0,413954,415,415,4,17,413337
1,0,159847,65,65,4,100,159101
1,0,1139142,312,312,4,58,1138561
1,0,462219,361,361,4,117,461563
1,0,1348,165,165,4,44,512
0,0,1344856,195,195,4,125,1344239
1,0,203566,68,68,2,57,203195
1,0,3660,192,192,4,44,3085
0,0,1001979,93,93,4,166,1001410
0,0,1671935,117,117,3,122,1671336
1,0,3008,160,160,4,144,2760
0,0,17644,345,345,4,156,17072
0,0,393310,276,276,4,10,392783
0,0,1025055,188,188,4,77,1024453
1,0,1654543,29,29,4,151,1654004
1,0,11006,12,12,4,141,10434
0,0,1840810,108,108,4,58,1840178
1,0,1182146,310,310,4,58,1181541
1,0,356421,429,429,3,139,355831
0,0,398667,244,244,4,24,398035
1,0,1235855,184,184,2,98,1235211
0,0,1806636,334,334,4,147,1806064
0,0,7249,51,51,4,44,6641
0,0,452612,277,277,4,98,451995
0,0,425782,137,137,2,48,425384
0,0,1121,1,1,4,163,531
1,0,725245,148,148,4,118,724664
0,0,7534,340,340,2,149,7151
0,0,14571,374,374,4,103,14272
0,0,244449,284,284,4,121,243556
0,0,622513,25,25,4,98,621803
0,0,261062,171,171,4,32,260553
0,0,253089,175,175,4,22,252442
0,0,305429,369,369,4,9,304515
0,0,690105,145,145,3,56,689434
1,0,26110,302,302,4,32,25487
0,0,55203,79,79,4,32,54550
1,0,6670,222,222,4,44,6140
0,0,467996,362,362,4,164,467418
0,0,1079,125,125,2,78,750
1,1,1784731,330,330,4,147,1784156
0,0,1392058,305,305,4,166,1391459
1,0,174019,63,63,4,48,173294
1,0,44727,392,392,3,68,44119
0,0,978860,271,271,1,119,978390
0,0,7294,257,257,4,44,6638
0,0,9111,129,129,2,78,8734
1,0,641578,81,81,4,55,640880
0,0,2852,15,15,4,37,2211
0,0,1610144,113,113,4,77,1609563
1,0,225709,67,67,3,34,225092
1,0,873,4,4,4,33,262
1,0,504309,425,425,3,146,503911
0,0,1707,375,375,4,89,1054
0,0,570400,73,73,4,116,569783
0,0,897457,268,268,4,61,896894
1,0,528985,288,288,4,15,528356
1,0,930600,238,238,4,169,929947
0,0,459742,245,245,4,27,459083
0,0,8892,373,373,4,4,8245
0,0,410431,178,178,4,64,409799
1,0,95645,62,62,4,113,95094
1,0,311313,420,420,4,137,310645
0,0,444695,30,30,4,112,444042
0,0,302673,240,240,4,47,302005
0,0,332148,408,408,4,100,331510
0,0,22912,56,56,2,132,22523
1,0,20624,72,72,4,69,19953
0,0,276224,133,133,4,83,275592
1,0,605996,234,234,4,6,605367
1,0,631273,155,155,4,99,630704
1,0,893116,235,235,3,11,892445
1,0,9993,32,32,4,129,9376
1,0,1448091,87,87,4,17,1447573
1,0,12594,194,194,4,96,11959
0,0,389569,243,243,4,111,388676
0,0,28027,42,42,4,128,27344
1,0,426818,134,134,4,130,426186
0,0,32545,258,258,4,128,31979
0,0,11424,39,39,3,109,10828
0,0,474095,351,351,4,115,473496
1,0,891600,267,267,1,42,891058
1,0,1570983,119,119,4,98,1570405
1,0,487260,198,198,4,126,486679
0,0,28680,127,127,3,165,27985
0,0,478938,100,100,4,3,478315
0,0,1109266,395,395,4,140,1108595
0,0,21792,342,342,4,41,21193
1,0,652493,232,232,4,6,651543
1,0,538452,143,143,4,119,537880
0,0,21840,225,225,4,132,21079
0,0,567898,122,122,2,63,567485
0,0,53116,394,394,5,38,52718
0,0,308712,367,367,4,27,308044
1,0,641268,230,230,4,134,640657
0,0,1591262,328,328,4,72,1590720
0,0,559332,141,141,2,82,558976
0,0,643220,196,196,4,67,642618
1,0,588625,154,154,3,110,587969
0,0,277659,419,419,4,137,277030
0,0,1591401,208,208,3,131,1590901
1,0,1060193,186,186,4,58,1059636
0,0,272757,177,177,4,22,271798
0,0,21892,336,336,4,54,21179
1,0,438791,31,31,4,144,438168
0,0,11825,43,43,4,128,11139
1,0,610947,364,364,4,169,610288
0,0,1183104,322,322,4,40,1182499
0,0,1871216,107,107,4,17,1870641
1,0,1100102,404,404,4,103,1099440
0,0,223254,285,285,4,24,222562
1,0,2130876,103,103,4,98,2130250
1,0,5418,226,226,4,78,4696
1,0,274287,169,169,4,100,273715
1,0,212591,428,428,4,81,211887
0,0,253619,167,167,4,32,252897
1,0,190891,64,64,4,100,190256
1,0,33533,388,388,4,148,32910
0,0,66227,298,298,4,122,65685
1,0,1038285,187,187,4,98,1037734
0,0,1299223,182,182,4,98,1298663
0,0,555039,76,76,4,80,554104
1,0,1790185,215,215,4,35,1789544
1,0,110877,152,152,5,162,110344
0,0,70385,295,295,4,159,69732
0,0,406686,135,135,4,99,406078
1,1,1894275,109,109,4,29,1893637
0,0,48963,355,355,4,106,48349
0,0,63431,61,61,4,128,62859
0,0,563485,92,92,2,18,563114
1,0,1947,14,14,3,142,1330
1,1,849658,22,22,4,124,849029
0,0,17246,262,262,4,44,16593
1,0,11667,255,255,4,44,10975
1,0,1192370,311,311,4,161,1191744
1,0,789660,147,147,4,59,789061
0,0,484940,352,352,4,52,484143
0,0,551183,221,221,2,162,550740
0,0,1665163,28,28,4,151,1664528
0,0,15815,358,358,4,51,15231
0,0,423275,200,200,4,5,422700
0,0,50225,393,393,4,103,49587
0,0,23909,359,359,4,143,23259
0,0,1935320,211,211,4,124,1934724
1,0,1439745,88,88,4,58,1439215
0,0,1646736,209,209,4,19,1646206
1,0,5356,347,347,4,136,4736
0,0,281837,176,176,4,101,281250
0,0,217404,21,21,4,24,216745
0,0,462632,136,136,4,99,462006
0,0,565167,379,379,2,82,564760
1,0,4939,6,6,4,1,4241
0,0,497547,247,247,4,24,496699
0,0,2159962,323,323,4,72,2159390
1,0,1722444,335,335,4,22,1721857
1,0,627125,83,83,4,171,626559
0,0,510533,430,430,4,45,509916
1,0,2103139,216,216,4,58,2102468
0,0,211634,416,416,5,8,211245
1,0,34921,263,263,4,128,34262
0,0,1578872,118,118,4,17,1578312
0,0,602022,158,158,4,145,601444
1,0,9539,193,193,4,96,8904
1,0,497850,291,291,4,44,497083
0,0,465000,350,350,4,2,464038
1,0,296809,418,418,4,99,296102
0,0,1863,41,41,4,132,1279
0,0,1337715,206,206,3,31,1337152
1,0,10499,37,37,2,95,10110
0,0,6256,128,128,2,132,5888
0,0,77237,58,58,4,132,76545
0,0,1685667,115,115,0,161,1685527
1,0,584282,131,131,4,6,583626
0,0,1212108,308,308,4,17,1211533
1,0,8071,390,390,4,88,7124
1,0,636879,156,156,4,130,636250
1,0,1357417,307,307,4,147,1356881
1,0,1413348,205,205,4,13,1412725
0,0,897652,236,236,4,164,897068
1,0,102031,0,0,4,105,101630
0,0,460277,278,278,4,58,459570
1,0,550961,286,286,4,15,550314
1,0,2082607,34,34,4,58,2081918
1,0,673589,181,181,4,12,672981
0,0,262590,282,282,4,133,261997
0,0,1069989,190,190,4,58,1069351
1,0,54130,397,397,4,53,53294
1,0,238595,168,168,4,32,237978
1,0,2039757,325,325,4,170,2039173
0,0,55031,261,261,4,132,54300
1,0,42738,389,389,4,88,42403
1,0,698962,95,95,4,98,698387
1,0,1037760,366,366,4,169,1037092
0,0,522585,431,431,4,20,522157
1,0,1653046,111,111,4,58,1652444
0,0,610905,153,153,4,137,610333
0,0,9693,357,357,4,143,9067
0,0,331967,150,150,4,135,331098
1,0,57983,60,60,4,132,57381
0,0,488252,246,246,4,133,487683
0,0,152203,399,399,4,93,151562
1,0,7816,166,166,4,128,6941
0,0,473006,248,248,4,135,472107
1,0,8984,251,251,4,78,8412
0,0,296422,239,239,4,135,295724
0,0,786,370,370,4,36,88
0,0,541203,101,101,4,67,540331
1,0,1896,250,250,4,78,1198
0,0,433446,201,201,4,5,432955
0,0,304189,219,219,4,84,303608
0,0,421453,414,414,4,161,420860
1,0,10738,161,161,4,132,10142
0,0,422988,179,179,4,64,422386
0,0,739582,266,266,4,72,738989
0,0,741926,197,197,4,47,741234
1,0,2021354,35,35,4,17,2020752
0,0,22510,52,52,3,158,21845
0,0,12963,338,338,4,54,12349
1,0,1279824,185,185,4,17,1279111
0,0,2141017,324,324,4,49,2140400
1,0,213605,69,69,4,48,212727
1,0,649380,231,231,4,6,648745
1,0,1773473,331,331,3,122,1772775
1,0,542828,287,287,4,6,542232
1,0,3185,159,159,4,128,2544
1,0,1094415,315,315,4,58,1093786
0,0,548259,140,140,2,74,547909
0,0,4704,223,223,4,128,4066
0,0,67780,412,412,4,32,67067
0,0,297265,218,218,4,158,296609
1,0,498188,427,427,4,70,497556
1,0,633393,80,80,4,60,632488
0,0,606832,84,84,4,49,606242
1,0,11303,48,48,4,78,10641
1,0,667099,3,3,4,6,666332
