Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
0,1160395,347,347,1159709
0,18293,404,404,17649
0,7200,134,134,6637
0,55025,359,359,54438
0,1464254,88,88,1463646
1,494817,203,203,494134
0,2016292,329,329,2015537
0,9057,388,388,8128
0,4555,132,132,3962
0,683253,98,98,682675
0,844685,368,368,844098
0,112468,401,401,111971
0,4870,340,340,4217
0,2682,264,264,1954
1,163066,8,8,162521
0,1955674,332,332,1955171
1,756041,99,99,755460
1,1368555,309,309,1367977
1,1487064,92,92,1486369
1,44362,301,301,43754
0,265007,258,258,264339
0,120884,35,35,120498
1,1921473,108,108,1920904
0,458814,352,352,458125
0,316703,371,371,316059
0,548591,226,226,548190
0,1604078,116,116,1603452
0,85370,62,62,84681
0,17407,261,261,16820
0,1033564,298,298,1032920
0,1738968,28,28,1738420
1,6677,379,379,6162
1,278070,222,222,277438
0,1731530,336,336,1730895
0,477620,206,206,476973
0,567879,381,381,567310
0,10321,126,126,9749
0,1686468,112,112,1685914
0,7629,230,230,6979
0,1645,356,356,1004
1,376974,56,56,376393
1,807869,25,25,807330
1,426818,137,137,426186
1,39701,53,53,39237
0,307213,259,259,306524
1,782,47,47,129
1,1132814,317,317,1132212
1,36247,72,72,35642
1,159847,68,68,159101
1,717564,270,270,716974
1,1637787,114,114,1637185
0,487905,170,170,487330
1,356421,430,430,355831
0,1932015,107,107,1931470
0,2027,40,40,1341
0,1743790,335,335,1743146
0,515441,207,207,514617
1,1118634,319,319,1117975
0,347837,18,18,347313
0,250738,323,323,250097
1,1579,3,3,1004
0,570400,76,76,569783
1,552848,145,145,552180
0,52129,265,265,51491
1,19103,380,380,18480
0,4829,257,257,4128
1,599763,233,233,598996
0,436400,12,12,435816
0,1148872,410,410,1148204
0,339516,225,225,338926
1,1581481,215,215,1580900
1,1081012,406,406,1080440
0,15668,344,344,15015
1,6518,304,304,5874
1,26110,306,306,25487
1,504309,428,428,503911
1,668902,149,149,668282
0,1995197,217,217,1994529
0,216763,322,322,216122
1,588625,157,157,587969
0,416038,383,383,415541
1,463493,101,101,462885
1,14001,394,394,13402
0,385637,21,21,384969
1,602338,320,320,601643
1,1845,389,389,1489
0,314714,123,123,314181
0,1473130,87,87,1472456
1,1134002,408,408,1133424
0,444695,32,32,444042
0,42175,386,386,41594
0,9261,128,128,8539
0,382637,58,58,382086
1,35038,303,303,34388
0,416102,247,247,415509
1,13194,349,349,12661
1,641578,83,83,640880
1,320021,423,423,319437
0,78452,300,300,77844
0,2893,384,384,2228
1,36160,20,20,35462
1,628319,184,184,627354
1,1066542,405,405,1065931
0,438865,351,351,438233
0,345916,154,154,345353
0,499409,366,366,498789
0,262228,38,38,261515
1,350824,414,414,350453
0,224418,167,167,223792
0,17055,49,49,16375
1,1049,284,284,204
1,807166,152,152,806492
1,874302,275,275,873739
1,281,10,10,3
0,16035,342,342,15472
1,311595,412,412,311224
1,6125,11,11,5631
0,578960,77,77,578253
0,1670681,29,29,1670067
0,544317,147,147,543658
0,285006,246,246,284026
0,482096,254,254,481446
0,16573,165,165,15977
0,1236,125,125,691
1,2152710,106,106,2152117
0,218124,166,166,217234
1,497850,295,295,497083
1,653543,84,84,652923
0,729959,96,96,729363
1,358436,278,278,358038
1,584282,133,133,583626
1,22696,73,73,22061
0,1261581,324,324,1260970
0,160801,403,403,160181
0,10872,104,104,10210
1,412598,280,280,411981
1,514088,294,294,513441
1,667099,4,4,666332
0,253563,288,288,252895
0,237931,286,286,237338
0,266589,177,177,265723
0,1078119,193,193,1077559
1,198335,43,43,197730
1,1243238,187,187,1242540
0,1176204,399,399,1175530
0,6197,387,387,5628
1,38888,79,79,38181
0,374682,42,42,374062
0,1420673,91,91,1420101
1,388432,195,195,388043
0,70633,60,60,70109
0,11230,374,374,10535
0,694973,307,307,694383
0,1677970,118,118,1677395
0,5761,375,375,5141
0,1886263,218,218,1885670
1,311313,422,422,310645
1,282372,174,174,281740
0,456160,321,321,455483
1,36542,385,385,35961
0,541203,103,103,540331
1,375081,122,122,374536
1,1142859,409,409,1142287
1,1481322,93,93,1480762
1,1306828,209,209,1306226
1,1739,6,6,1236
0,410649,141,141,410251
0,1587490,212,212,1586741
1,2442,285,285,1612
1,327963,424,424,327337
0,1411596,22,22,1410949
0,260483,178,178,259935
0,917604,274,274,916954
1,371048,277,277,370350
1,11470,48,48,11081
0,377176,142,142,376607
0,1943209,9,9,1942577
1,7470,269,269,6853
1,76266,279,279,75574
1,21243,15,15,20602
1,605996,239,239,605367
0,340144,413,413,339536
0,862102,242,242,861431
0,1875155,219,219,1874526
1,617680,234,234,617066
0,59685,50,50,58891
0,1611491,330,330,1610868
0,31626,357,357,31012
0,67780,415,415,67067
0,430625,13,13,430509
0,288480,176,176,287506
0,1187163,346,346,1186465
0,1200244,312,312,1199621
0,18926,390,390,18276
1,2115566,26,26,2114982
1,1109679,316,316,1109041
1,1559,52,52,987
0,413954,418,418,413337
0,128464,416,416,128075
1,1139142,315,315,1138561
1,462219,364,364,461563
1,1348,168,168,512
0,1344856,199,199,1344239
1,190891,67,67,190256
1,3660,196,196,3085
0,1001979,95,95,1001410
0,1671935,119,119,1671336
1,3008,163,163,2760
0,17644,348,348,17072
0,393310,281,281,392783
0,1025055,192,192,1024453
1,1654543,31,31,1654004
1,11006,14,14,10434
0,1840810,110,110,1840178
1,1182146,313,313,1181541
1,377041,363,363,376496
0,398667,249,249,398035
1,1235855,188,188,1235211
0,1806636,337,337,1806064
0,7249,54,54,6641
0,452612,282,282,451995
0,425782,140,140,425384
0,1121,2,2,531
1,725245,151,151,724664
0,7534,343,343,7151
0,14571,377,377,14272
0,244449,289,289,243556
0,622513,27,27,621803
0,261062,175,175,260553
0,253089,179,179,252442
0,305429,372,372,304515
0,690105,148,148,689434
1,22995,305,305,22609
1,47042,80,80,46335
1,6670,228,228,6140
0,467996,365,365,467418
0,1079,127,127,750
1,1784731,333,333,1784156
0,1392058,308,308,1391459
1,170789,69,69,170208
1,44727,395,395,44119
0,978860,276,276,978390
0,7294,262,262,6638
0,9111,131,131,8734
1,633393,82,82,632488
0,2852,17,17,2211
0,1610144,115,115,1609563
1,219644,71,71,218985
1,873,5,5,262
0,462632,139,139,462006
0,1707,378,378,1054
0,555039,78,78,554104
0,897457,273,273,896894
1,522983,293,293,522417
1,930600,243,243,929947
0,459742,250,250,459083
0,8892,376,376,8245
0,410431,182,182,409799
1,95645,65,65,95094
1,296809,421,421,296102
1,438791,33,33,438168
0,302673,245,245,302005
0,332148,411,411,331510
0,22912,59,59,22523
1,20624,74,74,19953
0,276224,136,136,275592
1,603114,238,238,602248
0,610905,156,156,610333
1,893116,240,240,892445
1,9993,34,34,9376
1,1448091,89,89,1447573
1,12594,198,198,11959
0,389569,248,248,388676
0,28027,45,45,27344
0,406686,138,138,406078
0,32545,263,263,31979
0,11424,41,41,10828
0,474095,354,354,473496
1,891600,272,272,891058
1,1570983,121,121,1570405
1,487260,202,202,486679
0,28680,129,129,27985
0,478938,102,102,478315
0,1109266,398,398,1108595
0,21792,345,345,21193
1,649380,237,237,648745
1,538452,146,146,537880
0,21840,231,231,21079
0,567898,124,124,567485
0,53116,397,397,52718
0,308712,370,370,308044
1,633183,235,235,632827
0,1591262,331,331,1590720
0,559332,144,144,558976
1,627298,100,100,626603
1,555039,429,429,554545
0,269583,420,420,268954
0,1591401,213,213,1590901
1,1060193,190,190,1059636
0,272757,181,181,271798
0,21892,339,339,21179
1,400683,57,57,400036
0,11825,46,46,11139
1,610947,367,367,610288
0,1183104,325,325,1182499
0,1871216,109,109,1870641
1,1100102,407,407,1099440
0,223254,290,290,222562
1,2130876,105,105,2130250
1,5418,232,232,4696
1,274287,173,173,273715
0,643220,200,200,642618
0,253619,171,171,252897
1,174019,66,66,173294
1,33533,391,391,32910
0,66227,302,302,65685
1,1038285,191,191,1037734
0,1299223,186,186,1298663
0,549268,75,75,548651
1,1790185,220,220,1789544
1,110877,155,155,110344
0,70385,299,299,69732
1,375323,426,426,374682
1,1894275,111,111,1893637
0,48963,358,358,48349
0,63431,64,64,62859
0,563485,94,94,563114
1,1947,16,16,1330
1,849658,24,24,849029
0,17246,267,267,16593
1,11667,260,260,10975
1,1192370,314,314,1191744
1,789660,150,150,789061
0,484940,355,355,484143
0,551183,227,227,550740
0,1665163,30,30,1664528
0,15815,361,361,15231
0,423275,204,204,422700
0,50225,396,396,49587
0,23909,362,362,23259
0,1935320,216,216,1934724
1,1439745,90,90,1439215
0,1646736,214,214,1646206
1,5356,350,350,4736
0,281837,180,180,281250
0,217404,23,23,216745
0,431207,427,427,430704
0,565167,382,382,564760
1,4939,7,7,4241
0,497547,252,252,496699
0,2159962,326,326,2159390
1,1722444,338,338,1721857
1,210445,135,135,209840
1,636879,159,159,636250
1,2103139,221,221,2102468
0,211634,419,419,211245
1,34921,268,268,34262
0,1578872,120,120,1578312
0,596495,160,160,595866
1,9539,197,197,8904
1,491431,296,296,490859
0,465000,353,353,464038
0,283286,425,425,282588
0,1863,44,44,1279
0,1337715,211,211,1337152
1,10499,39,39,10110
0,6256,130,130,5888
0,77237,61,61,76545
0,1685667,117,117,1685527
1,566496,297,297,565864
0,1212108,311,311,1211533
1,8071,393,393,7124
1,631273,158,158,630704
1,1357417,310,310,1356881
1,1413348,210,210,1412725
0,897652,241,241,897068
1,102031,0,0,101630
0,460277,283,283,459570
1,542828,291,291,542232
1,2082607,36,36,2081918
1,673589,185,185,672981
0,262590,287,287,261997
0,1069989,194,194,1069351
1,54130,400,400,53294
1,238595,172,172,237978
1,2039757,328,328,2039173
0,55031,266,266,54300
1,42738,392,392,42403
1,698962,97,97,698387
1,1037760,369,369,1037092
0,510533,431,431,509916
1,1653046,113,113,1652444
0,602022,161,161,601444
0,9693,360,360,9067
0,331967,153,153,331098
1,57983,63,63,57381
0,488252,251,251,487683
0,152203,402,402,151562
1,7816,169,169,6941
0,473006,253,253,472107
1,8984,256,256,8412
0,296422,244,244,295724
0,786,373,373,88
0,521226,208,208,520573
1,1896,255,255,1198
0,433446,205,205,432955
0,297265,224,224,296609
0,421453,417,417,420860
1,10738,164,164,10142
0,422988,183,183,422386
0,739582,271,271,738989
0,741926,201,201,741234
1,2021354,37,37,2020752
0,22510,55,55,21845
0,12963,341,341,12349
1,1279824,189,189,1279111
0,2141017,327,327,2140400
1,203566,70,70,203195
1,641268,236,236,640657
1,1773473,334,334,1772775
1,537100,292,292,536468
1,3185,162,162,2544
1,1094415,318,318,1093786
0,548259,143,143,547909
0,4704,229,229,4066
0,55203,81,81,54550
0,288418,223,223,287768
0,165971,19,19,165327
1,627125,85,85,626559
0,606832,86,86,606242
1,11303,51,51,10641
1,661517,1,1,660867
