Profession,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,GoogleKnowledgeGraphId,ProCyclingStatsCyclistId,BirthPlace,CyclistName,UciRiderId,CyclingDiscipline,CyclistDescription,CyclingArchivesCyclistId
0,0,9,66490.0,,8,4,50933.0,1.87,3,2,188791,12,4,101769,3,4,114741.0
0,5,1,,,10,14,,,7,6,178298,6,14,90493,0,0,87867.0
0,8,2,58495.0,22516.0,7,2,16783.0,181.0,1,0,168779,13,2,86813,3,2,78350.0
0,5,12,,,1,9,78803.0,,7,13,209616,8,9,227565,0,5,
0,5,15,68787.0,30636.0,12,1,93288.0,,7,12,215939,10,1,226805,2,5,125022.0
0,5,11,,28189.0,5,13,69827.0,,7,9,205750,11,13,109565,1,1,108930.0
0,1,0,,21238.0,11,11,16811.0,178.0,8,13,132431,4,11,79514,1,10,80578.0
0,2,5,65955.0,26396.0,10,15,41293.0,186.0,9,5,189441,0,15,92304,2,3,110201.0
0,5,13,,,6,10,95129.0,,7,11,216756,8,10,631079,2,8,150933.0
0,9,4,49495.0,23426.0,4,3,37748.0,181.0,2,3,177246,3,3,87061,2,5,88470.0
0,5,6,,,0,7,58251.0,183.0,7,8,193726,9,7,95475,2,10,98446.0
0,4,8,,24961.0,10,8,37756.0,176.0,6,1,186405,1,8,101735,3,6,101474.0
0,6,7,66653.0,27315.0,2,5,37359.0,172.0,4,7,186431,7,5,110444,2,7,99024.0
0,7,10,,28641.0,9,0,65033.0,185.0,0,10,202338,2,0,156896,2,1,106043.0
0,5,14,,,10,12,95518.0,,7,13,216906,8,12,649412,2,1,
0,3,3,65209.0,23425.0,3,6,27230.0,179.0,5,4,176686,5,6,100233,0,9,87208.0
