SportType,HostCountry,ProCyclingStatsRaceId,StartLocation,EndLocation
1,1,279127.0,25,47
1,7,270574.0,33,39
1,2,279365.0,44,52
0,11,279218.0,36,37
1,4,270344.0,11,46
1,4,270343.0,42,46
1,9,255955.0,14,58
1,1,279128.0,43,38
1,2,279366.0,37,45
1,4,270341.0,11,59
0,11,279217.0,58,63
1,3,256463.0,26,29
1,10,279115.0,64,34
1,12,255450.0,22,27
1,5,270459.0,21,56
1,7,270570.0,45,53
1,4,,57,8
1,7,270568.0,30,28
1,10,268294.0,51,55
1,3,256465.0,56,20
1,11,279221.0,62,65
1,10,268330.0,50,54
1,3,270408.0,6,7
0,11,279216.0,8,50
1,4,269637.0,5,41
1,4,279680.0,7,4
1,4,256402.0,41,40
1,4,269636.0,28,36
1,12,255448.0,1,26
1,6,268395.0,10,64
1,1,271561.0,59,24
1,3,256462.0,61,60
1,10,279118.0,4,5
1,12,255451.0,40,51
1,10,290137.0,27,25
1,1,271568.0,59,14
1,4,292910.0,23,21
1,4,,47,42
1,10,290141.0,65,5
1,4,,7,12
1,0,272199.0,24,66
1,3,280812.0,0,22
0,11,279215.0,15,18
1,7,270569.0,46,16
1,8,279124.0,34,13
1,3,288582.0,0,0
1,4,290139.0,17,3
1,4,290082.0,60,44
1,1,271564.0,13,15
1,4,,35,6
1,4,279258.0,12,49
1,13,280963.0,55,10
1,4,279728.0,48,61
1,4,270342.0,49,32
1,4,292911.0,66,68
1,4,279753.0,23,21
1,10,279121.0,65,17
1,11,279219.0,20,31
1,4,,52,35
1,10,279257.0,4,11
1,12,255453.0,2,1
1,3,280808.0,31,9
1,3,270410.0,54,57
1,12,255447.0,3,2
1,4,269642.0,9,43
1,4,290086.0,53,30
1,10,279947.0,18,19
1,4,290087.0,38,67
1,4,290096.0,32,48
1,3,270409.0,39,23
1,4,279754.0,66,68
1,10,279116.0,16,62
1,4,256401.0,29,40
1,10,290140.0,19,33
1,3,280807.0,63,60
