SportType,HostCountry,ProCyclingStatsRaceId,StartLocation,EndLocation
0,2,,8,2
0,1,124228.0,3,3
0,1,171088.0,2,3
0,1,173789.0,4,0
0,3,,8,2
0,2,,8,2
0,1,210024.0,1,3
0,4,181862.0,5,1
0,1,210024.0,1,3
0,4,,8,2
0,4,,8,2
1,0,,8,2
0,4,210068.0,9,1
0,4,111269.0,0,1
0,2,,8,2
0,4,181862.0,5,1
0,1,124228.0,3,3
0,1,171088.0,2,3
0,1,247301.0,6,3
0,3,,8,2
0,4,181862.0,5,1
0,2,,8,2
0,1,181554.0,7,3
0,1,247301.0,6,3
0,4,210068.0,9,1
0,1,181554.0,7,3
0,1,173789.0,4,0
0,1,210024.0,1,3
0,4,111269.0,0,1
0,3,,8,2
0,2,,8,2
