GeneSubclass,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,99,7608,40,40,1,90,6745,1
1,116,326018,101,101,1,22,323649,0
1,15,476915,36,36,1,3,476025,0
0,52,346408,204,204,0,61,346178,1
1,141,216862,123,123,1,55,214952,0
1,141,80177,230,230,1,13,78453,1
1,93,8014,83,83,1,10,5234,1
1,63,557,90,90,1,106,3,1
1,74,74182,14,14,1,21,73355,1
0,86,346850,203,203,0,61,346512,1
1,79,921959,63,63,1,35,919047,0
1,8,1129891,145,145,1,42,1128836,0
1,11,2216,39,39,1,89,1884,0
1,77,56787,222,222,1,64,55507,1
1,123,612,69,69,1,43,103,1
1,136,929,174,174,1,129,3,0
1,121,9109,152,152,1,27,6119,1
1,121,35665,150,150,1,27,33647,1
1,35,223303,155,155,1,24,221369,0
1,88,30441,195,195,1,132,27628,1
1,76,1839347,129,129,1,53,1836461,0
0,26,71748,31,31,0,52,71398,1
1,66,122795,34,34,1,8,121053,0
1,8,1121147,213,213,1,42,1120731,0
1,132,216652,229,229,1,26,216302,1
1,73,53404,239,239,1,37,53066,1
1,15,20561,118,118,1,40,20007,1
1,7,215357,60,60,1,25,214062,1
1,106,543960,135,135,1,6,542011,0
1,89,23503,234,234,1,5,21764,1
1,59,57738,223,223,1,64,56893,1
1,87,857583,108,108,1,32,854629,0
1,35,615828,186,186,1,24,612868,0
1,23,3521,175,175,1,85,564,0
1,115,640889,121,121,1,14,638082,0
1,12,119855,181,181,1,7,118959,1
1,104,351059,62,62,1,58,348930,0
1,137,4441,68,68,1,51,1115,1
0,47,218,154,154,0,123,3,0
1,64,578507,187,187,1,24,577500,0
1,103,835,4,4,1,88,1,0
1,61,12423,125,125,1,25,10753,1
1,141,100170,25,25,1,13,98553,1
1,20,76293,26,26,1,59,74227,1
1,62,17384,122,122,1,115,15111,1
1,15,395,200,200,1,86,3,1
0,96,1415811,19,19,0,46,1415230,0
1,133,229154,238,238,1,7,227562,0
1,24,64517,120,120,1,59,64071,1
1,9,10942,199,199,1,30,10619,1
1,72,45868,111,111,1,45,44981,1
1,138,10805,105,105,1,112,10074,0
1,121,706956,35,35,1,27,704473,0
0,129,4265,64,64,0,100,3411,0
1,99,8105,57,57,1,97,5802,1
1,18,1034156,72,72,1,38,1031220,0
0,37,157631,184,184,0,50,157230,0
1,21,7838,214,214,1,135,7741,1
1,46,794,8,8,1,66,3,0
0,101,1231,13,13,0,73,899,1
1,74,51751,106,106,1,21,49106,0
1,92,2332647,198,198,1,54,2330257,0
1,73,114401,61,61,1,60,112584,1
1,92,41471,156,156,1,54,39177,1
1,21,1399795,22,22,1,46,1397420,0
1,61,6985,81,81,1,103,4031,1
1,30,46358,91,91,1,15,44298,1
1,110,1122061,144,144,1,42,1121249,0
1,15,535,6,6,1,65,1,0
1,123,11717,176,176,1,130,11061,0
1,109,629366,207,207,1,46,627348,0
1,130,34648,28,28,1,37,31775,1
1,1,56420,157,157,1,54,55923,1
1,134,42976,227,227,1,39,42014,1
1,33,2400,166,166,1,126,211,0
1,42,3058,137,137,1,120,647,0
1,76,33980,164,164,1,53,31590,1
1,56,358301,172,172,1,57,355485,0
0,111,202126,75,75,0,58,201683,0
1,59,83691,196,196,1,2,83233,1
1,128,33312,78,78,1,38,32212,1
1,126,393196,80,80,1,48,390821,1
1,85,368350,48,48,1,57,367493,0
1,7,23148,138,138,1,41,20869,1
1,38,877,16,16,1,76,2,0
1,40,1381,102,102,1,110,2,0
0,94,1130987,146,146,0,42,1130442,0
1,132,33975,33,33,1,26,32362,1
1,84,47107,231,231,1,13,46339,1
1,120,25397,151,151,1,27,23602,1
1,6,2035,127,127,1,118,1445,0
1,79,254233,180,180,1,35,251879,1
0,50,282,116,116,0,84,1,1
1,76,903359,160,160,1,53,902475,0
1,46,3364,170,170,1,128,1112,0
1,3,8634,58,58,1,98,6310,0
1,45,6051,109,109,1,83,3256,0
1,64,88109,218,218,1,24,87465,0
1,10,147,10,10,1,67,1,0
1,120,36817,149,149,1,27,35931,1
1,27,15156,23,23,1,78,14362,1
1,76,944659,161,161,1,53,941918,1
1,3,513917,236,236,1,5,513297,0
1,53,24472,188,188,1,14,23342,1
1,141,46075,232,232,1,13,44094,1
1,90,1050263,158,158,1,47,1049748,0
1,117,1991,178,178,1,131,321,1
1,26,7580,86,86,1,104,6150,1
1,1,317768,192,192,1,54,315381,0
0,55,581031,237,237,0,19,580762,0
1,58,783875,66,66,1,29,783721,0
1,41,929,17,17,1,74,492,0
1,140,6341,59,59,1,99,3546,0
1,135,28634,141,141,1,17,28311,1
1,124,392192,104,104,1,28,389835,0
0,60,2270,56,56,0,96,1968,1
0,22,17833,29,29,0,46,17345,1
1,73,609376,206,206,1,11,606950,0
